identifier,name,url,price,old_price,status,sku,category,brand,image_url,shipping_cost,stock,dealer
10113,Fox R1 Camo Recliner Chair,http://www.fishingtackle2go.co.uk/index.php?main_page=product_info&cPath=72_565_1505&products_id=10113,71.99,,new,5055350282021,Chairs,Fox,http://www.fishingtackle2go.co.uk/images/magictoolbox_cache/8c95d73fec130487c102a73bf1ab42ce/1/0/10113/thumb500x500/1903272149/Camo--R1-Recliner.jpg,6.95,,
10114,Fox R2 Camo Recliner Chair,http://www.fishingtackle2go.co.uk/index.php?main_page=product_info&cPath=72_565_1505&products_id=10114,80.99,,new,5055350282038,Chairs,Fox,http://www.fishingtackle2go.co.uk/images/magictoolbox_cache/8c95d73fec130487c102a73bf1ab42ce/1/0/10114/thumb500x500/219186446/Camo--R2-Recliner.jpg,6.95,,
10115,Fox R3 Camo Recliner Chair,http://www.fishingtackle2go.co.uk/index.php?main_page=product_info&cPath=72_565_1505&products_id=10115,89.99,,new,5055350282045,Chairs,Fox,http://www.fishingtackle2go.co.uk/images/magictoolbox_cache/8c95d73fec130487c102a73bf1ab42ce/1/0/10115/thumb500x500/2417976440/Camo--R3-Recliner.jpg,6.95,,
10116,Fox Ven Tec VR2 Sleeping Bag,http://www.fishingtackle2go.co.uk/index.php?main_page=product_info&cPath=72_565_1186&products_id=10116,161.99,,new,5055350275849,Sleeping Bags,Fox,http://www.fishingtackle2go.co.uk/images/magictoolbox_cache/8c95d73fec130487c102a73bf1ab42ce/1/0/10116/thumb500x500/2832137862/CSB038-b.jpg,,,
10117,Fox Ven Tec VR2 Sleeping Bag Cover,http://www.fishingtackle2go.co.uk/index.php?main_page=product_info&cPath=72_565_1186&products_id=10117,53.99,,new,5055350275870,Sleeping Bags,Fox,http://www.fishingtackle2go.co.uk/images/magictoolbox_cache/8c95d73fec130487c102a73bf1ab42ce/1/0/10117/thumb500x500/1560208140/CSB041-bl.jpg,6.95,,
10118,Fox Ven Tec VRS3 Sleeping Bag,http://www.fishingtackle2go.co.uk/index.php?main_page=product_info&cPath=72_565_1186&products_id=10118,170.99,,new,5055350275856,Sleeping Bags,Fox,http://www.fishingtackle2go.co.uk/images/magictoolbox_cache/8c95d73fec130487c102a73bf1ab42ce/1/0/10118/thumb500x500/2832137862/CSB038-b.jpg,,,
10119,Fox Ven Tec VR3 Sleeping Bag Cover,http://www.fishingtackle2go.co.uk/index.php?main_page=product_info&cPath=72_565_1186&products_id=10119,62.99,,new,5055350275887,Sleeping Bags,Fox,http://www.fishingtackle2go.co.uk/images/magictoolbox_cache/8c95d73fec130487c102a73bf1ab42ce/1/0/10119/thumb500x500/1560208140/CSB041-bl.jpg,6.95,,
10120,Fox Evo Tec ERS1 Sleeping Bag,http://www.fishingtackle2go.co.uk/index.php?main_page=product_info&cPath=72_565_1186&products_id=10120,71.99,,new,5055350275801,Sleeping Bags,Fox,http://www.fishingtackle2go.co.uk/images/magictoolbox_cache/8c95d73fec130487c102a73bf1ab42ce/1/0/10120/thumb500x500/3941170254/CSB035l.jpg,6.95,,
10121,Fox Evo Tec  ERS2  Sleeping Bag,http://www.fishingtackle2go.co.uk/index.php?main_page=product_info&cPath=72_565_1186&products_id=10121,80.99,,new,5055350275818,Sleeping Bags,Fox,http://www.fishingtackle2go.co.uk/images/magictoolbox_cache/8c95d73fec130487c102a73bf1ab42ce/1/0/10121/thumb500x500/2394547606/CSB035-a.jpg,6.95,,
10122,Fox Evo Tec  ERS3  Sleeping Bag,http://www.fishingtackle2go.co.uk/index.php?main_page=product_info&cPath=72_565_1186&products_id=10122,89.99,,new,5055350275825,Sleeping Bags,Fox,http://www.fishingtackle2go.co.uk/images/magictoolbox_cache/8c95d73fec130487c102a73bf1ab42ce/1/0/10122/thumb500x500/3941170254/CSB035l.jpg,6.95,,
