identifier,sku,name,price,url,category,brand,image_url,shipping_cost,stock,dealer
9307_1778,5055108929512,[u'Nash Siren R3 x 3 Alarms + R3 Receiver Set in Presentation Case * Brand New*'] White,330.00,http://www.fishingtackle2go.co.uk/Best-Deals/Best-Carp-Tackle-Deals/Best-Alarm-Deals/Nash-Siren-R3-x-3-Alarms-R3-Receiver-Set-in-Presentation-Case-Brand-New?cPath=72_446_453&,Bite Indication,Nash Tackle,http://www.fishingtackle2go.co.uk/images/magictoolbox_cache/8c95d73fec130487c102a73bf1ab42ce/9/3/9307/thumb500x500/2292311552/SIREN-R3.jpg,,,
9307_1779,5055108929512,[u'Nash Siren R3 x 3 Alarms + R3 Receiver Set in Presentation Case * Brand New*'] Blue,330.00,http://www.fishingtackle2go.co.uk/Best-Deals/Best-Carp-Tackle-Deals/Best-Alarm-Deals/Nash-Siren-R3-x-3-Alarms-R3-Receiver-Set-in-Presentation-Case-Brand-New?cPath=72_446_453&,Bite Indication,Nash Tackle,http://www.fishingtackle2go.co.uk/images/magictoolbox_cache/8c95d73fec130487c102a73bf1ab42ce/9/3/9307/thumb500x500/2292311552/SIREN-R3.jpg,,,
9307_1780,5055108929512,[u'Nash Siren R3 x 3 Alarms + R3 Receiver Set in Presentation Case * Brand New*'] Green,330.00,http://www.fishingtackle2go.co.uk/Best-Deals/Best-Carp-Tackle-Deals/Best-Alarm-Deals/Nash-Siren-R3-x-3-Alarms-R3-Receiver-Set-in-Presentation-Case-Brand-New?cPath=72_446_453&,Bite Indication,Nash Tackle,http://www.fishingtackle2go.co.uk/images/magictoolbox_cache/8c95d73fec130487c102a73bf1ab42ce/9/3/9307/thumb500x500/2292311552/SIREN-R3.jpg,,,
9307_1781,5055108929512,[u'Nash Siren R3 x 3 Alarms + R3 Receiver Set in Presentation Case * Brand New*'] Red,330.00,http://www.fishingtackle2go.co.uk/Best-Deals/Best-Carp-Tackle-Deals/Best-Alarm-Deals/Nash-Siren-R3-x-3-Alarms-R3-Receiver-Set-in-Presentation-Case-Brand-New?cPath=72_446_453&,Bite Indication,Nash Tackle,http://www.fishingtackle2go.co.uk/images/magictoolbox_cache/8c95d73fec130487c102a73bf1ab42ce/9/3/9307/thumb500x500/2292311552/SIREN-R3.jpg,,,
9307_1782,5055108929512,[u'Nash Siren R3 x 3 Alarms + R3 Receiver Set in Presentation Case * Brand New*'] White,330.00,http://www.fishingtackle2go.co.uk/Best-Deals/Best-Carp-Tackle-Deals/Best-Alarm-Deals/Nash-Siren-R3-x-3-Alarms-R3-Receiver-Set-in-Presentation-Case-Brand-New?cPath=72_446_453&,Bite Indication,Nash Tackle,http://www.fishingtackle2go.co.uk/images/magictoolbox_cache/8c95d73fec130487c102a73bf1ab42ce/9/3/9307/thumb500x500/2292311552/SIREN-R3.jpg,,,
9307_1783,5055108929512,[u'Nash Siren R3 x 3 Alarms + R3 Receiver Set in Presentation Case * Brand New*'] Blue,330.00,http://www.fishingtackle2go.co.uk/Best-Deals/Best-Carp-Tackle-Deals/Best-Alarm-Deals/Nash-Siren-R3-x-3-Alarms-R3-Receiver-Set-in-Presentation-Case-Brand-New?cPath=72_446_453&,Bite Indication,Nash Tackle,http://www.fishingtackle2go.co.uk/images/magictoolbox_cache/8c95d73fec130487c102a73bf1ab42ce/9/3/9307/thumb500x500/2292311552/SIREN-R3.jpg,,,
9307_1784,5055108929512,[u'Nash Siren R3 x 3 Alarms + R3 Receiver Set in Presentation Case * Brand New*'] Green,330.00,http://www.fishingtackle2go.co.uk/Best-Deals/Best-Carp-Tackle-Deals/Best-Alarm-Deals/Nash-Siren-R3-x-3-Alarms-R3-Receiver-Set-in-Presentation-Case-Brand-New?cPath=72_446_453&,Bite Indication,Nash Tackle,http://www.fishingtackle2go.co.uk/images/magictoolbox_cache/8c95d73fec130487c102a73bf1ab42ce/9/3/9307/thumb500x500/2292311552/SIREN-R3.jpg,,,
9308,5051901056578,"Maver UFO Mega Carryall, 2 Rod Hardcase and 8 Tube Holdall Luggage Set",172.50,http://www.fishingtackle2go.co.uk/Best-Deals/Best-Match-Tackle-Deals/Best-Match-Luggage-Deals/Maver-UFO-Mega-Carryall-2-Rod-Hardcase-and-8-Tube-Holdall-Luggage-Set?cPath=72_35_38_1528&,Maver UFO Luggage,Maver,http://www.fishingtackle2go.co.uk/images/magictoolbox_cache/8c95d73fec130487c102a73bf1ab42ce/9/3/9308/thumb500x500/3815584670/UFO-Set-2.jpg,,,
9309,5051901056578,"Maver UFO Mega Carryall, 2 Rod Hardcase and 6 Tube Holdall Luggage Set",170.00,http://www.fishingtackle2go.co.uk/Best-Deals/Best-Match-Tackle-Deals/Best-Match-Luggage-Deals/Maver-UFO-Mega-Carryall-2-Rod-Hardcase-and-6-Tube-Holdall-Luggage-Set?cPath=72_35_38_1528&,Maver UFO Luggage,Maver,http://www.fishingtackle2go.co.uk/images/magictoolbox_cache/8c95d73fec130487c102a73bf1ab42ce/9/3/9309/thumb500x500/2764917070/UFO-Set-1.jpg,,,
9310,5051901056578,Maver UFO Mega Carryall and 8 Tube Pole Holdall Luggage Set *Brand New*,125.00,http://www.fishingtackle2go.co.uk/Best-Deals/Best-Match-Tackle-Deals/Best-Match-Luggage-Deals/Maver-UFO-Mega-Carryall-and-8-Tube-Pole-Holdall-Luggage-Set-Brand-New?cPath=72_35_38_1528&,Maver UFO Luggage,Maver,http://www.fishingtackle2go.co.uk/images/magictoolbox_cache/8c95d73fec130487c102a73bf1ab42ce/9/3/9310/thumb500x500/1814939198/UFO-Set-4.jpg,,,
9311,5051901056578,Maver UFO Mega Carryall and 6 Tube Pole Holdall Luggage Set *Brand New*,115.00,http://www.fishingtackle2go.co.uk/Best-Deals/Best-Match-Tackle-Deals/Best-Match-Luggage-Deals/Maver-UFO-Mega-Carryall-and-6-Tube-Pole-Holdall-Luggage-Set-Brand-New?cPath=72_35_38_1528&,Maver UFO Luggage,Maver,http://www.fishingtackle2go.co.uk/images/magictoolbox_cache/8c95d73fec130487c102a73bf1ab42ce/9/3/9311/thumb500x500/3725400622/UFO-Set-3.jpg,,,
9312_1773,5055108929420,[u'Nash S5R Bite Alarms x 3 + S5R Receiver'] Red,159.00,http://www.fishingtackle2go.co.uk/Best-Deals/Best-Carp-Tackle-Deals/Best-Alarm-Deals/Nash-S5R-Bite-Alarms-x-3-S5R-Receiver?cPath=72_446_453&,Bite Indication,Nash Tackle,http://www.fishingtackle2go.co.uk/images/magictoolbox_cache/8c95d73fec130487c102a73bf1ab42ce/9/3/9312/thumb500x500/2989314214/T2942-x3.jpg,,,
9312_1774,5055108929420,[u'Nash S5R Bite Alarms x 3 + S5R Receiver'] White,159.00,http://www.fishingtackle2go.co.uk/Best-Deals/Best-Carp-Tackle-Deals/Best-Alarm-Deals/Nash-S5R-Bite-Alarms-x-3-S5R-Receiver?cPath=72_446_453&,Bite Indication,Nash Tackle,http://www.fishingtackle2go.co.uk/images/magictoolbox_cache/8c95d73fec130487c102a73bf1ab42ce/9/3/9312/thumb500x500/2989314214/T2942-x3.jpg,,,
