ProductId,ProductNr,ProductName,ReportCategoryName,EANNumber,StockQty,Brand,ProductCostPriceExVat,ProductSalesPrice_InclVAT,RRP,ProductURL,ProductImage,Tag
3063435,idb0829,BareMinerals - Simply Irresistible,Sminke,98132330713,1138,,113.2,399,,https://www.blivakker.no/product/3063435,http://static.blivakker.no/Media/2/0/300_300/A6635F38082D5ACB233D41AD5A5B9CDE_3063435_0.jpg,
4091,SEB0091,Sebastian Penetraitt Mask 150ml,Hårpleie,4015600055394,72,Sebastian,96.68,249,339,https://www.blivakker.no/product/4091,http://static.blivakker.no/Media/2/0/300_300/_SEB0091_1.gif,
3009282,GLO0279,glóMinerals - GloLash Thickener & Conditioner,Sminke,840749060039,,GloMinerals,37.96,169,210,https://www.blivakker.no/product/3009282,http://static.blivakker.no/Media/2/0/300_300/5461A127499F772CE12CD0CC161BAD6C_3009282_0.jpg,
3041764,WET0047,Wet`n Wild Mega Eyes Defining Marker - Ultra Black E869,Sminke,4049775586902,,Wet`n Wild,42571.00,59,59,https://www.blivakker.no/product/3041764,http://static.blivakker.no/Media/2/0/300_300/5091064C06E0D024AEC3075CA28BFA7E_3041764_0.jpg,
200196,DEC0025,Decléor Aromessence Ylang Ylang - Purifying Serum 15ml,Hudpleie,3395011002219,139,Decléor,160.39,479,599,https://www.blivakker.no/product/200196,http://static.blivakker.no/Media/2/0/300_300/788FFCEA0F73D7A6BB534B487B4E712F_200196_0.jpg,
200160,TIB0142,Tigi Bedhead Urban Antidotes Re-energize Shampoo 750ml,Hårpleie,615908415551,,Tigi Bedhead,53.21,455,455,https://www.blivakker.no/product/200160,http://static.blivakker.no/Media/2/0/300_300/DA82F3BEDE228C4A1C725A7FDB32E73E_200160_1.jpg,
3010343,NEC0005,Neccin Shampoo Nr 1 Dandruff Treatment 1000ml,Hårpleie,7331162255100,418,Neccin,167.4,469,549,https://www.blivakker.no/product/3010343,http://static.blivakker.no/Media/2/0/300_300/1730ED79A73CA1C3DE228FF677A23C36_3010343_1.jpg,
3057392,SWI0002,Swiss Whitening,Tannpleie,,186,Swiss Clinic,171.00,599,680,https://www.blivakker.no/product/3057392,http://static.blivakker.no/Media/2/0/300_300/CE9E1A715C10D39BCDDE72CEBFDF6A94_3057392_1.jpg,
3025724,SHE0033,Shelas Leather Brushes Sett 12 Deler,Accessories,,1419,Shela`s,165.13,1190,,https://www.blivakker.no/product/3025724,http://static.blivakker.no/Media/2/0/300_300/CB62FEB69C478110E0D5F665E7D83F55_3025724_1.jpg,
3060127,SHE0291,Shelas Pinsett 'Slanted Tip Black',Negler,,2,Shela`s,46143.00,149,,https://www.blivakker.no/product/3060127,http://static.blivakker.no/Media/2/0/300_300/087F83E30BB4734641BE18A928E7C8A5_3060127_0.jpg,
