identifier,sku,category,brand,name,url,price,promo_start,promo_end
2277,740617252699,Periféricos > Audio > Auscultadores > Com Fio,,Auscultadores HyperX CloudX (HX-HSCX-SR/EE),https://www.pcdiga.com/2/21401/Auscultadores-HyperX-CloudX-HX-HSCX-SR-EE,99.99,2016-09-16,
2411,740617258516,Componentes > Memórias > DDR4 > Mais de 2666Mhz,,HyperX Predator DDR4-3000MHz 2x8GB (HX430C15PB3K2/16),https://www.pcdiga.com/2/21466/HyperX-Predator-DDR4-3000MHz-2x8GB-HX430C15PB3K2-16,119.9,2016-09-16,
2793,daolong2xpspcielp,Componentes > Placas Comunicação,,Placa Longshine RS232 PCIe LCS-6321-LP (LCS-6321-LP),https://www.pcdiga.com/2/21182/Placa-Longshine-RS232-PCIe-LCS-6321-LP-LCS-6321-LP,26.9,2016-09-16,
2413,740617258455,Componentes > Memórias > DDR4 > Mais de 2666Mhz,,HyperX Predator DDR4-3200MHz 2x4GB (HX432C16PB3K2/8),https://www.pcdiga.com/2/21470/HyperX-Predator-DDR4-3200MHz-2x4GB-HX432C16PB3K2-8,66.9,2016-09-16,
2414,740617258462,Componentes > Memórias > DDR4 > Mais de 2666Mhz,,HyperX Predator DDR4-3200MHz 2x8GB (HX432C16PB3K2/16),https://www.pcdiga.com/2/21472/HyperX-Predator-DDR4-3200MHz-2x8GB-HX432C16PB3K2-16,119.9,2016-09-16,
324,4712900084412,Redes / Comunicação > Access Point,,Range Extender Asus AC1750 RP-AC66 (90IG0250-BO3R00),https://www.pcdiga.com/2/21614/Range-Extender-Asus-AC1750-RP-AC66-90IG0250-BO3R00,109.9,2016-09-16,
3773,sn-506bb/bebe,Componentes > Drives Ópticas > Gravadores Blu-Ray,,Samsung BD-RW Slim 8x Sata Preto Bulk (SN-506BB/BEBE),https://www.pcdiga.com/2/13651/Samsung-BD-RW-Slim-8x-Sata-Preto-Bulk-SN-506BB-BEBE,69.9,2016-09-16,
728,4712900328639,Redes / Comunicação > Placas Rede > Wireless/Wifi,,Placa Rede Asus AC1200 PCE-AC55BT (90IG02Q0-MM0010),https://www.pcdiga.com/2/21615/Placa-Rede-Asus-AC1200-PCE-AC55BT-90IG02Q0-MM0010,49.9,2016-09-16,
1850,8716309086905,Periféricos > Audio > Auriculares,,Auriculares Gembird Bluetooth headset (BTHS-06),https://www.pcdiga.com/2/21620/Auriculares-Gembird-Bluetooth-headset-BTHS-06,9.9,2016-09-16,
3609,9084215,Computadores > Raspberry Pi,,Caixa Preta Raspberry Pi 3 (908-4215),https://www.pcdiga.com/2/21613/Caixa-Preta-Raspberry-Pi-3-908-4215,9.9,2016-09-16,
3670,8886419342267,Periféricos > Ratos/Teclados > Teclados > Com Fio,,Teclado Razer DeathStalker Chroma US (RZ03-01500200-R3M1),https://www.pcdiga.com/2/21612/Teclado-Razer-DeathStalker-Chroma-US-RZ03-01500200-R3M1,114.89,2016-09-16,
