Code,Description,Spicer_Code
RX13045BU,Nyrex80 Projectfile A4 Blue Pk5 13045Bu,009719
RX13045R,Nyrex80 Projectfile A4 Red Pk5 13045R,009743
RX13035BU,Nyrex80 Boardroom File A4 Blue Pk5 Brfa4,009816
RX13035R,Nyrex80 Boardroom File A4 Red Pk5 Brfa4,009859
EP08403,Epson Inkjet Twin Pack T008403 Colour,009995
EA28243,El Colorado 50 Miniarch A4 Blue 28243,010007
EP09402,Epson Inkjet Twin Pack T009402 Colour,010221
EA30443,Colorado Boxfile Lockspring A4 Bu 30443,010325
EP27403,Epson Inkjet Twin Pack T027403 Colour,010344
EA30448,Colorado Boxfile Lockspring A4 Red 30448,01035X
EA30413,Colorado Boxfile Lockspring Fc Bu 30413,010376
HPQ6591A,HP Superior Matt 180 IJet Ppr A3 Q6591A,010548
HPQ6592A,HP Superior Matt 180 IJet Ppr A4 Q6592A,010572
BI2350,Note Block Refill 700Sheet White Bi2350,010635
BI2351,Note Block Refill 700Sheet Col Bi2351,010643
BI1012,Fluorescent Copier Ppr A4 Ast Pk100 1012,010848
BI1020,Duo Tone Fluor Paper A4 Ast Pk100 1020,010856
PA03063,Quink Cartridges R/Blue Washable Pk5,011045
RF216081,Blotter Commercial Demy Blk 216081,01107X
RF215981,Blotter Commercial H/Demy Blk 215981,011118
RF211281,Blotter Military End Demy Blk 211281,011150
RF215881,Blotter Military End H/Demy Blk 215881,011193
HPQ6593A,HP Prof Inkjet Ppr 120g Matt A4 Pk200,011585
ED41255,Uhu White Tack 42196,011592
HPQ6594A,HP Prof Inkjet Ppr 120g Matt A3 Q6594A,011632
HPQ5942A,HP Laser Tnr LsrJet Smart Blk Q5942A,011690
ED45611,Uhu Stick 21G 45611,011738
ED45621,Uhu Stick 40G 45621,011746
PB24242,Postsafe Env S/S 240X320Mm Clr Pk100 P24,011819
PB25252,Postsafe Env S/S 240X320Mm Opq Pk100 P25,011827
PB26262,Postsafe Env S/S 440X320Mm Opq Pk100 P26,011835
PB27272,Postsafe Env S/S 430X400Mm Opq Pk100 P27,011843
PB28282,Postsafe Env S/S 460X430Mm Opq Pk100 P28,011851
PB29100,Postsafe XS Peel 595x430/60mm Opq P100,01186X
PB30303,Postsafe Env S/S 440X320Mm Clr Pk100 P30,011878
PB32324,Postsafe Env S/S 335X430Mm Opq Pk100 P32,011886
PB33333,Postsafe Env Tamper 220X305Mm Pk100 P33,011894
PB36363,Postsafe Env Tamper 165X260Mm Pk100 P36,011916
SK11151,Snopake Polyfile Fcp Blue 11151,012024
SK11154,Snopake Polyfile Fcp Clear 11154X,012032
SK02692,Snopake Poly Ring Bndr A4 25Mm Blu 10180,012075
SK02701,Snopake Poly Ring Bndr A4 25Mm Clr 10183,012083
SK03115,Snopake Clampbinder Superline Clr 12772,012113
SK02597,Snopake Polyfile Fcp Plus Pink 11163,01213X
SK02651,Snopake Polyfile Fcp Plus Purp 11162,012148
SK02603,Snopake Polyfile Fcp Plus Electra Turq,012156
SK02921,Snopake Polyfile Fcp Electra Blue 11164,012164
SK02633,Snopake Polyfile Fcp Plus Emerald Green,012172
SK10088,Snopake P/File Plus Fc Electra Ast Pk5,012180
SK11355,Snopake Polyfile A5 Electra Ast P5 11355,012199
SK03060,Snopake A4 Disp Book 10Pckt Asstd Pk10,012253
HPQ5942X,HP Laserjet Smart HY Cart Q5942X Blk,012271
SK03100,Snopake A4 Disp Book 24Pckt Asstd Pk10,012288
SK03902,Snopake A4 2RBinder 25mm Electra Purp,01230X
SK03894,Snopake A4 2RBinder 25mm Electra Blue,012334
SK10165,Snopake 2R Electra A4 25Mm P10 Ast 10165,012350
HPQ5949A,HP LaserJet Smart Cartridge Q5949A Black,012459
HPQ5949X,HP LaserJet Smart Cart Hi Cap Q5949X Blk,012475
SK02813,Snopake Clamp Binder Asst 12790 Pk10,012520
SK11756,Polyplus Wlt Electra A4 Asst Pk5 11756,012555
PA03164,Parker Vector Rball Black 03164,012687
SK12565,Snopake Polyfile Id Bright Ast Pk5 12565,012695
SK11892,Snopake Organiser 6Part Dark Blue 11892,012717
MIUB155BK,Uniball Micro Deluxe 0.2Mm Black 155,013062
MIUB155BU,Uniball Micro Deluxe 0.2Mm Blue 155,013070
MI150BK,Uniball Micro Eye 0.2Mm Black Ub150,013089
MI150BU,Uniball Micro Eye 0.2Mm Blue Ub150,013097
MI157BK,Unieye Fine Rollerball Black Ub157,013100
ST33170,Staedtler Lumocolor Sf Perm Black 313-9,013143
ST33165,Staedtler Lumocolor Sf Perm Blue 313-3,013151
ST33164,Staedtler Lumocolor Sf Perm Red 313-2,01316X
MI157BU,Unieye Fine Rollerball Blue Ub157,013178
PA03062,Quink Cartridges Perm Blue Pk5,013208
ST33192,Staedtler Lumocolor M Wbase Black 315-9,013259
ST33187,Staedtler Lumocolor M Wbase Blue 315-3,013267
MI92894,Uniball Gel Grip Rollerball Black,013283
MI92895,Uniball Gel Grip Rollerball Blue,013291
PA9302,Parker Rollerball Refill Medium Blue,013305
MI92826,Uniball Gel Impact Rollerball Black,013313
PA03123,Parker Vector Fpen Black Medium 67407,013321
ST33222,Staedtler Lumocolor M Perm Black 317-9,013364
ST33217,Staedtler Lumocolor M Perm Blue 317-3,013372
ST33216,Staedtler Lumocolor M Perm Red 317-2,013380
MI92827,Uniball Gel Impact Rollerball Blue,013399
AR83025,Artline Pen 0.4Mm Tip Black 200,013402
AR83026,Artline Pen 0.4Mm Tip Blue 200,013410
AR83027,Artline Pen 0.4Mm Tip Red 200,013429
ST33212,Staedtler Lumocolor F Wbase Black 316-9,013496
ST33200,Staedtler Lumocolor F Wbase Blue 316-3,01350X
ST33247,Staedtler Lumocolor F Perm Black 318-9,013542
ST33231,Staedtler Lumocolor F Perm Blue 318-3,013550
ST33227,Staedtler Lumocolor F Perm Red 318-2,013569
AR80151,Artline Marker Black 70,013585
HM13201,Monolith Lrg Whled Nylon Pilots Case Blk,013836
HM2271,Monolith Pilots Case Bonded Leather Blk,013844
HM50090,Masters Nylon Laptop Workstn Case Black,013852
HM2765BK,Monolith Briefcase Softsided Black 2765,013879
ED500BK,Edding Permanent Marker Black 500,01405X
BC13672,Bic Atlantis Retract Bpen Red 1199013672,014084
CO86855,Canon High Res Ppr A3 Pk100 Hr-101A3,01419X
CLEAB1,Collins Account Book Essential Eab1,014203
CL76752,Collins Ideal Book Double Cash 192pp,01436X
CL76751,Collins Ideal Book 11.75x6 Feint 192pp,014416
CL76743,Collins Ideal Book A5 Feint 192pp 468R,014424
CL76744,Collins Ideal Book A6 Feint 192pp 418R,014475
CL76742,Collins Ideal Book A4 Feint 192pp 6428R,014483
JFBW,Jiffy Bubblefilm Roll 750Mmx75M Sl20,01470X
ES26900,Orgarex Lat Insert Wht Org Tip Pk10x25,014718
ES21630,Orgarex 50mm Lateralfile A4 21630 P25,014742
PI15492,Pilot Supergrip Bpoint Pen Red 215101202,014831
PA03061,Quink Cartridges Perm Black Pk5,015071
PA9301,Parker Rollerball Refill Medium Black,015101
AG15772,Addis President Pump Pot 2Lt Chrome,01511X
BR67964,Berol ToughPoint Marker Bullet Blk,015209
AG17514,Addis Neo 8 Cup Cafetiere Black 1235089,015292
PA03065,Quink Cartridges Perm Blue/Black Pk5,015306
AG813417,Addis 48Ltr Rolltop Bin Metallic,015373
AG813411,Addis Dustbin Round 90Litre Grey,015462
SEC00331,Standard Uv Lamp Red/Black Pssuvl,015691
ED49814,Edding 751 Paint Marker Silver 751-054,015713
AL17391,Durable 14.7Ltr Cylinder Metal Bin Silv,015950
PE99859,Pentel Pencil Sharplet-2 0.5Mm Blk A125A,015993
SS7058,Stabilo Boss Pen Lilac 70/58/10,016050
SS7024,Stabilo Boss Pen Yellow 70/24/10,016069
SS7033,Stabilo Boss Pen Green 70/33/10,016077
SS7054,Stabilo Boss Pen Orange 70/54/10,016085
SS7056,Stabilo Boss Pen Pink 70/56/10,016093
SS7031,Stabilo Boss Pen Blue 70/31/10,016107
BB85332,Fellowes 64 Capacity CD Wallet Black,016132
PE04026,Pentel Clutch Pencil 0.9Mm P209,016212
PE04025,Pentel Clutch Pencil 0.7Mm P207,016220
PE04024,Pentel Clutch Pencil 0.5Mm P205,016239
PE100HB,Pentel Leads 0.5Mm Tube12 Hb C505-Hb,016263
PE50HB,Pentel Leads 0.7Mm Tube12 Hb 50,016271
PEPPSHB,Pentel Leads 0.9Mm Tube15 Hb 50/Hb9,01628X
PEX100W,Pentel Valve Marker Bullet White X100W,016441
PEM180BK,Pentel Marker Chisel Tip Black M180/6-A,01645X
PEM180BU,Pentel Marker Chisel Tip Blue M180/6-C,016468
PEM180R,Pentel Marker Chisel Tip Red M180/6-B,016476
PEN50BK,Pentel Marker Bullet Tip Black N50-A,016506
PEN50R,Pentel Marker Bullet Tip Red N50-B,016514
PEN50BU,Pentel Marker Bullet Tip Blue N50-C,016522
