name,category,price,code,brand,id,image_url
Robot de tonte R40Li,Robotic,1299,R40li,Gardena,136,http://cdn.gardena.com/dimage.axd/productLarge/ga310-0092/600x400/robot-de-tonte-r40li-569fbfa8.jpg
Robot de tonte R70Li,Robotic,1599,R70li,Gardena,137,http://cdn.gardena.com/dimage.axd/productLarge/ga310-0182/600x400/robot-de-tonte-r70li-45343a08.jpg
Robot de tonte R50Li,Robotic,1399,R50li,Gardena,138,
,Pro electric,,CS36DL,Hitachi,139,
,Pro electric,,CG36DL(L),Hitachi,140,
,Pro electric,,CG36DAL,Hitachi,141,
,Pro electric,,CG36DAL(L),Hitachi,142,
,Pro electric,,CH36DL,Hitachi,143,
,Pro electric,,RB36DL,Hitachi,144,
Tondeuse robot Honda Miimo 300,Robotic,,Miimo 300,Honda,145,http://www.honda-equipement.fr/medium/9258_height-200-render-crop-width-200.png
Tondeuse robot Honda Miimo 500,Robotic,,Miimo 500,Honda,146,http://www.honda-equipement.fr/medium/9257_height-200-render-crop-width-200.png
,Wheeled,,HF 2417 HBF,Honda,147,
Tronçonneuse T536Li XP,Pro electric,469,T536Li XP,Husqvarna,148,http://cdn.husqvarna.com/dimage.axd/productDetail/h110-0301b/t536-li-xp-batteri-29f530fb.png
Tronçonneuse 536Li XP,Pro electric,445,536Li XP,Husqvarna,149,http://cdn.husqvarna.com/dimage.axd/productDetail/h110-0302/536-li-xp-batteri-46c1f25b.png
Tronçonneuse 436Li,Pro electric,395,436Li,Husqvarna,150,http://cdn.husqvarna.com/dimage.axd/productDetail/h110-0303/436-li-batteri-6305f1f1.png
,Pro electric,,136Li,Husqvarna,151,
,Pro electric,,536LiR,Husqvarna,152,http://cdn.husqvarna.com/dimage.axd/productDetail/h210-0367/536-li-r-batteri-5e7d0e44.png
Coupe bordures à batterie 536LiL,Pro electric,,536LiL,Husqvarna,153,http://cdn.husqvarna.com/dimage.axd/productDetail/h210-0468/536-lil-batteri-50b2750b.png
Coupe bordures à batterie 136LiC,Pro electric,499,136LiC,Husqvarna,154,http://cdn.husqvarna.com/dimage.axd/productDetail/h210-0526/136-li-c-batteri-3d62658.png
,Pro electric,,136LiL,Husqvarna,155,
Taille haie 536LiHD70X,Pro electric,509,536LiHD70X,Husqvarna,156,http://cdn.husqvarna.com/dimage.axd/productDetail/h210-0440/536lihd60x-batteri-38df2a13.png
Taille haie 536LiHD60X,Pro electric,479,536LiHD60X,Husqvarna,157,http://cdn.husqvarna.com/dimage.axd/productDetail/h210-0440/536lihd60x-batteri-38df2a13.png
Taille haie 136LiHD50,Pro electric,529,136LiDH50,Husqvarna,158,http://cdn.husqvarna.com/dimage.axd/productDetail/h210-0370/136-li-hd50-batteri-440be993.png
,Pro electric,,136LiDH45,Husqvarna,159,
,Pro electric,,536LiBX,Husqvarna,160,
,Pro electric,,536LiB,Husqvarna,161,
,Pro electric,,436LiB,Husqvarna,162,
Tondeuse robot : Automower 305,Robotic,1529,Automower 305,Husqvarna,163,http://cdn.husqvarna.com/dimage.axd/productDetail/h310-0496/automower-305-656cda25.png
Tondeuse robot : Automower 308,Robotic,1839,Automower 308,Husqvarna,164,http://cdn.husqvarna.com/dimage.axd/productDetail/h310-0709/automower-308-1431a646.png
Tondeuse robot : Automower 310,Robotic,,Automower 310,Husqvarna,165,
Tondeuse robot : Automower 315,Robotic,,Automower 315,Husqvarna,166,
