10162,City Airport,60104,Airport Passenger Terminal,99.99,,,,
149,LEGO® City Deep Sea Exploration,60090,Deep Sea Scuba Scooter,6.99,8/1/2015,12/31/2016,38%,Core
150,LEGO® City Deep Sea Exploration,60091,Deep Sea Starter Set,9.99,8/1/2015,12/31/2016,38%,Core
151,LEGO® City Deep Sea Exploration,60092,Deep Sea Submarine,39.99,8/1/2015,12/31/2016,38%,Core
152,LEGO® City Deep Sea Exploration,60093,Deep Sea Helicopter,49.99,8/1/2015,12/31/2016,34%,Core
153,LEGO® City Deep Sea Exploration,60095,Deep Sea Exploration Vessel,119.99,8/1/2015,12/31/2016,34%,Core
614,LEGO® City Deep Sea Exploration,60096,Deep Sea Operation Base,99.99,8/1/2015,12/31/2016,38%,Core
140,LEGO® City Demolition,60072,Demolition Starter Set,9.99,3/1/2015,7/31/2016,38%,Core
141,LEGO® City Demolition,60073,Service Truck,24.99,3/1/2015,7/31/2016,34%,Core
142,LEGO® City Demolition,60074,Bulldozer,39.99,3/1/2015,7/31/2016,34%,MAP
144,LEGO® City Demolition,60076,Demolition Site,89.99,3/1/2015,7/31/2016,34%,MAP
10162,City Fire,60105,Fire ATV,6.99,,,,
10162,City Fire,60106,Fire Starter Set,9.99,,,,
10162,City Fire,60107,Fire Ladder Truck,24.99,,,,
10162,City Fire,60108,Fire Response Unit,39.99,,,,
10162,City Fire,60109,Fire Boat,79.99,,,,
10162,City Fire,60110,Fire Station,99.99,,,,
10162,City Fire,60111,Fire Utility Truck,39.99,,,,
10162,City Fire,60112,Fire Engine,49.99,,,,
131,LEGO® City Great Vehicles,60081,Pickup Tow Truck,19.99,1/1/2015,12/31/2016,38%,Core
134,LEGO® City Great Vehicles,60084,Racing Bike Transporter,19.99,1/1/2015,12/31/2016,38%,MAP
138,LEGO® City Great Vehicles,60085,4x4 with Powerboat,29.99,1/1/2015,12/31/2016,38%,Core
10162,City Great Vehicles,60113,Rally Car,9.99,,,,
10162,City Great Vehicles,60114,Race Boat,9.99,,,,
10162,City Great Vehicles,60115,4 x 4 Off Roader,19.99,,,,
10162,City Great Vehicles,60116,Ambulance Plane,19.99,,,,
10162,City Great Vehicles,60117,Van & Caravan,19.99,,,,
10162,City Great Vehicles,60118,Garbage Truck,19.99,,,,
10162,City Great Vehicles,60119,Ferry,29.99,,,,
10162,City In/Out,60120,Volcano Starter Set,9.99,,,,
10162,City In/Out,60121,Volcano Exploration Truck,24.99,,,,
10162,City In/Out,60122,Volcano Crawler,39.99,,,,
10162,City In/Out,60123,Volcano Supply Helicopter,49.99,,,,
10162,City In/Out,60124,Volcano Exploration Base,119.99,,,,
10162,City In/Out,60125,Volcano Heavy-lift Helicopter,149.99,,,,
124,LEGO® City Police,60044,Mobile Police Unit,44.99,1/1/2014,12/31/2016,35%,Core
128,LEGO® City Police,60047,Police Station,99.99,1/1/2014,12/31/2016,35%,Core
123,LEGO® City Police,60067,Helicopter Pursuit,39.99,1/1/2015,12/31/2016,34%,Core
127,LEGO® City Police,60069,Swamp Police Station,89.99,1/1/2015,12/31/2016,34%,MAP
581,LEGO® City Police,60071,Hovercraft Arrest,44.99,1/1/2015,12/31/2016,38%,Core
10162,City Police,60126,Tire Escape,6.99,,,,
10162,City Police,60127,Prison Island Starter Set,9.99,,,,
10162,City Police,60128,Police Pursuit,24.99,,,,
10162,City Police,60129,Police Patrol Boat,49.99,,,,
10162,City Police,60130,Prison Island,89.99,,,,
10162,City Police,60131,Crooks Island,29.99,,,,
145,LEGO® City Space Port,60077,Space Starter Set,9.99,8/1/2015,12/31/2016,38%,Core
146,LEGO® City Space Port,60078,Utility Shuttle,24.99,8/1/2015,12/31/2016,34%,Core
147,LEGO® City Space Port,60079,Training Jet Transporter,49.99,8/1/2015,12/31/2016,38%,Core
148,LEGO® City Space Port,60080,Spaceport,119.99,8/1/2015,12/31/2016,34%,Core
176,LEGO® City Supplementary,7280,Straight & Crossroad,14.99,10/1/2014,7/31/2018,38%,Core
177,LEGO® City Supplementary,7281,T-junction & Curve,14.99,10/1/2014,7/31/2018,38%,Core
157,LEGO® City Town,60097,City Square,189.99,8/1/2015,12/31/2017,38%,Core
10162,City Town,60132,Service Station,89.99,,,,
10162,City Town,60133,LEGO® City Advent Calendar,29.99,,,,
10162,City Town,60134,Fun in the park - City People Pack,39.99,,,,
173,LEGO® City Trains,60050,Train Station,64.99,8/1/2014,7/31/2018,38%,Core
174,LEGO® City Trains,60051,High-speed Passenger Train,149.99,8/1/2014,7/31/2018,38%,Core
175,LEGO® City Trains,60052,Cargo Train,199.99,8/1/2014,7/31/2018,38%,Core
615,LEGO® City Trains,60098,Heavy-Haul Train,199.99,8/1/2015,12/31/2016,38%,Core
172,LEGO® City Trains,7499,Flexible Tracks,19.99,1/1/2011,7/31/2018,38%,Core
171,LEGO® City Trains,7895,Switch Tracks,15.99,6/1/2006,7/31/2018,38%,Core
498,LEGO® Creator Expert®,10214,Tower Bridge,239.99,1/1/2013,12/31/2016,38%,RPM - 1H 2015
492,LEGO® Creator Expert®,10218,Pet Shop,149.99,6/1/2011,12/31/2016,38%,RPM - 1H 2015
491,LEGO® Creator Expert®,10220,Volkswagen T1 Camper Van,119.99,1/1/2013,12/31/2016,38%,RPM - 1H 2015
493,LEGO® Creator Expert®,10232,Palace Cinema,149.99,3/1/2013,12/31/2016,38%,RPM - 1H 2015
499,LEGO® Creator Expert®,10234,Sydney Opera House™,319.99,9/1/2013,12/31/2017,38%,RPM - 1H 2015
489,LEGO® Creator Expert®,10242,MINI Cooper,99.99,8/1/2014,12/31/2017,38%,RPM - 1H 2015
495,LEGO® Creator Expert®,10243,Parisian Restaurant,159.99,1/1/2014,12/31/2017,38%,RPM - 1H 2015
494,LEGO® Creator Expert®,10244,Fairground Mixer,149.99,6/1/2014,12/31/2017,38%,RPM - 1H 2015
487,LEGO® Creator Expert®,10245,Santa's Workshop,69.99,10/1/2014,12/31/2016,38%,RPM - 1H 2015
496,LEGO® Creator Expert®,10246,Detective’s Office,159.99,1/1/2015,12/31/2018,38%,RPM - 1H 2015
497,LEGO® Creator Expert®,10247,Ferris Wheel,199.99,6/1/2015,12/31/2018,38%,RPM - 1H 2015
490,LEGO® Creator Expert®,10248,Ferrari F40,99.99,8/1/2015,12/31/2018,30%,Core
488,LEGO® Creator Expert®,10249,Winter Toy Shop,79.99,10/1/2015,12/31/2017,38%,Core
10162,Creator Expert,10251,Brick Bank,169.99,,,,
10162,Creator Expert,10252,Confidential -  Expert 2 2016,99.99,,,,
10162,Creator Expert,10253,Confidential - Expert 3 2016,249.99,,,,
10162,Creator Expert,10254,Confidential -  Expert 4 2016,99.99,,,,
322,LEGO® Creator,31027,Blue Racer,4.99,1/1/2015,12/31/2016,38%,Core
321,LEGO® Creator,31028,Sea Plane,4.99,1/1/2015,12/31/2016,38%,Core
324,LEGO® Creator,31029,Cargo Heli,9.99,1/1/2015,12/31/2016,38%,Core
328,LEGO® Creator,31031,Rainforest Animals,14.99,1/1/2015,12/31/2016,38%,Core
327,LEGO® Creator,31032,Red Creatures,14.99,1/1/2015,12/31/2016,38%,Core
335,LEGO® Creator,31033,Vehicle Transporter,24.99,1/1/2015,12/31/2016,38%,MAP
334,LEGO® Creator,31034,Future flyers,24.99,1/1/2015,12/31/2016,38%,Core
339,LEGO® Creator,31035,Beach Hut,29.99,1/1/2015,12/31/2016,38%,Core
341,LEGO® Creator,31036,Toy & Grocery Shop,39.99,1/1/2015,12/31/2016,38%,MAP
333,LEGO® Creator,31037,Adventure Vehicles,24.99,8/1/2015,12/31/2016,38%,Core
342,LEGO® Creator,31038,Changing Seasons,49.99,8/1/2015,12/31/2016,38%,Core
343,LEGO® Creator,31039,Blue Power Jet,69.99,8/1/2015,12/31/2016,38%,Core
10162,LEGO Creator,31040,Desert Racers,4.99,,,,
10162,LEGO Creator,31041,Construction Vehicles,4.99,,,,
10162,LEGO Creator,31042,Super Soarer,9.99,,,,
10162,LEGO Creator,31043,Chopper Transporter,9.99,,,,
10162,LEGO Creator,31044,Park Animals,14.99,,,,
10162,LEGO Creator,31045,Ocean Explorer,14.99,,,,
10162,LEGO Creator,31046,Fast Car,19.99,,,,
10162,LEGO Creator,31047,Propeller Plane,19.99,,,,
10162,LEGO Creator,31048,Lakeside Lodge,29.99,,,,
10162,LEGO Creator,31049,Twin Spin Helicopter,29.99,,,,
10162,LEGO Creator,31050,Corner Deli,39.99,,,,
10162,LEGO Creator,31051,Lighthouse Point,59.99,,,,
10162,LEGO Creator,31052,Vacation Getaways,69.99,,,,
10162,LEGO Creator,31053,Treehouse Adventures,34.99,,,,
1240,Mixels,41545,Kramm,4.99,,,,
1241,Mixels,41546,Forx,4.99,,,,
1242,Mixels,41547,Wuzzo,4.99,,,,
1243,Mixels,41548,Dribbal,4.99,,,,
1244,Mixels,41549,Gurggle,4.99,,,,
1245,Mixels,41550,Slusho,4.99,,,,
1246,Mixels,41551,Snax,4.99,,,,
1247,Mixels,41552,Berp,4.99,,,,
1248,Mixels,41553,Vaka-Waka,4.99,,,,
10162,Mixels,41554,Kuffs,4.99,,,,
10162,Mixels,41555,Busto,4.99,,,,
10162,Mixels,41556,Tiketz,4.99,,,,
10162,Mixels,41557,Camillot,4.99,,,,
10162,Mixels,41558,Mixadel,4.99,,,,
10162,Mixels,41559,Paladum,4.99,,,,
10162,Mixels,41560,Jamzy,4.99,,,,
10162,Mixels,41561,Tapsy,4.99,,,,
10162,Mixels,41562,Trumpsy,4.99,,,,
10162,Mixels,41563,Splasho,4.99,,,,
10162,Mixels,41564,Aquad,4.99,,,,
10162,Mixels,41565,Hydro,4.99,,,,
10162,Mixels,41566,Sharx,4.99,,,,
10162,Mixels,41567,Skulzy,4.99,,,,
