sku,name,price,brand_id,brand,brand_type,department_desc,category,sub_category,segment
798177,Neutrogena Hydroboost Water Spf15 40ml,$24.99,NEUT,NEUTROGENA,National Trusted Brand,Everyday Needs,Beauty Care,Teenage Skincare,Nuetrogena
701905,Wet Ones Be Fresh Travel Pack 15s,$2.00,WETO,WET ONES,National Trusted Brand,Everyday Needs,Toiletries,Travel Toiletries,Hand Sanitizr/Wipe
726290,Toni & Guy Prep Mist Heat Protect 150ml,$15.95,TONI,TONI & GUY,National Trusted Brand,Everyday Needs,Toiletries,Shampoo&Conditionr,Treatments
789933,Raffertys Garden Mac & Chees Veg 8Month 150g,$2.00,RAFF,RAFFERTY'S GARDEN,National Trusted Brand,Everyday Needs,Baby Consumables,Baby Food,Pouches
379191,Garnier Fructis Ser Sleek & Shine 150ml,$11.25,FRUC,FRUCTIS,National Trusted Brand,Everyday Needs,Toiletries,Shampoo&Conditionr,Treatments
8399726,Cedel Dry Shampoo Original 150ml,$8.95,CEDA,CEDEL,National Trusted Brand,Everyday Needs,Toiletries,Hair Styling,Dry Shampoo
324146,Nordic Blonde Toner 150ml,$8.95,NORD,NORDIC,National Trusted Brand,Everyday Needs,Toiletries,Hair Colour,Schwarzkopf
349321,Rexona Men Antiperspirant Adventure 250ml,$6.50,REXO,REXONA,National Trusted Brand,Everyday Needs,Toiletries,Deodorants,Mens Sprays
231928,Clearasil Ultra Deep Pore Scrub 150ml,$14.75,CLES,CLEARASIL,National Trusted Brand,Everyday Needs,Beauty Care,Teenage Skincare,Clearasil
8333700,Lady Jayne Bun Styler Small DARK,$9.45,LADJ,LADY JAYNE,National Trusted Brand,Everyday Needs,Toiletries,Hair Accessories,Access Lady Jayne
8333699,Lady Jayne Bun Styler Small LIGHT,$9.45,LADJ,LADY JAYNE,National Trusted Brand,Everyday Needs,Toiletries,Hair Accessories,Access Lady Jayne
8333685,Lady Jayne Bun Styler Large Dark,$9.95,LADJ,LADY JAYNE,National Trusted Brand,Everyday Needs,Toiletries,Hair Accessories,Access Lady Jayne
