Exit Date,Product Number,Launch Date,Product Description,ACV Fall,Future Product Policy,ACV Spg,Present Product Policy,Theme,NIP ($),On Shelf,Item ID,Margin,Case Pack,RRP
12/31/2015,21011,9/1/2011,Brandenburg Gate,0,C,0,C,LEGO® Architecture,27.89,Full Year,4642308,38%,3,44.99
7/31/2015,70726,1/1/2014,Destructoid,0,D,0,D,LEGO® Ninjago,29.24,Spring Only,6060931,35%,3,44.99
12/31/2015,41086,1/1/2015,Vet Ambulance,0,A,0,A,LEGO® Friends,8.05,January,6099626,38%,5,12.99
12/31/2015,76021,6/1/2014,The Milano Spaceship Rescue,0,A,0,A,LEGO® Super Heroes,62.99,Full Year,6062405,30%,3,89.99
12/31/2015,79012,12/1/2013,Mirkwood™ Elf Army,0,A,0,A,LEGO® The Hobbit™ and The Lord of the Rings™,24.49,Full Year,6052801,30%,3,34.99
12/31/2015,79016,10/15/2014,Attack on Lake-town,0,A,0,A,LEGO® The Hobbit™ and The Lord of the Rings™,24.49,Full Year,6062291,30%,4,34.99
12/31/2015,79017,10/15/2014,The Battle of Five Armies™,0,A,0,A,LEGO® The Hobbit™ and The Lord of the Rings™,52.49,Full Year,6062293,30%,3,74.99
12/31/2015,79014,12/1/2013,Dol Guldur Battle,0,C,0,C,LEGO® The Hobbit™ and The Lord of the Rings™,59.49,Full Year,6052806,30%,3,84.99
12/31/2015,79015,10/15/2014,Witch-king Battle,0,A,0,A,LEGO® The Hobbit™ and The Lord of the Rings™,12.59,Full Year,6062289,30%,8,17.99
12/31/2015,79018,10/15/2014,The Lonely Mountain,0,C,0,C,LEGO® The Hobbit™ and The Lord of the Rings™,104.99,Full Year,6062295,30%,2,149.99
12/31/2015,6136,6/1/2014,My First Zoo,0,C,0,C,LEGO® DUPLO® Town,16.24,Full Year,6070180,35%,2,24.99
12/31/2015,75034,3/1/2014,Death Star Troopers™,0,A,0,A,LEGO® Star Wars™,11.19,Full Year,6060918,30%,8,15.99
12/31/2015,75036,3/1/2014,Utapau Troopers™,0,C,0,C,LEGO® Star Wars™,11.19,Full Year,6060928,30%,8,15.99
12/31/2015,60053,1/1/2014,Race Car,0,A,0,A,LEGO® City Great Vehicles,8.44,Full Year,6056696,35%,6,12.99
12/31/2015,60055,1/1/2014,Monster Truck,0,A,0,A,LEGO® City Great Vehicles,8.44,Full Year,6056700,35%,6,12.99
