Exit Date,Product Number,Launch Date,Product Description,ACV Fall,Future Product Policy,ACV Spg,Present Product Policy,Theme,NIP ($),On Shelf,Item ID,Margin,Case Pack,RRP
5/31/2016,10682,9/1/2014,LEGO® Creative Suitcase,0,C,0,C,LEGO® Classic,45.49,Full Year,6061818,35%,2,69.99
12/31/2018,10692,1/1/2015,LEGO® Creative Bricks,0,A,0,A,LEGO® Classic,13.19,January,6101959,34%,3,19.99
12/31/2018,10693,1/1/2015,LEGO® Creative Supplement,0,A,0,A,LEGO® Classic,15.49,January,6101961,38%,3,24.99
12/31/2018,10694,1/1/2015,LEGO® Creative Supplement Bright,0,A,0,A,LEGO® Classic,15.49,January,6101965,38%,3,24.99
12/31/2016,10695,1/1/2015,LEGO® Creative Building Box,0,C,0,C,LEGO® Classic,19.79,January,6101968,34%,2,29.99
12/31/2018,10696,1/1/2015,LEGO® Medium Creative Brick Box,0,B,0,B,LEGO® Classic,23.09,January,6102212,34%,2,34.99
12/31/2016,10697,8/1/2015,LEGO® Large Creative Box,0,C,0,,LEGO® Classic,46.19,August,6101977,34%,2,69.99
12/31/2018,10698,1/1/2015,LEGO® Large Creative Brick Box,0,B,0,B,LEGO® Classic,39.59,January,6102215,34%,2,59.99
12/31/2018,10699,1/1/2015,Sand Baseplate,0,E,0,E,LEGO® Classic,6.19,January,6102276,38%,12,9.99
12/31/2018,10700,1/1/2015,Green Baseplate,0,E,0,E,LEGO® Classic,6.19,January,6102278,38%,12,9.99
12/31/2018,10701,1/1/2015,Gray Baseplate,0,E,0,E,LEGO® Classic,11.15,January,6102280,38%,12,17.99
,10702,,LEGO® Creative Building Set,,,,,LEGO Classic,,,,,,39.99
,10705,,LEGO® Creative Building Basket,,,,,LEGO Classic,,,,,,79.99
12/31/2018,630,1/1/1996,Brick Separator,0,E,0,E,LEGO® Classic,1.85,Full Year,6011742,38%,400,2.99
12/31/2016,41055,1/1/2014,Cinderella's Romantic Castle,0,A,0,A,LEGO® brand Disney Princess™,62.99,Full Year,6061743,30%,2,89.99
12/31/2016,41061,1/1/2015,Jasmine's Exotic Palace,0,A,0,A,LEGO® brand Disney Princess™,17.49,January,6100655,30%,8,24.99
12/31/2016,41062,1/1/2015,Elsa’s Sparkling Ice Castle,0,A,0,A,LEGO® brand Disney Princess™,34.99,January,6100661,30%,4,49.99
12/31/2016,41063,1/1/2015,Ariel’s Undersea Palace,0,A,0,A,LEGO® brand Disney Princess™,48.99,January,6100665,30%,4,69.99
,41065,,Rapunzel’s Best Day Ever,,,,,Disney Princess,,,,,,24.99
,41066,,Anna & Kristoff’s Sleigh Adventure,,,,,Disney Princess,,,,,,39.99
,41067,,Belle’s Enchanted Castle,,,,,Disney Princess,,,,,,59.99
,41068,,Arendelle Castle Celebration,,,,,Disney Princess,,,,,,74.99
,41069,,Treasure’s Day at the Pool,,,,,Disney Princess,,,,,,7.99
,41140,,Daisy’s Beauty Salon,,,,,Disney Princess,,,,,,12.99
,41141,,Pumpkin’s Royal Carriage,,,,,Disney Princess,,,,,,12.99
,41142,,Palace Pets Royal Castle,,,,,Disney Princess,,,,,,24.99
12/31/2016,41073,3/1/2015,Naida's Epic Adventure Ship,0,A,0,A,LEGO® Elves,26.39,March,6100705,34%,4,39.99
12/31/2016,41075,3/1/2015,The Elves’ Treetop Hideaway,0,A,0,A,LEGO® Elves,39.59,March,6100709,34%,3,59.99
12/31/2016,41077,8/1/2015,Aira’s Pegasus Sleigh,0,C,0,,LEGO® Elves,32.99,August,6100713,34%,4,49.99
12/31/2016,41078,8/1/2015,Skyra’s Mysterious Sky Castle,0,A,0,,LEGO® Elves,65.99,August,6100715,34%,3,99.99
,41171,,Emily Jones & the Baby Wind Dragon,,,,,Elves,,,,,,12.99
,41172,,The Water Dragon Adventure,,,,,Elves,,,,,,24.99
,41173,,Elvendale School of Dragons,,,,,Elves,,,,,,24.99
,41174,,The Starlight Inn,,,,,Elves,,,,,,39.99
,41175,,Fire Dragon's Lava Cave,,,,,Elves,,,,,,49.99
,41176,,The Secret Market Place,,,,,Elves,,,,,,74.99
,41177,,The Precious Crystal Mine,,,,,Elves,,,,,,39.99
,41178,,The Dragon Sanctuary,,,,,Elves,,,,,,59.99
,41179,,Queen Dragon's Rescue,,,,,Elves,,,,,,89.99
,41180,,Ragana's Magic Shadow Castle,,,,,Elves,,,,,,129.99
12/31/2016,41093,1/1/2015,Heartlake Hair Salon,0,A,0,A,LEGO® Friends,24.79,January,6099647,38%,4,39.99
12/31/2016,41094,1/1/2015,Heartlake Lighthouse,0,A,0,A,LEGO® Friends,32.99,January,6099649,34%,3,49.99
12/31/2017,41095,1/1/2015,Emma’s House,0,A,0,A,LEGO® Friends,59.39,January,6099651,34%,3,89.99
12/31/2016,41097,1/1/2015,Heartlake Hot Air Balloon,0,A,0,A,LEGO® Friends,26.39,January,6099656,34%,4,39.99
12/31/2016,41099,8/1/2015,Heartlake Skate Park,0,A,0,,LEGO® Friends,15.49,August,6099663,38%,3,24.99
12/31/2016,41100,8/1/2015,Heartlake Private Jet,0,C,0,,LEGO® Friends,24.79,August,6099666,38%,3,39.99
12/31/2017,41101,8/1/2015,Heartlake Grand Hotel,0,A,0,,LEGO® Friends,105.59,August,6099668,34%,2,159.99
12/31/2016,41103,8/1/2015,Pop Star Recording Studio,0,A,0,,LEGO® Friends,11.15,August,6099675,38%,8,17.99
12/31/2016,41104,8/1/2015,Pop Star Dressing Room,0,A,0,,LEGO® Friends,24.79,August,6099677,38%,3,39.99
12/31/2016,41105,8/1/2015,Pop Star Show Stage,0,A,0,,LEGO® Friends,30.99,August,6099680,38%,4,49.99
12/31/2016,41106,8/1/2015,Pop Star Tour Bus,0,A,0,,LEGO® Friends,46.19,August,6099682,34%,3,69.99
12/31/2016,41107,8/1/2015,Pop Star Limo,0,D,0,,LEGO® Friends,18.59,August,6099688,38%,3,29.99
12/31/2016,41108,8/1/2015,Heartlake Food Market,0,D,0,,LEGO® Friends,30.99,August,6099691,38%,3,49.99
12/31/2016,41109,8/1/2015,Heartlake Airport,0,D,0,,LEGO® Friends,74.39,August,6099694,38%,2,119.99
,41110,,Birthday Party,,,,,LEGO Friends,,,,,,24.99
,41111,,Party Train,,,,,LEGO Friends,,,,,,12.99
,41112,,Party Cakes,,,,,LEGO Friends,,,,,,6.99
,41113,,Party Gift Shop,,,,,LEGO Friends,,,,,,6.99
,41114,,Party Styling,,,,,LEGO Friends,,,,,,6.99
,41115,,Emma's Creative Workshop,,,,,LEGO Friends,,,,,,12.99
,41116,,Olivia's Exploration Car,,,,,LEGO Friends,,,,,,17.99
,41117,,Pop Star TV Studio,,,,,LEGO Friends,,,,,,24.99
,41118,,Heartlake Supermarket,,,,,LEGO Friends,,,,,,39.99
,41119,,Heartlake Cupcake Café,,,,,LEGO Friends,,,,,,49.99
,41120,,Adventure Camp Archery,,,,,LEGO Friends,,,,,,12.99
,41121,,Adventure Camp Rafting,,,,,LEGO Friends,,,,,,39.99
,41122,,Adventure Camp Tree House,,,,,LEGO Friends,,,,,,99.99
,41123,,Foal's Washing Station,,,,,LEGO Friends,,,,,,12.99
,41124,,Heartlake Puppy Daycare,,,,,LEGO Friends,,,,,,39.99
,41125,,Horse Vet Trailer,,,,,LEGO Friends,,,,,,49.99
,41126,,Heartlake Riding Club,,,,,LEGO Friends,,,,,,74.99
,41127,,Amusement Park Arcade,,,,,LEGO Friends,,,,,,17.99
,41128,,Amusement Park Space Ride,,,,,LEGO Friends,,,,,,24.99
,41129,,Amusement Park Hot Dog Van,,,,,LEGO Friends,,,,,,39.99
,41130,,Amusement Park Roller Coaster,,,,,LEGO Friends,,,,,,129.99
,41131,,LEGO Friends Advent Calendar 2016,,,,,LEGO Friends,,,,,,39.99
,41132,,Heartlake Party Shop,,,,,LEGO Friends,,,,,,39.99
,41133,,Amusement Park Bumper Cars,,,,,LEGO Friends,,,,,,49.99
,41134,,Heartlake Performance School,,,,,LEGO Friends,,,,,,99.99
,41135,,Livi's Pop Star House,,,,,LEGO Friends,,,,,,59.99
,9071,,Building Plates,,,,,LE Preschool,,,,,,30.99
,9286,,Large Building Plates Set,,,,,LE Preschool,,,,,,35.99
,9348,,Community Minifigure Set,,,,,LE Preschool,,,,,,57.5
,9349,,Fairytale and Historic Minifigure Set,,,,,LE Preschool,,,,,,57.5
,9386,,"Doors, Windows & Roof Tiles",,,,,LE Preschool,,,,,,41.99
,9387,,Wheels Set,,,,,LE Preschool,,,,,,45.99
,45500,,EV3 Intelligent Brick,,,,,MINDSTORMS Education,,,,,,214.95
,45501,,EV3 Rechargeable DC Battery,,,,,MINDSTORMS Education,,,,,,94.95
,45502,,EV3 Large Servo Motor,,,,,MINDSTORMS Education,,,,,,29.95
,45503,,EV3 Medium Servo Motor,,,,,MINDSTORMS Education,,,,,,23.95
,45504,,EV3 Ultrasonic Sensor,,,,,MINDSTORMS Education,,,,,,35.95
,45505,,EV3 Gyro Sensor,,,,,MINDSTORMS Education,,,,,,35.95
,45506,,EV3 Color Sensor,,,,,MINDSTORMS Education,,,,,,42.95
,45507,,EV3 Touch Sensor,,,,,MINDSTORMS Education,,,,,,23.95
,45508,,EV3 Infrared Beacon,,,,,MINDSTORMS Education,,,,,,35.95
,45509,,EV3 Infrared Sensor,,,,,MINDSTORMS Education,,,,,,35.95
,45514,,EV3 Cable Pack,,,,,MINDSTORMS Education,,,,,,15.99
,45517,,Transformer 10V DC,,,,,MINDSTORMS Education,,,,,,34.99
,60100,,Airport Starter Set,,,,,City Airport,,,,,,12.99
,60101,,Airport Cargo Plane,,,,,City Airport,,,,,,29.99
,60102,,Airport VIP Service,,,,,City Airport,,,,,,59.99
,60103,,Airport Air Show,,,,,City Airport,,,,,,109.99
,60104,,Airport Passenger Terminal,,,,,City Airport,,,,,,129.99
12/31/2016,60090,8/1/2015,Deep Sea Scuba Scooter,0,C,0,,LEGO® City Deep Sea Exploration,5.57,August,6100325,38%,10,8.99
12/31/2016,60091,8/1/2015,Deep Sea Starter Set,0,C,0,,LEGO® City Deep Sea Exploration,8.05,August,6100328,38%,5,12.99
12/31/2016,60092,8/1/2015,Deep Sea Submarine,0,A,0,,LEGO® City Deep Sea Exploration,32.99,August,6100330,34%,3,49.99
12/31/2016,60093,8/1/2015,Deep Sea Helicopter,0,A,0,,LEGO® City Deep Sea Exploration,39.59,August,6100334,34%,4,59.99
12/31/2016,60095,8/1/2015,Deep Sea Exploration Vessel,0,A,0,,LEGO® City Deep Sea Exploration,98.99,August,6100336,34%,2,149.99
12/31/2016,60096,8/1/2015,Deep Sea Operation Base,0,D,0,,LEGO® City Deep Sea Exploration,80.59,August,6100340,38%,2,129.99
12/31/2016,60072,3/1/2015,Demolition Starter Set,0,A,0,A,LEGO® City Demolition,8.05,March,6100242,38%,6,12.99
12/31/2016,60073,3/1/2015,Service Truck,0,A,0,A,LEGO® City Demolition,19.79,March,6100245,34%,3,29.99
12/31/2016,60074,3/1/2015,Bulldozer,0,A,0,A,LEGO® City Demolition,32.99,March,6100248,34%,4,49.99
12/31/2016,60076,3/1/2015,Demolition Site,0,A,0,A,LEGO® City Demolition,72.59,March,6100272,34%,3,109.99
,60105,,Fire ATV,,,,,City Fire,,,,,,8.99
,60106,,Fire Starter Set,,,,,City Fire,,,,,,12.99
,60107,,Fire Ladder Truck,,,,,City Fire,,,,,,29.99
,60108,,Fire Response Unit,,,,,City Fire,,,,,,49.99
,60109,,Fire Boat,,,,,City Fire,,,,,,99.99
,60110,,Fire Station,,,,,City Fire,,,,,,129.99
,60111,,Fire Utility Truck,,,,,City Fire,,,,,,49.99
,60112,,Fire Engine,,,,,City Fire,,,,,,64.99
12/31/2015,60081,1/1/2015,Pickup Tow Truck,0,A,0,A,LEGO® City Great Vehicles,15.49,January,6100280,38%,3,24.99
12/31/2016,60084,1/1/2015,Racing Bike Transporter,0,A,0,A,LEGO® City Great Vehicles,15.49,January,6100287,38%,3,24.99
12/31/2016,60085,1/1/2015,4x4 with Powerboat,0,A,0,A,LEGO® City Great Vehicles,24.79,January,6100289,38%,2,39.99
,60113,,Rally Car,,,,,City Great Vehicles,,,,,,12.99
,60114,,Race Boat,,,,,City Great Vehicles,,,,,,12.99
,60115,,4 x 4 Off Roader,,,,,City Great Vehicles,,,,,,24.99
,60116,,Ambulance Plane,,,,,City Great Vehicles,,,,,,24.99
,60117,,Van & Caravan,,,,,City Great Vehicles,,,,,,24.99
,60118,,Garbage Truck,,,,,City Great Vehicles,,,,,,24.99
,60119,,Ferry,,,,,City Great Vehicles,,,,,,39.99
,60120,,Volcano Starter Set,,,,,City In/Out,,,,,,12.99
,60121,,Volcano Exploration Truck,,,,,City In/Out,,,,,,29.99
,60122,,Volcano Crawler,,,,,City In/Out,,,,,,49.99
,60123,,Volcano Supply Helicopter,,,,,City In/Out,,,,,,59.99
,60124,,Volcano Exploration Base,,,,,City In/Out,,,,,,149.99
,60125,,Volcano Heavy-lift Helicopter,,,,,City In/Out,,,,,,179.99
12/31/2016,60044,1/1/2014,Mobile Police Unit,0,A,0,A,LEGO® City Police,38.99,Full Year,6059036,35%,4,59.99
12/31/2016,60047,1/1/2014,Police Station,0,A,0,A,LEGO® City Police,77.99,Full Year,6059049,35%,2,119.99
7/31/2016,60067,1/1/2015,Helicopter Pursuit,0,A,0,A,LEGO® City Police,32.99,January,6100311,34%,3,49.99
7/31/2016,60069,1/1/2015,Swamp Police Station,0,A,0,A,LEGO® City Police,72.59,January,6100315,34%,2,109.99
7/31/2016,60071,1/1/2015,Hovercraft Arrest,0,D,0,D,LEGO® City Police,37.19,January,6100319,38%,4,59.99
,60126,,Tire Escape,,,,,City Police,,,,,,8.99
,60127,,Prison Island Starter Set,,,,,City Police,,,,,,12.99
,60128,,Police Pursuit,,,,,City Police,,,,,,29.99
,60129,,Police Patrol Boat,,,,,City Police,,,,,,59.99
,60130,,Prison Island,,,,,City Police,,,,,,119.99
,60131,,Crooks Island,,,,,City Police,,,,,,39.99
12/31/2016,60077,8/1/2015,Space Starter Set,0,A,0,,LEGO® City Space Port,8.05,August,6100227,38%,5,12.99
12/31/2016,60078,8/1/2015,Utility Shuttle,0,A,0,,LEGO® City Space Port,19.79,August,6100230,34%,3,29.99
12/31/2016,60079,8/1/2015,Training Jet Transporter,0,A,0,,LEGO® City Space Port,37.19,August,6100232,38%,3,59.99
12/31/2016,60080,8/1/2015,Spaceport,0,A,0,,LEGO® City Space Port,98.99,August,6100235,34%,3,149.99
12/31/2018,7280,10/1/2014,Straight & Crossroad,0,E,0,E,LEGO® City Supplementary,12.39,Full Year,6108597,38%,20,19.99
12/31/2018,7281,10/1/2014,T-junction & Curve,0,E,0,E,LEGO® City Supplementary,12.39,Full Year,6108602,38%,20,19.99
12/31/2017,60097,8/1/2015,City Square,0,A,0,,LEGO® City Town,142.59,August,6100347,38%,2,229.99
,60132,,Service Station,,,,,City Town,,,,,,109.99
,60133,,LEGO® City Advent Calendar,,,,,City Town,,,,,,39.99
,60134,,Fun in the park - City People Pack,,,,,City Town,,,,,,49.99
7/31/2018,60050,8/1/2014,Train Station,0,A,0,A,LEGO® City Trains,49.59,Full Year,6059262,38%,3,79.99
7/31/2018,60051,8/1/2014,High-speed Passenger Train,0,C,0,C,LEGO® City Trains,105.39,Full Year,6059265,38%,2,169.99
7/31/2018,60052,8/1/2014,Cargo Train,0,C,0,C,LEGO® City Trains,142.59,Full Year,6059267,38%,2,229.99
12/31/2017,60098,8/1/2015,Heavy-Haul Train,0,D,0,,LEGO® City Trains,148.79,August,6100351,38%,2,239.99
7/31/2018,7499,1/1/2011,Flexible Tracks,0,E,0,E,LEGO® City Trains,15.49,Full Year,4609430,38%,3,24.99
7/31/2018,7895,6/1/2006,Switch Tracks,0,E,0,E,LEGO® City Trains,12.39,Full Year,4286834,38%,4,19.99
12/31/2017,10214,1/1/2013,Tower Bridge,0,C,0,C,LEGO® Creator Expert®,185.99,Full Year,6038577,38%,2,299.99
12/31/2016,10218,6/1/2011,Pet Shop,0,B,0,B,LEGO® Creator Expert®,123.99,Full Year,4657577,38%,2,199.99
12/31/2017,10220,1/1/2013,Volkswagen T1 Camper Van,0,B,0,B,LEGO® Creator Expert®,80.59,Full Year,6039711,38%,3,129.99
12/31/2017,10232,3/1/2013,Palace Cinema,0,B,0,B,LEGO® Creator Expert®,123.99,Full Year,6024474,38%,2,199.99
12/31/2017,10234,9/1/2013,Sydney Opera House™,0,C,0,B,LEGO® Creator Expert®,235.59,Full Year,6024481,38%,2,379.99
12/31/2017,10242,8/1/2014,MINI Cooper,0,B,0,B,LEGO® Creator Expert®,74.39,Full Year,6061192,38%,2,119.99
12/31/2017,10243,1/1/2014,Parisian Restaurant,0,B,0,B,LEGO® Creator Expert®,117.79,Full Year,6061194,38%,2,189.99
12/31/2017,10244,6/1/2014,Fairground Mixer,0,B,0,B,LEGO® Creator Expert®,111.59,Full Year,6061196,38%,2,179.99
12/31/2016,10245,10/1/2014,Santa's Workshop,0,B,0,B,LEGO® Creator Expert®,55.79,Full Year,6061198,38%,3,89.99
12/31/2018,10246,1/1/2015,Detective’s Office,0,B,0,B,LEGO® Creator Expert®,123.99,January,6100002,38%,2,199.99
12/31/2018,10247,6/1/2015,Ferris Wheel,0,B,0,,LEGO® Creator Expert®,142.59,June,6102375,38%,2,229.99
12/31/2018,10248,8/1/2015,Ferrari F40,0,B,0,,LEGO® Creator Expert®,83.99,August,6099998,30%,3,119.99
12/31/2017,10249,10/1/2015,Winter Toy Shop,0,B,0,,LEGO® Creator Expert®,61.99,October,6100000,38%,3,99.99
,10251,,Brick Bank,,,,,Creator Expert,,,,,,219.99
,10252,,Confidential -  Expert 2 2016,,,,,Creator Expert,,,,,,129.99
,10253,,Confidential - Expert 3 2016,,,,,Creator Expert,,,,,,299.99
,10254,,Confidential -  Expert 4 2016,,,,,Creator Expert,,,,,,129.99
12/31/2016,31027,1/1/2015,Blue Racer,0,A,0,A,LEGO® Creator,4.33,January,6099981,38%,10,6.99
12/31/2016,31028,1/1/2015,Sea Plane,0,A,0,A,LEGO® Creator,4.33,January,6099973,38%,10,6.99
12/31/2016,31029,1/1/2015,Cargo Heli,0,A,0,A,LEGO® Creator,8.05,January,6099968,38%,8,12.99
12/31/2016,31031,1/1/2015,Rainforest Animals,0,A,0,A,LEGO® Creator,12.39,January,6099988,38%,5,19.99
12/31/2016,31032,1/1/2015,Red Creatures,0,A,0,A,LEGO® Creator,12.39,January,6099986,38%,5,19.99
12/31/2016,31033,1/1/2015,Vehicle Transporter,0,A,0,A,LEGO® Creator,18.59,January,6099963,38%,3,29.99
12/31/2016,31034,1/1/2015,Future flyers,0,A,0,A,LEGO® Creator,18.59,January,6099961,38%,3,29.99
12/31/2016,31035,1/1/2015,Beach Hut,0,A,0,A,LEGO® Creator,24.79,January,6099996,38%,3,39.99
12/31/2016,31036,1/1/2015,Toy & Grocery Shop,0,A,0,A,LEGO® Creator,30.99,January,6099994,38%,4,49.99
12/31/2016,31037,8/1/2015,Adventure Vehicles,0,A,0,,LEGO® Creator,18.59,August,6099957,38%,3,29.99
12/31/2016,31038,8/1/2015,Changing Seasons,0,A,0,,LEGO® Creator,37.19,August,6099991,38%,3,59.99
12/31/2016,31039,8/1/2015,Blue Power Jet,0,A,0,,LEGO® Creator,55.79,August,6099945,38%,4,89.99
,31040,,Desert Racers,,,,,LEGO Creator,,,,,,6.99
,31041,,Construction Vehicles,,,,,LEGO Creator,,,,,,6.99
,31042,,Super Soarer,,,,,LEGO Creator,,,,,,12.99
,31043,,Chopper Transporter,,,,,LEGO Creator,,,,,,12.99
,31044,,Park Animals,,,,,LEGO Creator,,,,,,19.99
,31045,,Ocean Explorer,,,,,LEGO Creator,,,,,,19.99
,31046,,Fast Car,,,,,LEGO Creator,,,,,,24.99
,31047,,Propeller Plane,,,,,LEGO Creator,,,,,,24.99
,31048,,Lakeside Lodge,,,,,LEGO Creator,,,,,,39.99
,31049,,Twin Spin Helicopter,,,,,LEGO Creator,,,,,,39.99
,31050,,Corner Deli,,,,,LEGO Creator,,,,,,49.99
,31051,,Lighthouse Point,,,,,LEGO Creator,,,,,,74.99
,31052,,Vacation Getaways,,,,,LEGO Creator,,,,,,89.99
,31053,,Treehouse Adventures,,,,,LEGO Creator,,,,,,44.99
,41545,,Kramm,,,,,Mixels,,,,,,5.99
,41546,,Forx,,,,,Mixels,,,,,,5.99
,41547,,Wuzzo,,,,,Mixels,,,,,,5.99
,41548,,Dribbal,,,,,Mixels,,,,,,5.99
,41549,,Gurggle,,,,,Mixels,,,,,,5.99
,41550,,Slusho,,,,,Mixels,,,,,,5.99
,41551,,Snax,,,,,Mixels,,,,,,5.99
,41552,,Berp,,,,,Mixels,,,,,,5.99
,41553,,Vaka-Waka,,,,,Mixels,,,,,,5.99
,41554,,Kuffs,,,,,Mixels,,,,,,5.99
,41555,,Busto,,,,,Mixels,,,,,,5.99
,41556,,Tiketz,,,,,Mixels,,,,,,5.99
,41557,,Camillot,,,,,Mixels,,,,,,5.99
,41558,,Mixadel,,,,,Mixels,,,,,,5.99
,41559,,Paladum,,,,,Mixels,,,,,,5.99
,41560,,Jamzy,,,,,Mixels,,,,,,5.99
,41561,,Tapsy,,,,,Mixels,,,,,,5.99
,41562,,Trumpsy,,,,,Mixels,,,,,,5.99
,41563,,Splasho,,,,,Mixels,,,,,,5.99
,41564,,Aquad,,,,,Mixels,,,,,,5.99
,41565,,Hydro,,,,,Mixels,,,,,,5.99
,41566,,Sharx,,,,,Mixels,,,,,,5.99
,41567,,Skulzy,,,,,Mixels,,,,,,5.99
,41568,,Lewt,,,,,Mixels,,,,,,5.99
,41569,,Surgeo,,,,,Mixels,,,,,,5.99
,41570,,Skrubz,,,,,Mixels,,,,,,5.99
,41571,,Tuth,,,,,Mixels,,,,,,5.99
,41572,,Gobbol,,,,,Mixels,,,,,,5.99
,41573,,Sweepz,,,,,Mixels,,,,,,5.99
,41574,,Compax,,,,,Mixels,,,,,,5.99
,41575,,Cobrax,,,,,Mixels,,,,,,5.99
,41576,,Spinza,,,,,Mixels,,,,,,5.99
,41577,,Mysto,,,,,Mixels,,,,,,5.99
,41578,,Screeno,,,,,Mixels,,,,,,5.99
,41579,,Camsta,,,,,Mixels,,,,,,5.99
,41580,,Myke,,,,,Mixels,,,,,,5.99
,88000,,Power Functions AAA Battery Box,,,,,LEGO Functions,,,,,,17.99
,88002,,Power Functions Train Motor,,,,,LEGO Functions,,,,,,19.99
,88003,,Power Functions L-Motor,,,,,LEGO Functions,,,,,,17.99
,88004,,Power Functions Servo Motor,,,,,LEGO Functions,,,,,,29.99
,8869,,Power Functions Control Switch,,,,,LEGO Functions,,,,,,7.99
,8870,,Power Functions Light,,,,,LEGO Functions,,,,,,7.99
,8871,,Power Functions Extension Wire 20”,,,,,LEGO Functions,,,,,,4.99
,8878,,Power Functions Rechargeable Battery box,,,,,LEGO Functions,,,,,,64.99
,8879,,Power Functions IR Speed Remote Control,,,,,LEGO Functions,,,,,,17.99
,8881,,Power Functions Battery Box,,,,,LEGO Functions,,,,,,8.49
,8882,,Power Functions XL-Motor,,,,,LEGO Functions,,,,,,11.49
,8883,,Power Functions M-Motor,,,,,LEGO Functions,,,,,,9.99
,8884,,Power Functions IR RX,,,,,LEGO Functions,,,,,,18.99
,8885,,Power Functions IR TX,,,,,LEGO Functions,,,,,,11.99
,8886,,Power Functions Extension Wire 8”,,,,,LEGO Functions,,,,,,3.99
,2000409,,LEGO® SERIOUS PLAY® Window Exploration B,,,,,LEGO Serious Play,,,,,,484.99
,2000414,,LEGO® SERIOUS PLAY® Starter Kit,,,,,LEGO Serious Play,,,,,,42.99
,2000430,,LEGO® SERIOUS PLAY® Identity and Landsca,,,,,LEGO Serious Play,,,,,,789.99
,2000431,,LEGO® SERIOUS PLAY® Connections Kit,,,,,LEGO Serious Play,,,,,,754.99
12/31/2016,31313,9/1/2013,LEGO® MINDSTORMS EV3,0,C,0,C,LEGO® MINDSTORMS®,279.99,Full Year,6029291,30%,1,399.99
,71170,,Starter Pack PLAYSTATION® 3,,,,,Dimensions,,,,,,0
,71171,,Starter Pack PLAYSTATION® 4,,,,,Dimensions,,,,,,0
,71172,,Starter Pack Xbox One™,,,,,Dimensions,,,,,,0
,71173,,Starter Pack Xbox 360®,,,,,Dimensions,,,,,,0
,71174,,Starter Pack Wii U™,,,,,Dimensions,,,,,,0
,71201,,Back to the Future™ Level Pack,,,,,Dimensions,,,,,,29.99
,71202,,The Simpsons™ Level Pack,,,,,Dimensions,,,,,,29.99
,71203,,Portal® 2 Level Pack,,,,,Dimensions,,,,,,29.99
,71204,,Doctor Who Level Pack,,,,,Dimensions,,,,,,29.99
,71205,,Jurassic World™ Team Pack,,,,,Dimensions,,,,,,29.99
,71206,,Scooby-Doo!™ Team Pack,,,,,Dimensions,,,,,,29.99
,71207,,NINJAGO™ Team Pack,,,,,Dimensions,,,,,,29.99
,71209,,Wonder Woman™ Fun Pack,,,,,Dimensions,,,,,,17.99
,71210,,Cyborg™ Fun Pack,,,,,Dimensions,,,,,,17.99
,71211,,Bart Fun Pack,,,,,Dimensions,,,,,,17.99
,71212,,Emmet Fun Pack,,,,,Dimensions,,,,,,17.99
,71213,,Bad Cop Fun Pack,,,,,Dimensions,,,,,,17.99
,71214,,Benny Fun Pack,,,,,Dimensions,,,,,,17.99
,71215,,Jay Fun Pack,,,,,Dimensions,,,,,,17.99
,71216,,Nya Fun Pack,,,,,Dimensions,,,,,,17.99
,71217,,Zane Fun Pack,,,,,Dimensions,,,,,,17.99
,71218,,Gollum™ Fun Pack,,,,,Dimensions,,,,,,17.99
,71219,,Legolas™ Fun Pack,,,,,Dimensions,,,,,,17.99
,71220,,Gimli™ Fun Pack,,,,,Dimensions,,,,,,17.99
,71221,,Wicked Witch™ Fun Pack,,,,,Dimensions,,,,,,17.99
,71222,,Laval Fun Pack,,,,,Dimensions,,,,,,17.99
,71223,,Cragger Fun Pack,,,,,Dimensions,,,,,,17.99
,71227,,Krusty Fun Pack,,,,,Dimensions,,,,,,17.99
,71228,,The Ghostbusters™ Level Pack,,,,,Dimensions,,,,,,0
,71229,,DC Comics™ Team Pack,,,,,Dimensions,,,,,,0
,71230,,Doc Brown Fun Pack,,,,,Dimensions,,,,,,0
,71231,,Unikitty Fun Pack,,,,,Dimensions,,,,,,17.99
,71232,,Eris Fun Pack,,,,,Dimensions,,,,,,17.99
,71233,,Stay Puft Fun Pack,,,,,Dimensions,,,,,,0
,71234,,Sensei Wu Fun Pack,,,,,Dimensions,,,,,,0
,71235,,Midway Arcade™ Level Pack,,,,,Dimensions,,,,,,0
,71236,,Superman™ Fun Pack,,,,,Dimensions,,,,,,0
,71237,,Aquaman™ Fun Pack,,,,,Dimensions,,,,,,0
,71238,,Cyberman™ Fun Pack,,,,,Dimensions,,,,,,0
,71239,,Lloyd Fun Pack,,,,,Dimensions,,,,,,0
,71240,,Bane™ Fun Pack,,,,,Dimensions,,,,,,0
,71241,,Slimer Fun Pack,,,,,Dimensions,,,,,,0
,71011,,Series 15,,,,,LEGO Minifigures,,,,,,3.99
,71012,,Confidential Minifigures May 2016,,,,,LEGO Minifigures,,,,,,3.99
,71013,,Confidential Minifigures Sept. 2016,,,,,LEGO Minifigures,,,,,,3.99
,71040,,MF D2C 2016 Confidential,,,,,LEGO Minifigures,,,,,,399.99
,70310,,Knighton Battle Blaster,,,,,Nexo Knights,,,,,,12.99
,70311,,Chaos Catapult,,,,,Nexo Knights,,,,,,12.99
,70312,,Lance’s Mecha Horse,,,,,Nexo Knights,,,,,,24.99
,70313,,Moltor’s Lava Smasher,,,,,Nexo Knights,,,,,,24.99
,70314,,Beast Master’s Chaos Chariot,,,,,Nexo Knights,,,,,,39.99
