SKU,BRAND,NAME,PRODUCT CODE,PRICE,AVAILABILITY,CAT LONG,URL
12031011585558,Fender,"American Standard Telecaster, MN, Black",113202706,1112.00,1,Guitars - Electric - Solid Body,http://www.guitarguitar.co.uk/electric_guitars_detail.asp?stock=12031011585558
06082512285429,Fender,60'S Classic Player Stratocaster - RW - Sonic Blue,141100372,661.00,1,Guitars - Electric - Solid Body,http://www.guitarguitar.co.uk/electric_guitars_detail.asp?stock=06082512285429
03121114064218,Fender,´70´s Stratocaster - MN - Natural,137002321,661.00,1,Guitars - Electric - Solid Body,http://www.guitarguitar.co.uk/electric_guitars_detail.asp?stock=03121114064218
13090213045132,Fender,DLX ROADHOUSE STRAT RW SNB,145010372,603.00,1,Guitars - Electric - Solid Body,http://www.guitarguitar.co.uk/electric_guitars_detail.asp?stock=13090213045132
11122310102258,Fender,MOD PLYR TELE THLN DLX BLKTRNS,241202539,369.00,1,Guitars - Electric - Solid Body,http://www.guitarguitar.co.uk/electric_guitars_detail.asp?stock=11122310102258
150904289165008,Fender,American Special Strat Tele RW Lake Placid Blue (2015),115800302,776.00,1,Guitars - Electric - Solid Body,http://www.guitarguitar.co.uk/electric_guitars_detail.asp?stock=150904289165008
151221291717002,Fender,THE EDGE STRAT MN BLK,112702706,1208.00,1,Guitars - Electric - Solid Body,http://www.guitarguitar.co.uk/electric_guitars_detail.asp?stock=151221291717002
14121914254258,Fender,CLSC 60S JAGUAR LAQ RW FRD ,141230740,815.00,1,Guitars - Electric - Solid Body,http://www.guitarguitar.co.uk/electric_guitars_detail.asp?stock=14121914254258
03121114023418,Fender,´50´s Stratocaster - MN - 2 Color Sunburst,131002303,594.00,1,Guitars - Electric - Solid Body,http://www.guitarguitar.co.uk/electric_guitars_detail.asp?stock=03121114023418
11040814272058,Fender,Classic Player BAJA Telecaster - MN - Black,141502306,661.00,1,Guitars - Electric - Solid Body,http://www.guitarguitar.co.uk/electric_guitars_detail.asp?stock=11040814272058
04072117250628,Fender,Vintage '62 Bound Edge Tele - RW - Candy Apple Red,275100509,728.00,1,Guitars - Electric - Solid Body,http://www.guitarguitar.co.uk/electric_guitars_detail.asp?stock=04072117250628
08031414352418,Fender,Fender Custom Telecaster FMT-RW-Crims Red Trans,262000538,594.00,1,Guitars - Electric - Solid Body,http://www.guitarguitar.co.uk/electric_guitars_detail.asp?stock=08031414352418
11092816063758,Fender,"Fender Standard Stratocaster RW Candy Apple Red, Tinted Neck",144600509,441.00,1,Guitars - Electric - Solid Body,http://www.guitarguitar.co.uk/electric_guitars_detail.asp?stock=11092816063758
11092816292658,Fender,"Fender Standard Stratocaster LH MN Lake Placid Blue, Tinted Neck",144622502,470.00,1,Guitars - Electric - LH,http://www.guitarguitar.co.uk/left_guitars_detail.asp?stock=11092816292658
11092816573158,Fender,"Fender Standard Stratocaster HSS RW Lake Placid Blue, Tinted Neck",144700502,460.00,1,Guitars - Electric - Solid Body,http://www.guitarguitar.co.uk/electric_guitars_detail.asp?stock=11092816573158
