Product No.,Item Description English,Item Description Local (French),Item Description Local (Dutch),Theme,RRP Price EUR
71210,Cyborg™ Fun Pack,Cyborg™ Fun Pack,Cyborg™ Fun Pack,Dimensions,17.99
71211,Bart Fun Pack,Bart Fun Pack,Bart Fun Pack,Dimensions,17.99
71212,Emmet Fun Pack,Emmet Fun Pack,Emmet Fun Pack,Dimensions,17.99
71213,Bad Cop Fun Pack,Bad Cop Fun Pack,Bad Cop Fun Pack,Dimensions,17.99
71214,Benny Fun Pack,Benny Fun Pack,Benny Fun Pack,Dimensions,17.99
71215,Jay Fun Pack,Jay Fun Pack,Jay Fun Pack,Dimensions,17.99
71216,Nya Fun Pack,Nya Fun Pack,Nya Fun Pack,Dimensions,17.99
71217,Zane Fun Pack,Zane Fun Pack,Zane Fun Pack,Dimensions,17.99
71218,Gollum™ Fun Pack,Gollum™ Fun Pack,Gollum™ Fun Pack,Dimensions,17.99
71219,Legolas™ Fun Pack,Legolas™ Fun Pack,Legolas™ Fun Pack,Dimensions,17.99
71220,Gimli™ Fun Pack,Gimli™ Fun Pack,Gimli™ Fun Pack,Dimensions,17.99
71221,Wicked Witch™ Fun Pack,Wicked Witch™ Fun Pack,Wicked Witch™ Fun Pack,Dimensions,17.99
71222,Laval Fun Pack,Laval Fun Pack,Laval Fun Pack,Dimensions,17.99
71223,Cragger Fun Pack,Cragger Fun Pack,Cragger Fun Pack,Dimensions,17.99
71227,Krusty Fun Pack,Krusty Fun Pack,Krusty Fun Pack,Dimensions,17.99
71228,The Ghostbusters™ Level Pack,The Ghostbusters™ Level Pack,The Ghostbusters™ Level Pack,Dimensions,0
71229,DC Comics™ Team Pack,DC Comics™ Team Pack,DC Comics™ Team Pack,Dimensions,0
71230,Doc Brown Fun Pack,Doc Brown Fun Pack,Doc Brown Fun Pack,Dimensions,0
71231,Unikitty Fun Pack,Unikitty Fun Pack,Unikitty Fun Pack,Dimensions,17.99
71232,Eris Fun Pack,Eris Fun Pack,Eris Fun Pack,Dimensions,17.99
71233,Stay Puft Fun Pack,Stay Puft Fun Pack,Stay Puft Fun Pack,Dimensions,0
71234,Sensei Wu Fun Pack,Sensei Wu Fun Pack,Sensei Wu Fun Pack,Dimensions,0
71235,Midway Arcade™ Level Pack,Midway Arcade™ Level Pack,Midway Arcade™ Level Pack,Dimensions,0
71236,Superman™ Fun Pack,Superman™ Fun Pack,Superman™ Fun Pack,Dimensions,0
71237,Aquaman™ Fun Pack,Aquaman™ Fun Pack,Aquaman™ Fun Pack,Dimensions,0
71238,Cyberman™ Fun Pack,Cyberman™ Fun Pack,Cyberman™ Fun Pack,Dimensions,0
71239,Lloyd Fun Pack,Lloyd Fun Pack,Lloyd Fun Pack,Dimensions,0
71240,Bane™ Fun Pack,Bane™ Fun Pack,Bane™ Fun Pack,Dimensions,0
71241,Slimer Fun Pack,Slimer Fun Pack,Slimer Fun Pack,Dimensions,0
71011,Series 15,Series 15,Series 15,LEGO Minifigures,2.99
71012,Confidential Minifigures May 2016,Confidential Minifigures May 2016,Confidential Minifigures May 2016,LEGO Minifigures,2.99
71013,Confidential Minifigures Sept. 2016,Confidential Minifigures Sept. 2016,Confidential Minifigures Sept. 2016,LEGO Minifigures,2.99
71040,MF D2C 2016 Confidential,MF D2C 2016 Confidential,MF D2C 2016 Confidential,LEGO Minifigures,349.99
70310,Knighton Battle Blaster,Knighton Battle Blaster,Knighton Battle Blaster,Nexo Knights,9.99
70311,Chaos Catapult,Chaos Catapult,Chaos Catapult,Nexo Knights,9.99
70312,Lance’s Mecha Horse,Lance’s Mecha Horse,Lance’s Mecha Horse,Nexo Knights,19.99
70313,Moltor’s Lava Smasher,Moltor’s Lava Smasher,Moltor’s Lava Smasher,Nexo Knights,19.99
70314,Beast Master’s Chaos Chariot,Beast Master’s Chaos Chariot,Beast Master’s Chaos Chariot,Nexo Knights,34.99
