Product No.,Item Description English,Item Description Local (French),Item Description Local (Dutch),Theme,RRP Price EUR
60077,Space Starter Set,Ensemble de démarrage de l'espace,Ruimtevaart Starter Set,City Space Port,9.99
60078,Utility Shuttle,La navette spatiale,Space Shuttle Hulpvoertuig,City Space Port,19.99
60079,Training Jet Transporter,Le transporteur d'avion,Trainingsvliegtuig Transport,City Space Port,54.99
60080,Spaceport,Le centre spatial,Lanceerbasis,City Space Port,94.99
7280,Straight & Crossroad,Route droite et carrefour,Rechte wegenplaten en kruising,City Supplementary,9.99
7281,T-junction & Curve,Virage et croisement,T-kruising en bocht,City Supplementary,9.99
60086,LEGO® City Starter Set,Ensemble de démarrage LEGO® City,LEGO® City startset,City Town,24.99
60097,City Square,Le centre ville,Stadsplein,City Town,169.99
60099,LEGO® City Advent Calendar,Le calendrier de l'Avent LEGO® City,Adventkalender,City Town,24.99
60098,Heavy-Haul Train,Le train de marchandises rouge,Zware Goederen Vrachttrein,City Trains,169.99
7499,Flexible Tracks,Rails flexibles,Flexibele rails,City Trains,17.99
7895,Switch Tracks,Les aiguillages,Wissels,City Trains,19.99
60050,Train Station,La gare,Treinstation,City Trains,54.99
60051,High-speed Passenger Train,Le train de passagers à grande vitesse,Hogesnelheidstrein,City Trains,119.99
60052,Cargo Train,Le train de marchandises,Vrachttrein,City Trains,179.99
10214,Tower Bridge,Le Tower Bridge,Tower Bridge,Creator Expert,219.99
10220,Volkswagen T1 Camper Van,Le camping-car Volkswagen T1,Volkswagen T1 Kampeerbus,Creator Expert,99.99
10232,Palace Cinema,Palace Cinema,Palace Cinema,Creator Expert,139.99
10234,Sydney Opera House™,L'opéra de Sydney,Sydney Opera House,Creator Expert,299.99
10242,MINI Cooper,MINI Cooper,MINI Cooper,Creator Expert,99.99
10243,Parisian Restaurant,Le restaurant parisien,Parijs restaurant,Creator Expert,159.99
10244,Fairground Mixer,La fête foraine,Kermisattractie,Creator Expert,129.99
10245,Santa's Workshop,L'atelier du Père Noël,Werkplaats van de Kerstman,Creator Expert,74.99
10246,Detective’s Office,Le bureau du détective,Detectivekantoor,Creator Expert,159.99
41053,Cinderella's Dream Carriage,Le carrosse enchanté de Cendrillon,Assepoesters betoverde koets,Disney Princess,32.99
41054,Rapunzel's Creativity Tower,La tour de Raiponce,Rapunzels toren,Disney Princess,44.99
41060,Sleeping Beauty’s Royal Bedroom,La chambre de la Belle au bois dormant,Doornroosje's koninklijke slaapkamer,Disney Princess,12.99
41061,Jasmine's Exotic Palace,Le palais de Jasmine,Jasmine's exotische paleis,Disney Princess,26.99
41062,Elsa’s Sparkling Ice Castle,Le palais de glace d'Elsa,Elsa's fonkelende ijskasteel,Disney Princess,44.99
41063,Ariel’s Undersea Palace,Le royaume sous-marin d'Ariel,Ariel's onderwaterpaleis,Disney Princess,64.99
10600,Disney Pixar Cars™ Classic Race,La course classique Disney Pixar Cars™,Disney Pixar Cars™ klassieke race,DUPLO Cars TM,26.99
10597,Mickey & Minnie Birthday Parade,La parade d'anniversaire de Mickey et Mi,Mickey & Minnie Verjaardagsoptocht,DUPLO Disney TM,26.99
10605,Doc McStuffins Rosie the Ambulance,Rosie l'ambulance de Docteur La Peluche,Doc McStuffins Rosie de Ambulance,DUPLO Doc McStuffins,19.99
10606,Doc McStuffins Backyard Clinic,La clinique de Docteur La Peluche,Doc McStuffins Tuinkliniek,DUPLO Doc McStuffins,29.99
10514,Jake's Pirate Ship Bucky,Le vaisseau pirate de Jake,Jake's piratenschip Bucky,DUPLO Jake,54.99
10526,Peter Pan's Visit,Jake et Peter Pan,Peter Pan op bezoek,DUPLO Jake,32.99
10539,Beach Racing,La course du Capitaine Crochet,Strandrace,DUPLO Jake,26.99
10604,Jake and the Never Land Pirates Treasure,Jake et l'île au trésor des pirates du p,Jake & de Nooitgedachtland Piraten Schat,DUPLO Jake,19.99
2304,LEGO® DUPLO® Large Green Building Plate,Grande plaque de base verte LEGO® DUPLO®,LEGO® DUPLO® Grote Bouwplaat,DUPLO My First,14.99
6176,LEGO® DUPLO® Basic Bricks – Deluxe,Boîte de complément de luxe LEGO® DUPLO®,LEGO® DUPLO® Basisstenen – Deluxe,DUPLO My First,22.99
10552,Creative Cars,Set de voitures à construire,Creatieve auto's,DUPLO My First,19.99
10554,Toddler Build and Pull Along,Jeu de construction à roulettes pour tou,Peuter bouwen en rijden,DUPLO My First,19.99
10558,Number Train,Le train des chiffres,Getallentrein,DUPLO My First,19.99
10565,LEGO® DUPLO® Creative Suitcase,Ma valise créative LEGO® DUPLO®,LEGO® DUPLO® creatieve koffer,DUPLO My First,39.99
10566,Creative Picnic,Mon panier de pique-nique,Creatieve picknick,DUPLO My First,29.99
10567,Toddler Build and Boat Fun,Ensemble pour le bain pour tout-petits,Peuter bouw- en bootblokken,DUPLO My First,19.99
10570,LEGO® DUPLO® All-in-One-Gift-Set,Boîte de briques et d'animaux LEGO® DUPL,LEGO® DUPLO® alles-in-één cadeauset,DUPLO My First,19.99
10571,LEGO® DUPLO® All-in-One-Pink-Box-of-Fun,Grande boîte mon jardin merveilleux LEGO,LEGO® DUPLO® alles-in-één roze doos,DUPLO My First,29.99
10572,LEGO® DUPLO® All-in-One-Box-of-Fun,Grande boîte du jardin en fleurs LEGO® D,LEGO® DUPLO® alles-in-één doos,DUPLO My First,29.99
10573,Creative Animals,Animaux rigolos LEGO® DUPLO®,Creatieve dieren,DUPLO My First,14.99
10574,Creative Ice Cream,Ensemble de glaces délicieuses,Creatieve ijsjes,DUPLO My First,14.99
10580,LEGO® DUPLO® Deluxe Box of fun,Boîte amusante de luxe XL LEGO® DUPLO®,LEGO® DUPLO® Deluxe doos,DUPLO My First,49.99
10623,LEGO® DUPLO® Basic Bricks – Large,Grande boîte de complément LEGO® DUPLO®,LEGO® DUPLO® Basisstenen – Large,DUPLO My First,19.99
10603,My First Bus,Mon premier bus,Mijn Eerste Bus,DUPLO My First,14.99
10615,My First Tractor,Mon premier tracteur,Mijn eerste tractor,DUPLO My First,14.99
10616,My First Playhouse,Ma première maison,Mijn eerste speelhuis,DUPLO My First,19.99
10617,My First Farm,Ma première ferme,Mijn eerste boerderij,DUPLO My First,19.99
10618,LEGO® DUPLO® Creative Building Box,La boîte de construction créative LEGO®,LEGO® DUPLO® Creatieve bouwdoos,DUPLO My First,26.99
10622,LEGO® DUPLO® Large Creative Box,La grande boîte de construction créative,LEGO® DUPLO® Creatieve Grote Bouwdoos,DUPLO My First,64.99
10510,Ripslinger's Air Race,La course aérienne de Ripslinger,Ripslinger's Air Race,DUPLO Planes TM,29.99
10538,Fire and Rescue Team,Les secouristes,Brandweer- en Reddingsteam,DUPLO Planes TM,32.99
10542,Sleeping Beauty’s Fairy Tale,La Belle au bois dormant et sa fée,Het sprookje van Doornroosje,DUPLO Princess TM,39.99
10596,Disney Princess™ Collection,Collection Disney Princess™,Disney Princess™ Prinsessen,DUPLO Princess TM,44.99
10594,Sofia the First Royal Stable,L'écurie Royale de la Princesse Sofia,Sofia het Prinsesje koninklijke paardens,DUPLO Sofia the First,26.99
10595,Sofia the First Royal Castle,Le château royal de la Princesse Sofia,Sofia het Prinsesje koninklijk kasteel,DUPLO Sofia the First,54.99
10543,Superman™ Rescue,Le sauvetage de Superman™,Superman™ Reddingsactie,DUPLO Super Heroes,19.99
10544,The Joker Challenge,Le défi Batman™ et Joker,The Joker Uitdaging,DUPLO Super Heroes,32.99
10545,Batcave Adventure,Batman™ et Catwoman,Batgrot Avontuur,DUPLO Super Heroes,54.99
10599,Batman Adventure,L'aventure de Batman,Batman Avontuur,DUPLO Super Heroes,44.99
10505,Play House,La maison,Speelhuis,DUPLO Town,59.99
10506,Train Accessory Set,Ensemble d'éléments pour le train,Trein accessoires set,DUPLO Town,19.99
10507,My First Train Set,Mon premier train,Mijn eerste treinset,DUPLO Town,49.99
10508,Deluxe Train Set,Mon train de luxe,Luxe treinset,DUPLO Town,119.99
10521,Baby Calf,Le bébé veau,Kalfje,DUPLO Town,7.99
10522,Farm animals,Les animaux de la ferme,Boerderijdieren,DUPLO Town,9.99
10524,Farm Tractor,Le tracteur de la ferme,Landbouwtractor,DUPLO Town,19.99
10525,Big Farm,La grande ferme,Grote boerderij,DUPLO Town,64.99
10528,School Bus,Le bus scolaire,Schoolbus,DUPLO Town,19.99
10568,Knight Tournament,Le combat du chevalier,Riddertoernooi,DUPLO Town,9.99
10569,Treasure Attack,L'attaque du trésor,Schatkist Aanval,DUPLO Town,29.99
10577,Big Royal Castle,Le château royal,Groot Koningskasteel,DUPLO Town,64.99
10581,Forest: Ducks,Les canards,Bos Eenden,DUPLO Town,9.99
10582,Forest: Animals,Les animaux de la forêt,Bos Dieren,DUPLO Town,19.99
10583,Forest: Fishing Trip,La partie de pêche en forêt,Bos Vistochtje,DUPLO Town,26.99
10584,Forest: Park,Le Parc de la forêt,Het Grote Bos,DUPLO Town,64.99
10585,Mom and Baby,Maman et bébé,Moeder en baby,DUPLO Town,9.99
10586,Ice Cream Truck,la camionnette de glaces,IJswagen,DUPLO Town,14.99
10587,Café,Le café,Café,DUPLO Town,19.99
10589,Rally Car,La voiture de rallye,Rallyauto,DUPLO Town,14.99
10590,Airport,L’aéroport,Vliegveld,DUPLO Town,19.99
10591,Fire Boat,Le bateau des pompiers,Brandweerboot,DUPLO Town,14.99
10592,Fire Truck,Le camion de pompiers,Brandweertruck,DUPLO Town,26.99
10593,Fire Station,La caserne des pompiers,Brandweerkazerne,DUPLO Town,64.99
10601,LEGO® DUPLO® Truck,Le camion LEGO® DUPLO®,LEGO® DUPLO® Vrachtwagen,DUPLO Town,19.99
10602,Camping Adventure,L'aventure au camping,Kampeer avontuur,DUPLO Town,29.99
5679,Police Bike,La moto de police,Politiemotor,DUPLO Town,9.99
41071,Aira's Creative Workshop,La machine volante d'Aira,Aira's werkplaats,Elves,9.99
41072,Naida’s Spa Secret,Le spa de beauté de Naida,Naida's waterparadijs,Elves,19.99
41073,Naida's Epic Adventure Ship,Le bateau magique de Naida et Aira,Naida's avonturenschip,Elves,32.99
41074,Azari and the Magical Bakery,Azari et la boulangerie magique,Azari en de magische bakkerij,Elves,32.99
41075,The Elves’ Treetop Hideaway,La cachette secrète des Elfes,Het boomhuis van de Elfen,Elves,54.99
41076,Farran and the Crystal Hollow,Le cristal secret de Farran,Farran en de Kristalgrot,Elves,14.99
41077,Aira’s Pegasus Sleigh,Le traîneau d'Aira,Aira’s Pegasus slee,Elves,44.99
41078,Skyra’s Mysterious Sky Castle,Le château des cieux,Skyra’s Mysterieuze Luchtkasteel,Elves,94.99
10665,Spider-Man™: Spider-Car Pursuit,Spiderman,Spider-Man™: Spider-Car achtervolging,Juniors,12.99
10667,LEGO® Juniors Construction,Boîte de construction du chantier,Bouwplaats,Juniors,19.99
10668,The Princess Play Castle,Boîte de construction du château de la p,Prinses speelkasteel,Juniors,19.99
10671,Fire Emergency,La caserne des pompiers,Brandalarm,Juniors,19.99
10672,Batman™: Defend the Batcave,L'attaque de la Batcave,Batman™: Verdedig de Batgrot,Juniors,34.99
10673,Race Car Rally,Grande boîte du rallye automobile,Racewagen rally,Juniors,32.99
10674,Pony Farm,Grande boîte du centre équestre,Pony boerderij,Juniors,32.99
10676,Knights' Castle,Boîte XL du château fort,Ridderkasteel,Juniors,49.99
10677,Beach Trip,L'excursion à la plage,Strandtochtje,Juniors,9.99
10679,Pirate Treasure Hunt,La chasse au trésor des pirates,Piraten schattenjacht,Juniors,9.99
10680,Garbage Truck,Le camion poubelle,Vuilniswagen,Juniors,19.99
10683,Road Work Truck,Le camion de chantier,Wegenbouwtruck,Juniors,19.99
10684,Supermarket Suitcase,La valise Supermarché,Supermarkt koffer,Juniors,26.99
10685,Fire Suitcase,La valise Pompiers,Brandweer koffer,Juniors,26.99
10686,Family House,La maison,Familiehuis,Juniors,34.99
10687,Spider-Man™ Hideout,La cachette de Spider-Man™,Spider-Man™ Schuilplaats,Juniors,34.99
21006,The White House,La Maison Blanche,NL/50021006,LEGO Architecture,54.99
21011,Brandenburg Gate,Porte de Brandebourg,Brandenburgse Poort,LEGO Architecture,34.99
21013,Big Ben,Big Ben,Big Ben,LEGO Architecture,29.99
21019,The Eiffel Tower,La tour Eiffel,De Eiffeltoren,LEGO Architecture,34.99
21020,Trevi Fountain,La fontaine de Trevi,Trevi Fontein,LEGO Architecture,54.99
21022,Lincoln Memorial,Lincoln Memorial,Lincoln Memorial,LEGO Architecture,32.99
21024,Louvre,Le Louvre,Het Louvre,LEGO Architecture,64.99
10692,LEGO® Creative Bricks,Les briques créatives LEGO®,LEGO® Creatieve stenen,LEGO Classic,14.99
10693,LEGO® Creative Supplement,Le complément créatif LEGO®,LEGO® Creatieve aanvulset,LEGO Classic,19.99
10694,LEGO® Creative Supplement Bright,Le complément créatif couleurs vives LEG,LEGO® Creatieve felgekleurde aanvulset,LEGO Classic,19.99
10695,LEGO® Creative Building Box,La boîte de construction créative LEGO®,LEGO® Creatieve bouwdoos,LEGO Classic,26.99
10696,LEGO® Medium Creative Brick Box,La boîte de briques créatives LEGO®,LEGO® Classic Creatieve medium opbergdoo,LEGO Classic,29.99
10697,LEGO® Large Creative Box,La grande boîte de construction créative,LEGO® Grote Creatieve Bouwdoos,LEGO Classic,64.99
10698,LEGO® Large Creative Brick Box,Boîte de briques créatives deluxe LEGO®,LEGO® Classic Creatieve grote opbergdoos,LEGO Classic,49.99
10699,Sand Baseplate,La plaque de base sable,Zandkleurige bouwplaat,LEGO Classic,7.99
10700,Green Baseplate,La plaque de base verte,Groene bouwplaat,LEGO Classic,7.99
10701,Gray Baseplate,La plaque de base grise,Grijze bouwplaat,LEGO Classic,14.99
31010,Treehouse,La cabane dans l'arbre,Boomhuis,LEGO Creator,32.99
31014,Power Digger,La pelleteuse,Power Digger,LEGO Creator,5.99
31015,Emerald Express,La locomotive,Emerald Express,LEGO Creator,5.99
31017,Sunset Speeder,La décapotable orange,Sunset Speeder,LEGO Creator,9.99
31018,Highway Cruiser,Le chopper,Highway Cruiser,LEGO Creator,9.99
31020,Twinblade Adventures,L'avion à double hélices,Twinblade avonturen,LEGO Creator,14.99
31021,Furry Creatures,Mes animaux de compagnie,Snoezige dieren,LEGO Creator,17.99
31022,Turbo Quad,Le quad turbo,Turbo Quad,LEGO Creator,19.99
31023,Yellow Racers,Les bolides jaunes,Gele Racers,LEGO Creator,26.99
31024,Roaring Power,Le bolide rouge,Machtige Motoren,LEGO Creator,32.99
31025,Mountain Hut,Le refuge de montagne,Berghut,LEGO Creator,44.99
31026,Bike Shop & Café,Le magasin de vélos et le Café,Fietswinkel & Café,LEGO Creator,79.99
31027,Blue Racer,Le Bolide Bleu,Blauwe racer,LEGO Creator,5.99
31028,Sea Plane,L’hydravion,Watervliegtuig,LEGO Creator,5.99
31029,Cargo Heli,L'Hélicoptère Cargo,Vrachthelikopter,LEGO Creator,9.99
31030,Red Go-Kart,Le Kart Rouge,Rode go-kart,LEGO Creator,9.99
31031,Rainforest Animals,Les animaux de la forêt tropicale,Regenwoud-dieren,LEGO Creator,14.99
31032,Red Creatures,Les créatures rouges,Rode Dieren,LEGO Creator,14.99
31033,Vehicle Transporter,Le transport de véhicules,Autotransport,LEGO Creator,19.99
31034,Future flyers,Les planeurs du futur,Ruimte Robot,LEGO Creator,19.99
31035,Beach Hut,La cabane de la plage,Strandhut,LEGO Creator,26.99
31036,Toy & Grocery Shop,Le magasin de jouets et l'épicerie,Speelgoedwinkel en Supermarkt,LEGO Creator,39.99
31037,Adventure Vehicles,Les véhicules de l'aventure,Avontuurlijke Voertuigen,LEGO Creator,19.99
31038,Changing Seasons,Le changement de saison,Verandering van de Seizoenen,LEGO Creator,54.99
31039,Blue Power Jet,L'avion bleu,Blauwe Straaljager,LEGO Creator,59.99
41015,Dolphin Cruiser,Le yacht,Dolfijn cruiser,LEGO Friends,79.99
41026,Sunshine Harvest,Le marché,Sunshine Oogst,LEGO Friends,19.99
41028,Emma's Lifeguard Post,Le poste de sauvetage d'Emma,Emma's reddingspost,LEGO Friends,9.99
41030,Olivia’s Ice Cream Bike,Le stand de glace d'Olivia,Olivia’s ijskar,LEGO Friends,9.99
41032,First Aid Jungle Bike,La moto de secours de la jungle,Eerste Hulp Junglebike,LEGO Friends,14.99
41033,Jungle Falls Rescue,Sauvetage dans les cascades de la jungle,Junglewaterval reddingsactie,LEGO Friends,19.99
41034,Summer Caravan,La caravane des vacances,Zomercaravan,LEGO Friends,26.99
41035,Heartlake Juice Bar,Le bar à smoothie de Heartlake City,Heartlake juicebar,LEGO Friends,32.99
41036,Jungle Bridge Rescue,Opération d'urgence sur le pont de la ju,Junglebrug reddingsactie,LEGO Friends,32.99
41037,Stephanie's Beach House,La villa sur la plage,Stephanie's strandhuis,LEGO Friends,44.99
41038,Jungle Rescue Base,La base de sauvetage de la jungle,Jungle reddingsbasis,LEGO Friends,54.99
41039,Sunshine Ranch,Le ranch du soleil,Sunshine Ranch,LEGO Friends,79.99
41057,Heartlake Horse Show,Le concours équestre de Heartlake City,Heartlake paardenshow,LEGO Friends,44.99
41058,Heartlake Shopping Mall,Le centre commercial d'Heartlake City,Heartlake winkelcentrum,LEGO Friends,109.99
41059,Jungle Tree Sanctuary,L'infirmerie dans l'arbre,Jungleboom schuilplaats,LEGO Friends,32.99
41085,Vet Clinic,La clinique vétérinaire,Dierenkliniek,LEGO Friends,19.99
41086,Vet Ambulance,L'ambulance vétérinaire,Dierenambulance,LEGO Friends,9.99
41087,Bunny & Babies,Les bébés lapins et leur maman,Konijn met kleintjes,LEGO Friends,4.99
41088,Puppy Training,Le dressage du chiot,Puppy training,LEGO Friends,4.99
41089,Little Foal,Le petit poulain,Jong veulentje,LEGO Friends,4.99
41090,Olivia’s Garden Pool,La piscine d'Olivia,Olivia’s zwembad,LEGO Friends,9.99
41091,Mia’s Roadster,La décapotable de Mia,Mia's sportwagen,LEGO Friends,14.99
41092,Stephanie’s Pizzeria,La pizzeria de Stéphanie,Stephanie’s pizzeria,LEGO Friends,9.99
41093,Heartlake Hair Salon,Le salon de coiffure d'Heartlake City,Heartlake Kapsalon,LEGO Friends,32.99
41094,Heartlake Lighthouse,Le phare d'Heartlake City,Heartlake vuurtoren,LEGO Friends,44.99
41095,Emma’s House,La maison d'Emma,Emma's huis,LEGO Friends,74.99
41097,Heartlake Hot Air Balloon,La montgolfière d'Heartlake City,Heartlake luchtballon,LEGO Friends,32.99
41098,Emma’s Tourist Kiosk,Le kiosque d'Emma,Emma’s Toeristenkiosk,LEGO Friends,9.99
41099,Heartlake Skate Park,Le skatepark,Heartlake Skate Park,LEGO Friends,19.99
41100,Heartlake Private Jet,L'avion privé de Heartlake City,Heartlake Privéjet,LEGO Friends,26.99
41101,Heartlake Grand Hotel,Le grand hôtel de Heartlake City,Heartlake Hotel,LEGO Friends,139.99
41102,LEGO® Friends Advent Calendar,Le calendrier de l’Avent LEGO® Friends,LEGO® Friends Adventkalender,LEGO Friends,24.99
41103,Pop Star Recording Studio,Le studio d'enregistrement,Popster Opnamestudio,LEGO Friends,14.99
41104,Pop Star Dressing Room,La loge de la chanteuse,Popster Kleedkamer,LEGO Friends,32.99
41105,Pop Star Show Stage,La scène de la chanteuse,Popster Podium,LEGO Friends,49.99
41106,Pop Star Tour Bus,La tournée en bus,Popster Toerbus,LEGO Friends,64.99
41107,Pop Star Limo,La limousine de la chanteuse,Popster Limousine,LEGO Friends,26.99
41108,Heartlake Food Market,Le marché de Heartlake City,Heartlake Supermarkt,LEGO Friends,44.99
41109,Heartlake Airport,L'aéroport de Heartlake City,Heartlake Vliegveld,LEGO Friends,99.99
71008,"LEGO® Minifigures, Series 13","LEGO® Minifigures, Série 13",LEGO® minifiguren serie 13,LEGO Minifigures,2.99
71009,"LEGO® Minifigures, The Simpsons™ Series",LEGO® Minifigures: Les Simpsons™ Série 2,LEGO®-minifiguren: De Simpsons™ serie 2,LEGO Minifigures,2.99
71010,"LEGO® Minifigures, Series 14: Monsters","LEGO® Minifigures, Série 14:  Les monstr","Monsters, Serie 14",LEGO Minifigures,2.99
70808,Super Cycle Chase,La super poursuite,Supermotor achtervolging,LEGO Movie,54.99
70814,Emmet’s Construct-o-Mech,Le Construct-o-Mech d'Emmet,Emmet’s Construct-o-Mech,LEGO Movie,64.99
70816,"Benny's Spaceship, Spaceship, SPACESHIP!",Le vaisseau spatial de Benny,Benny's Ruimteschip,LEGO Movie,109.99
70817,Batman™ & Super Angry Kitty Attack,L'attaque de Batman™ et de Kitty Grrrr,Batman™ & Super Angry Kitty aanval,LEGO Movie,14.99
70818,Double-Decker Couch,Le canapé à deux étages d'Emmet,Dubbeldekker Bank,LEGO Movie,17.99
70819,Bad Cop Car Chase,La course-poursuite de Méchant Flic,Rotagent achtervolging,LEGO Movie,26.99
79015,Witch-king Battle,La bataille du Roi Sorcier,Tovenaar-Koning Duel,LofTR and Hobbit,17.99
79016,Attack on Lake-town,L'attaque de Lacville,Aanval op Meerstad,LofTR and Hobbit,44.99
79017,The Battle of Five Armies™,La bataille des Cinq Armées,De Slag der Vijf Legers,LofTR and Hobbit,79.99
79018,The Lonely Mountain,Le Mont solitaire,De Eenzame Berg,LofTR and Hobbit,139.99
31313,LEGO® MINDSTORMS® EV3,LEGO® MINDSTORMS® EV3,Err:512,MINDSTORMS,399.99
21113,The Cave,La grotte,De Grot,Minecraft,19.99
21114,The Farm,La ferme,De Kwekerij,Minecraft,29.99
21115,The First Night,La première nuit,De Eerste Nacht,Minecraft,39.99
21116,Crafting Box,La boîte de construction,Crafting Kist,Minecraft,59.99
21117,The Ender Dragon,Le dragon de l'Ender,De Enderdraak,Minecraft,69.99
21118,The Mine,La mine,De Mijn,Minecraft,99.99
21119,The Dungeon,Le donjon,De Kerker,Minecraft,19.99
21120,The Snow Hideout,La cachette dans la neige,De Sneeuwschuilplaats,Minecraft,44.99
21121,The Desert Outpost,L'avant-poste dans le désert,Woestijnuitkijkpost,Minecraft,69.99
21122,The Nether Fortress,La forteresse du Nether,Het Netherfort,Minecraft,99.99
70730,Chain Cycle Ambush,La moto fantôme de Wrayth,Ketting Voertuig Hinderlaag,Ninjago,32.99
70731,Jay Walker One,Le buggy lance-missiles de Jay,Jay Walker One,Ninjago,44.99
70732,City of Stiix,La ville de Stiix,De Stad Stiix,Ninjago,109.99
70733,Blaster Bike,La moto multi-missiles,Blaster motor,Ninjago,19.99
70734,Master Wu Dragon,Le dragon de Maître Wu,De draak van Meester Wu,Ninjago,49.99
70735,Ronin R.E.X.,Le Jet hybride de Ronin,Ronin's R.E.X.,Ninjago,54.99
70736,Attack of the Morro Dragon,L'attaque du dragon Moro,Aanval van de Morro Draak,Ninjago,69.99
70737,Titan Mech Battle,Le combat des Titans,Titanium Mecha Duel,Ninjago,59.99
70738,Final Flight of Destiny's Bounty,L'ultime QG des ninjas,Laatste vlucht van de Destiny's Bounty,Ninjago,129.99
70739,Airjitzu Kai Flyer,Airjitzu de Kai,Airjitzu Kai Flyer,Ninjago,9.99
70740,Airjitzu Jay Flyer,Airjitzu de Jay,Airjitzu Jay Flyer,Ninjago,9.99
70741,Airjitzu Cole Flyer,Airjitzu de Cole,Airjitzu Cole Flyer,Ninjago,9.99
70742,Airjitzu Zane Flyer,Airjitzu de Zane,Airjitzu Zane Flyer,Ninjago,9.99
70743,Airjitzu Morro Flyer,Airjitzu de Moro,Airjitzu Moro Flyer,Ninjago,9.99
70744,Airjitzu Wrayth Flyer,Airjitzu de Wrayth,Airjitzu Wrayth Flyer,Ninjago,9.99
70745,Anacondrai Crusher,Le broyeur Anacondra,Anacondrai Crusher,Ninjago,19.99
70746,Condrai Copter Attack,L'hélicoptère de Condrai,Condrai helikopteraanval,Ninjago,29.99
70747,Boulder Blaster,Le jet multi-missiles,Rotsblokblaster,Ninjago,29.99
70748,Titanium Dragon,Le dragon de Titane,Titanium draak,Ninjago,44.99
70749,Enter the Serpent,Le temple Anacondra,Slangenpoort,Ninjago,54.99
70750,Ninja DB X,La base mobile des Ninjas,Ninja DB X,Ninjago,79.99
70752,Jungle Trap,Le piège dans la jungle,Jungle Valstrik,Ninjago,7.99
70753,Lava Falls,Les chutes de lave,Lavastroom,Ninjago,8.99
70754,ElectroMech,ElectroRobot,ElectroMech,Ninjago,14.99
70755,Jungle Raider,Le buggy de la jungle,Jungle aanvalsvoertuig,Ninjago,19.99
70756,Dojo Showdown,Le combat au dojo,Dojo duel,Ninjago,26.99
70409,Shipwreck Defense,La défense du radeau,Schipbreuk verdediging,Pirates,9.99
70410,Soldiers Outpost,L'avant-poste des soldats,Soldaten uitkijkpost,Pirates,19.99
70411,Treasure Island,L'île au trésor,Schatteneiland,Pirates,19.99
70412,Soldiers Fort,Le fort des soldats,Het soldatenfort,Pirates,39.99
70413,The Brick Bounty,Le bateau pirate,Piratenschip,Pirates,109.99
75915,Pteranodon Capture,La capture du Ptéranodon,Pteranodonvangst,Jurassic World,26.99
75916,Dilophosaurus Ambush,L'embuscade du Dilophosaure,Dilophosaurushinderlaag,Jurassic World,44.99
75917,Raptor Rampage,La destruction du Vélociraptor,Raptorrooftocht,Jurassic World,64.99
75918,T. rex Tracker,La poursuite du T-Rex,T. rex-tracker,Jurassic World,89.99
75919,Indominus rex™ Breakout,L'évasion d'Indominus Rex™,Uitbraak van Indominus rex™,Jurassic World,119.99
75920,Raptor Escape,L'évasion du Vélociraptor,Raptorontsnapping,Jurassic World,54.99
71006,The Simpsons™ House,La maison des Simpson,Het huis van The Simpsons™,Simpsons,219.99
71016,The Kwik-E-Mart,Kwik-E-Mart,NL/50071016,Simpsons,219.99
75899,LaFerrari,La Ferrari,LaFerrari,Speed Champions,14.99
75908,458 Italia GT2,Ferrari 458 Italia GT2,458 Italia GT2,Speed Champions,14.99
75909,McLaren P1™,McLaren P1™,McLaren P1™,Speed Champions,14.99
75910,Porsche 918 Spyder,Porsche 918 Spyder,Porsche 918 Spyder,Speed Champions,14.99
75911,McLaren Mercedes Pit Stop,L'arrêt au stand McLaren Mercedes,McLaren Mercedes Pit Stop,Speed Champions,39.99
75912,Porsche 911 GT Finish Line,La ligne d'arrivée de la Porsche 911 GT,Porsche 911 GT finish,Speed Champions,54.99
75913,F14 T & Scuderia Ferrari Truck,F14 T et son camion scuderia Ferrari,F14 T & Scuderia Ferrari truck,Speed Champions,109.99
75037,Battle on Saleucami™,La bataille de Saleucami™,Veldslag op Saleucami™,Star Wars TM,19.99
75038,Jedi™ Interceptor,Intercepteur Jedi™,Jedi™ Interceptor,Star Wars TM,29.99
75040,General Grievous' Wheel Bike™,General Grievous' Wheel Bike™,General Grievous' Wheel Bike™,Star Wars TM,29.99
75042,Droid Gunship™,Droid Gunship™,Droid Gunship™,Star Wars TM,49.99
75043,AT-AP™,AT-AP™,AT-AP™,Star Wars TM,74.99
75045,Republic AV-7 Anti-Vehicle Cannon,Canon Anti-Véhicule AV-7 de la Républiqu,Republic AV-7 Anti-Vehicle Cannon™,Star Wars TM,49.99
75049,Snowspeeder™,Snowspeeder™,Snowspeeder™,Star Wars TM,44.99
75051,Jedi™ Scout Fighter,Jedi™ Scout Fighter,Jedi™ Scout Fighter,Star Wars TM,79.99
75052,Mos Eisley Cantina™,La Cantina™ de Mos Eisley,Mos Eisley Cantina™,Star Wars TM,89.99
75054,AT-AT™,AT-AT™,AT-AT™,Star Wars TM,129.99
75055,Imperial Star Destroyer™,Imperial Star Destroyer™,Imperial Star Destroyer™,Star Wars TM,139.99
75058,MTT™,MTT™,MTT™,Star Wars TM,109.99
75060,Slave I™,Slave I™,Slave I™,Star Wars TM,199.99
75072,ARC-170 Starfighter™,ARC-170 Starfighter™,ARC-170 Starfighter™,Star Wars TM,9.99
75073,Vulture Droid™,Vulture Droid™,Vulture Droid™ Microfighter,Star Wars TM,9.99
