Unique Product Code,Product name,Brand,Product Group,Stock Availability?,Product URL,Image URL
CONTTYRF400BKBK70X25,GP 4 Season Vectran Fold Tyre 700x25mm Black/Black                                                  ,Continental                                       ,TYRES ROAD/TRI/TRACK FOLDING                      ,yes,http://www.ribblecycles.co.uk/continental-gp-4-season-vectran-fold-tyre/,
SHIMCASS928000011280,11Spd Dura Ace 9000 Cassette 11-28                                                                  ,Shimano                                           ,CASSETTES-ROAD                                    ,yes,http://www.ribblecycles.co.uk/shimano-11spd-dura-ace-9000-cassette/,
SHIMCHAR151000072340,RS500 Black Double 11Spd Chainset 172.5 34/50                                                       ,Shimano                                           ,CHAINSETS ROAD                                    ,yes,http://www.ribblecycles.co.uk/shimano-rs500-black-double-11spd-chainset/,
SHIMGRFR564000020000,Ultegra 6800 11Spd Dble Front Gear Braze-on                                                         ,Shimano                                           ,GEARS FRONT-ROAD                                  ,yes,http://www.ribblecycles.co.uk/shimano-ultegra-6800-11spd-dble-front-gear/,
CAMPGRSS978BK0000000,Ultra Shift Ergos Record 11Spd W/cbls Black                                                         ,Campagnolo                                        ,GEARSHIFT/BRAKE LEVER SETS - ROAD                 ,no,http://www.ribblecycles.co.uk/campagnolo-ultra-shift-ergos-record-11spd-w-cbls/,
CONTTYRF323BKBK70X25,GP4000S II Folding Tyre Black/Black 700x25mm                                                        ,Continental                                       ,TYRES ROAD/TRI/TRACK FOLDING                      ,yes,http://www.ribblecycles.co.uk/continental-gp4000s-ii-folding-tyre/,
SHIMCHAR198000070340,Ultegra Double 6800 11 Spd Chainset 170 34/50                                                       ,Shimano                                           ,CHAINSETS ROAD                                    ,yes,http://www.ribblecycles.co.uk/shimano-ultegra-double-6800-11-spd-chainset/,
CAMPCASS700000012290,11 Spd Chorus Cassette 12-29                                                                        ,Campagnolo                                        ,CASSETTES-ROAD                                    ,yes,http://www.ribblecycles.co.uk/campagnolo-11-spd-chorus-cassette/,
CAMPWHFR3390000ED150,Pr Whls Shamal Ultra Black Clin 10/11 Camp 0135345                                                  ,Campagnolo                                        ,WHEELS FACTORY ROAD / TRI                         ,no,http://www.ribblecycles.co.uk/campagnolo-pr-whls-shamal-ultra-black-clincher/,
CAMPGRRR933000000000,Record 11Spd Rear Derailleur                                                                        ,Campagnolo                                        ,GEARS REAR-ROAD                                   ,yes,http://www.ribblecycles.co.uk/campagnolo-record-11spd-rear-derailleur/,
SHIMCHAR198000075340,Ultegra Double 6800 11 Spd Chainset 175 34/50                                                       ,Shimano                                           ,CHAINSETS ROAD                                    ,yes,http://www.ribblecycles.co.uk/shimano-ultegra-double-6800-11-spd-chainset/,
SELLSADD192BK0000000,X1 Flow Saddle Black                                                                                ,Selle Italia                                      ,SADDLES - ROAD                                    ,yes,http://www.ribblecycles.co.uk/selle-italia-x1-flow-saddle/,
CAMPCASS700000012270,11 Spd Chorus Cassette 12-27                                                                        ,Campagnolo                                        ,CASSETTES-ROAD                                    ,yes,http://www.ribblecycles.co.uk/campagnolo-11-spd-chorus-cassette/,
CONTTYRF323BKBK70X23,GP4000S II Folding Tyre Black/Black 700x23mm                                                        ,Continental                                       ,TYRES ROAD/TRI/TRACK FOLDING                      ,yes,http://www.ribblecycles.co.uk/continental-gp4000s-ii-folding-tyre/,
SHIMELSS225000000000,STI Levers Dura Ace Di2 9070 11Spd (ex cables)                                                      ,Shimano                                           ,ELECTRONIC BRAKE/GEAR SHIFTERS                    ,yes,http://www.ribblecycles.co.uk/shimano-sti-levers-dura-ace-di2-9070-11spd-ex-cables/,
CAMPCHAI350000000000,11 Spd Record Chain                                                                                 ,Campagnolo                                        ,CHAINS                                            ,yes,http://www.ribblecycles.co.uk/campagnolo-11-spd-record-chain/,
SHIMELBA244000000000,Di2 Battery Charger USB Connection (SM-BCR2)                                                        ,Shimano                                           ,BATTERIES / POWER UNITS                           ,yes,http://www.ribblecycles.co.uk/shimano-di2-battery-charger-usb-connection-sm-bcr2/,
SHIMWHFR203BK00HG450,Pr Whls R501 Bladed Spoke Blk 8/9/10 Shim                                                           ,Shimano                                           ,WHEELS FACTORY ROAD / TRI                         ,yes,http://www.ribblecycles.co.uk/shimano-pr-whls-r501-bladed-spoke/,
ASSOEMBR200000000000,Chamois Cream 140ml                                                                                 ,Assos                                             ,EMBROCATION                                       ,yes,http://www.ribblecycles.co.uk/assos-chamois-cream-140ml/,
SHIMGRSS6500000DOUBL,STI Levers 105 Black 5700 with cables Double                                                        ,Shimano                                           ,GEARSHIFT/BRAKE LEVER SETS - ROAD                 ,yes,http://www.ribblecycles.co.uk/shimano-sti-levers-105-black-5703-with-cables-triple-shimano/,
SHIMCHAI976000000000,10 Spd 6701 Ultegra Chain                                                                           ,Shimano                                           ,CHAINS                                            ,no,http://www.ribblecycles.co.uk/shimano-10-spd-6701-ultegra-chain/,
CAMPCHAI340000000000,11 Spd Chorus Chain                                                                                 ,Campagnolo                                        ,CHAINS                                            ,yes,http://www.ribblecycles.co.uk/campagnolo-11-spd-chorus-chain/,
SHIMELCO205000000000,Di2 Junction-A SM-EW90-A 3 Port                                                                     ,Shimano                                           ,ELECTRONIC COMPONENTS                             ,yes,http://www.ribblecycles.co.uk/shimano-di2-junction-a-sm-ew90-a-3-port/,
CAMPGRSS107000000000,P/Shift Ergos Dble Veloce Black 10Spd w/cbls                                                        ,Campagnolo                                        ,GEARSHIFT/BRAKE LEVER SETS - ROAD                 ,no,http://www.ribblecycles.co.uk/campagnolo-p-shift-ergos-dble-veloce-black-10spd-w-cbls/,
ASSOZBBS384BK00LG000,T.Cento S7 Bib Shorts Black LG                                                                      ,Assos                                             ,BIB SHORTS                                        ,yes,http://www.ribblecycles.co.uk/assos-t-cento-s7-bib-shorts/,
SHIMCHAR164000072393,105 Black 5800 11Spd Chainset 172.5 39/53                                                           ,Shimano                                           ,CHAINSETS ROAD                                    ,yes,http://www.ribblecycles.co.uk/shimano-105-black-5800-11spd-chainset/,
SHIMGRSS2790000DOUBL,STI Levers Sora 3500 9 Spd w/cbls Double                                                            ,Shimano                                           ,GEARSHIFT/BRAKE LEVER SETS - ROAD                 ,yes,http://www.ribblecycles.co.uk/shimano-sti-levers-sora-3500-9-spd-w-cbls/,
SHIMGRFR616000020000,105 Black (5800) 11Spd Front Braze-on                                                               ,Shimano                                           ,GEARS FRONT-ROAD                                  ,yes,http://www.ribblecycles.co.uk/shimano-105-black-5800-11spd-front/,
SHIMGRRR4700000CMDGS,Ultegra 6800 11 Spd Rear Gear GS Medium                                                             ,Shimano                                           ,GEARS REAR-ROAD                                   ,yes,http://www.ribblecycles.co.uk/shimano-ultegra-6800-11-spd-rear-gear/,
SHIMWHFR373SI00HG100,Pair Wheels RS21 Clincher White 8/9/10/11 Shim                                                      ,Shimano                                           ,WHEELS FACTORY ROAD / TRI                         ,yes,http://www.ribblecycles.co.uk/shimano-pair-wheels-rs21-clincher/,
ITALHSTZ2200000052MM,"Carbon (1 1/8"") Expanding Stem Cap 52mm                                                             ",ITM                                               ,HEADSET SPARES / ACCESSORIES                      ,yes,http://www.ribblecycles.co.uk/itm-carbon-1-1-8-expanding-stem-cap/,
CAMPGRSS134000000000,P/S Ergos Dble Athena Black Alloy 11Spd w/cbls                                                      ,Campagnolo                                        ,GEARSHIFT/BRAKE LEVER SETS - ROAD                 ,no,http://www.ribblecycles.co.uk/campagnolo-p-s-ergos-dble-athena-black-alloy-11spd-w-cbls/,
