Code,Site,Category,Brand,Name,URL,Price,Screen Size
101585,A. Schlageter,Fischfinder & Combi Echolote,Humminbird,Humminbird 581xi HD Di Combo mit GPS + Di,http://www.angel-schlageter.de/Echolote-Navigation/Fischfinder-Combi-Echolote/Humminbird/500-Serie-2013-Modelle/Humminbird-581xi-HD-Di-Combo-mit-GPS-Di--10611.html,436.9,"3"""
101579,A. Schlageter,Fischfinder & Combi Echolote,Humminbird,Humminbird PiranhaMAX 196cxi - Color Fischfinder + internes GPS mit Service,http://www.angel-schlageter.de/Echolote-Navigation/Fischfinder-Combi-Echolote/Humminbird/PiranhaMAX-2014-Modelle/Humminbird-PiranhaMAX-196cxi-Color-Fischfinder-internes-GPS--10605.html,296.8,"3"""
101579,A. Schlageter,Fischfinder & Combi Echolote,Humminbird,Humminbird PiranhaMAX 196cxi - Color Fischfinder + internes GPS,http://www.angel-schlageter.de/Echolote-Navigation/Fischfinder-Combi-Echolote/Humminbird/PiranhaMAX-2014-Modelle/Humminbird-PiranhaMAX-196cxi-Color-Fischfinder-internes-GPS--10605.html,266.9,"3"""
102199,A. Schlageter,Fischfinder & Combi Echolote,Humminbird,Humminbird 678cx HD DI - Modell 2015,http://www.angel-schlageter.de/Echolote-Navigation/Fischfinder-Combi-Echolote/Humminbird/600-Serie/Humminbird-678cx-HD-DI-Modell-2015--11377.html,469,"5"""
102200,A. Schlageter,Fischfinder & Combi Echolote,Humminbird,Humminbird 678cx HD XD - Modell 2015,http://www.angel-schlageter.de/Echolote-Navigation/Fischfinder-Combi-Echolote/Humminbird/600-Serie/Humminbird-678cx-HD-XD-Modell-2015--11378.html,469,"5"""
101556,A. Schlageter,Fischfinder & Combi Echolote,Humminbird,Humminbird 360° Imaging System AS 360 SSI - Modell 2015 mit Top Servicepaket,http://www.angel-schlageter.de/Echolote-Navigation/Fischfinder-Combi-Echolote/Humminbird/700-Serie/Humminbird-360%B0-Imaging-System-AS-360-SSI-Modell-2015--11125.html,1688.9,sonar
101574,A. Schlageter,Fischfinder & Combi Echolote,Humminbird,Humminbird PiranhaMAX 153x - Fischfinder mit Service,http://www.angel-schlageter.de/Echolote-Navigation/Fischfinder-Combi-Echolote/Humminbird/PiranhaMAX-2014-Modelle/Humminbird-PiranhaMAX-153x-Fischfinder--10600.html,124.8,"3"""
101556,A. Schlageter,Fischfinder & Combi Echolote,Humminbird,Humminbird 360° Imaging System AS 360 SSI - Modell 2015,http://www.angel-schlageter.de/Echolote-Navigation/Fischfinder-Combi-Echolote/Humminbird/700-Serie/Humminbird-360%B0-Imaging-System-AS-360-SSI-Modell-2015--11125.html,1649,sonar
406900-1nb,A. Schlageter,Fischfinder & Combi Echolote,Humminbird,Humminbird PTC UNB Tasche Speziell für Humminbird,http://www.angel-schlageter.de/Echolote-Navigation/Fischfinder-Combi-Echolote/Humminbird/Humminbird-ZubehoerErsatzteile/Humminbird-PTC-UNB-Tasche-Speziell-fuer-Humminbird--3731.html,129.9,other
740090-1,A. Schlageter,Fischfinder & Combi Echolote,Humminbird,Humminbird MHX XNPT Saugnapf Geberhalter,http://www.angel-schlageter.de/Echolote-Navigation/Fischfinder-Combi-Echolote/Humminbird/Humminbird-ZubehoerErsatzteile/Humminbird-MHX-XNPT-Saugnapf-Geberhalter--3654.html,31.9,other
100431,A. Schlageter,Fischfinder & Combi Echolote,Humminbird,Humminbird Bedienungsanleitung,http://www.angel-schlageter.de/Echolote-Navigation/Fischfinder-Combi-Echolote/Bedienungsanleitungen/Humminbird-Bedienungsanleitung--1786.html,20,other
720055-1,A. Schlageter,Fischfinder & Combi Echolote,Humminbird,Humminbird AS SI DB Y Splitterkabel,http://www.angel-schlageter.de/Echolote-Navigation/Fischfinder-Combi-Echolote/Humminbird/Humminbird-ZubehoerErsatzteile/Humminbird-AS-SI-DB-Y-Splitterkabel--3699.html,39.95,other
740065-1,A. Schlageter,Fischfinder & Combi Echolote,Humminbird,Humminbird GM 1,http://www.angel-schlageter.de/Echolote-Navigation/Fischfinder-Combi-Echolote/Humminbird/Humminbird-ZubehoerErsatzteile/Humminbird-GM-1--3677.html,39,other
720057-1,A. Schlageter,Fischfinder & Combi Echolote,Humminbird,Humminbird PC 11,http://www.angel-schlageter.de/Echolote-Navigation/Fischfinder-Combi-Echolote/Humminbird/Humminbird-ZubehoerErsatzteile/Humminbird-PC-11--3696.html,26.95,other
740100-1,A. Schlageter,Fischfinder & Combi Echolote,Humminbird,Humminbird MKH 3,http://www.angel-schlageter.de/Echolote-Navigation/Fischfinder-Combi-Echolote/Humminbird/Humminbird-ZubehoerErsatzteile/Humminbird-MKH-3--3680.html,33.9,other
780010-1,A. Schlageter,Fischfinder & Combi Echolote,Humminbird,Humminbird UC 3,http://www.angel-schlageter.de/Echolote-Navigation/Fischfinder-Combi-Echolote/Humminbird/Humminbird-ZubehoerErsatzteile/Humminbird-UC-3--3724.html,26.95,other
720002-1,A. Schlageter,Fischfinder & Combi Echolote,Humminbird,Humminbird PC 10,http://www.angel-schlageter.de/Echolote-Navigation/Fischfinder-Combi-Echolote/Humminbird/Humminbird-ZubehoerErsatzteile/Humminbird-PC-10--3695.html,26.95,other
740011-1,A. Schlageter,Fischfinder & Combi Echolote,Humminbird,Humminbird MHX HS Geber Montage Kit,http://www.angel-schlageter.de/Echolote-Navigation/Fischfinder-Combi-Echolote/Humminbird/Humminbird-ZubehoerErsatzteile/Humminbird-MHX-HS-Geber-Montage-Kit--11668.html,26.95,other
740082-1,A. Schlageter,Fischfinder & Combi Echolote,Humminbird,Humminbird MKH 2,http://www.angel-schlageter.de/Echolote-Navigation/Fischfinder-Combi-Echolote/Humminbird/Humminbird-ZubehoerErsatzteile/Humminbird-MKH-2--3676.html,23.95,other
740087-1,A. Schlageter,Fischfinder & Combi Echolote,Humminbird,Humminbird AD XTM 9 Montage Adapter,http://www.angel-schlageter.de/Echolote-Navigation/Fischfinder-Combi-Echolote/Humminbird/Humminbird-ZubehoerErsatzteile/Humminbird-AD-XTM-9-Montage-Adapter--3643.html,33.9,other
740036-1,A. Schlageter,Fischfinder & Combi Echolote,Humminbird,Humminbird MC W,http://www.angel-schlageter.de/Echolote-Navigation/Fischfinder-Combi-Echolote/Humminbird/Humminbird-ZubehoerErsatzteile/Humminbird-MC-W--3732.html,19.95,other
740078-1,A. Schlageter,Fischfinder & Combi Echolote,Humminbird,Humminbird MBCC M,http://www.angel-schlageter.de/Echolote-Navigation/Fischfinder-Combi-Echolote/Humminbird/Humminbird-ZubehoerErsatzteile/Humminbird-MBCC-M--3733.html,9,other
740129-1,A. Schlageter,Fischfinder & Combi Echolote,Humminbird,Humminbird MBCC 900,http://www.angel-schlageter.de/Echolote-Navigation/Fischfinder-Combi-Echolote/Humminbird/Humminbird-ZubehoerErsatzteile/Humminbird-MBCC-900--10289.html,19,other
740130-1,A. Schlageter,Fischfinder & Combi Echolote,Humminbird,Humminbird MBCC 1100,http://www.angel-schlageter.de/Echolote-Navigation/Fischfinder-Combi-Echolote/Humminbird/Humminbird-ZubehoerErsatzteile/Humminbird-MBCC-1100--10290.html,19,other
740120-1,A. Schlageter,Fischfinder & Combi Echolote,Humminbird,Humminbird MBCC 700E,http://www.angel-schlageter.de/Echolote-Navigation/Fischfinder-Combi-Echolote/Humminbird/Humminbird-ZubehoerErsatzteile/Humminbird-MBCC-700E--3734.html,19,other
740093-1,A. Schlageter,Fischfinder & Combi Echolote,Humminbird,Humminbird MHX XNT Geber Montage Kit,http://www.angel-schlageter.de/Echolote-Navigation/Fischfinder-Combi-Echolote/Humminbird/Humminbird-ZubehoerErsatzteile/Humminbird-MHX-XNT-Geber-Montage-Kit--3648.html,26.95,other
780012-1,A. Schlageter,Fischfinder & Combi Echolote,Humminbird,Humminbird UC 5,http://www.angel-schlageter.de/Echolote-Navigation/Fischfinder-Combi-Echolote/Humminbird/Humminbird-ZubehoerErsatzteile/Humminbird-UC-5--3726.html,33.9,other
720050-1,A. Schlageter,Fischfinder & Combi Echolote,Humminbird,Humminbird AS EC10,http://www.angel-schlageter.de/Echolote-Navigation/Fischfinder-Combi-Echolote/Humminbird/Humminbird-ZubehoerErsatzteile/Humminbird-AS-EC10--3719.html,39.9,other
101587,A. Schlageter,Fischfinder & Combi Echolote,Humminbird,Humminbird 899cxi HD SI Echolot - Modell 2015,http://www.angel-schlageter.de/Echolote-Navigation/Fischfinder-Combi-Echolote/Humminbird/Technik-Side-Imaging/Humminbird-899cxi-HD-SI-Echolot-Modell-2015--10613.html,1469,"7"""
