sku,category,id,ean,name,launch,available,price
45500,MINDSTORMS Education,,,EV3 Intelligent Brick,,,199.99
45501,MINDSTORMS Education,,,EV3 Rechargeable DC Battery,,,99.99
45502,MINDSTORMS Education,,,EV3 Large Servo Motor,,,29.99
45503,MINDSTORMS Education,,,EV3 Medium Servo Motor,,,24.99
45504,MINDSTORMS Education,,,EV3 Ultrasonic Sensor,,,34.99
45505,MINDSTORMS Education,,,EV3 Gyro Sensor,,,34.99
45506,MINDSTORMS Education,,,EV3 Color Sensor,,,34.99
45507,MINDSTORMS Education,,,EV3 Touch Sensor,,,19.99
45508,MINDSTORMS Education,,,EV3 Infrared Beacon,,,34.99
45509,MINDSTORMS Education,,,EV3 Infrared Sensor,,,34.99
45514,MINDSTORMS Education,,,EV3 Cable Pack,,,14.99
45517,MINDSTORMS Education,,,Transformer 10V DC,,,29.99
60100,City Airport,,,Airport Starter Set,,,9.99
60101,City Airport,,,Airport Cargo Plane,,,19.99
60102,City Airport,,,Airport VIP Service,,,54.99
60103,City Airport,,,Airport Air Show,,,79.99
60104,City Airport,,,Airport Passenger Terminal,,,99.99
60090,LEGO® City,,,L'explorateur sous-marin,,,5.99
60091,LEGO® City,,,Ensemble de démarrage sous-marin,,,9.99
60092,LEGO® City,,,Le sous-marin,,,29.99
60093,LEGO® City,,,L'hélicoptère de haute-mer,,,49.99
60095,LEGO® City,,,Le bateau d'exploration,,,99.99
60096,City Deep Sea Explorers,,,Deep Sea Operation Base,,,79.99
60072,LEGO® City,,,Ensemble de démarrage de démolition,,,9.99
60073,LEGO® City,,,Le camion grue,,,19.99
60074,LEGO® City,,,Le bulldozer,,,29.99
60076,LEGO® City,,,Le chantier de démolition,,,74.99
60105,City Fire,,,Fire ATV,,,5.99
60106,City Fire,,,Fire Starter Set,,,9.99
60107,City Fire,,,Fire Ladder Truck,,,19.99
60108,City Fire,,,Fire Response Unit,,,29.99
60109,City Fire,,,Fire Boat,,,74.99
60110,City Fire,,,Fire Station,,,99.99
60111,City Fire,,,Fire Utility Truck,,,39.99
60112,City Fire,,,Fire Engine,,,39.99
66541,City Fire,,,LEGO City VP_2,,,29.99
60081,LEGO® City,,,Le pick-up dépanneuse,,,19.99
60084,LEGO® City,,,Le transporteur de motos de course,,,19.99
60085,LEGO® City,,,Le 4x4 avec hors-bord,,,29.99
60113,City Great Vehicles,,,Rally Car,,,9.99
60114,City Great Vehicles,,,Race Boat,,,9.99
60115,City Great Vehicles,,,4 x 4 Off Roader,,,19.99
60116,City Great Vehicles,,,Ambulance Plane,,,19.99
60117,City Great Vehicles,,,Van & Caravan,,,19.99
60118,City Great Vehicles,,,Garbage Truck,,,19.99
60119,City Great Vehicles,,,Ferry,,,29.99
60120,City In/Out,,,Volcano Starter Set,,,9.99
60121,City In/Out,,,Volcano Exploration Truck,,,19.99
60122,City In/Out,,,Volcano Crawler,,,29.99
60123,City In/Out,,,Volcano Supply Helicopter,,,54.99
60124,City In/Out,,,Volcano Exploration Base,,,99.99
60125,City In/Out,,,Volcano Heavy-lift Helicopter,,,139.99
66540,City In/Out,,,LEGO City VP_1,,,79.99
60044,LEGO® City,,,L'unité de police mobile,,,29.99
60047,LEGO® City,,,Le commissariat de police,,,99.99
60067,LEGO® City,,,La poursuite en hélicoptère,,,29.99
60069,LEGO® City,,,Le poste de police des marais,,,74.99
60071,City Police,,,Hovercraft Arrest,,,39.99
60126,City Police,,,Tire Escape,,,5.99
60127,City Police,,,Prison Island Starter Set,,,9.99
60128,City Police,,,Police Pursuit,,,19.99
60129,City Police,,,Police Patrol Boat,,,39.99
60130,City Police,,,Prison Island,,,79.99
60131,City Police,,,Crooks Island,,,29.99
60077,LEGO® City,,,Ensemble de démarrage de l'espace,,,9.99
60078,LEGO® City,,,La navette spatiale,,,19.99
60079,LEGO® City,,,Le transporteur d'avion,,,49.99
60080,LEGO® City,,,Le centre spatial,,,99.99
7280,LEGO® City,,,Route droite et carrefour,,,12.99
7281,LEGO® City,,,Virage et croisement,,,12.99
60097,LEGO® City,,,Le centre ville,,,179.99
60132,City Town,,,Service Station,,,74.99
60133,City Town,,,LEGO® City Advent Calendar,,,19.99
60134,City Town,,,Fun in the park - City People Pack,,,39.99
60050,LEGO® City,,,La gare,,,49.99
60051,LEGO® City,,,Le train de passagers à grande vitesse,,,129.99
60052,LEGO® City,,,Le train de marchandises,,,179.99
60098,LEGO® City,,,Le train de marchandises,,,159.99
66493,City Trains,,,CITY Train Value Pack,,,219.99
7499,LEGO® City,,,Rails flexibles,,,18.99
7895,LEGO® City,,,Les aiguillages,,,19.99
10214,LEGO® Creator Expert,,,Le Tower Bridge,,,219.99
10218,LEGO® Creator Expert,,,L'animalerie,,,149.99
10220,LEGO® Creator Expert,,,Le camping-car Volkswagen T1,,,99.99
10232,LEGO® Creator Expert,,,Palace Cinema,,,139.99
10234,LEGO® Creator Expert,,,L'opéra de Sydney,,,299.99
10242,LEGO® Creator Expert,,,MINI Cooper,,,99.99
10243,LEGO® Creator Expert,,,Le restaurant parisien,,,149.99
10244,LEGO® Creator Expert,,,La fête foraine,,,129.99
10245,LEGO Creator Expert,,,L'atelier du Père Noël,,,69.99
10246,LEGO® Creator Expert,,,Le bureau du détective,,,159.99
10247,LEGO® Creator Expert,,,La grande Roue,,,199.99
10248,Creator Expert,,,Ferrari F40,,,84.99
10249,Creator Expert,,,Winter Toy Shop,,,74.99
10251,Creator Expert,,,Brick Bank,,,159.99
10252,Creator Expert,,,Confidential -  Expert 2 2016,,,94.99
10253,Creator Expert,,,Confidential - Expert 3 2016,,,239.99
10254,Creator Expert,,,Confidential -  Expert 4 2016,,,94.99
31027,LEGO® Creator,,,Le Bolide Bleu,,,4.99
31028,LEGO® Creator,,,L'hydravion,,,4.99
31029,LEGO® Creator,,,L'Hélicoptère Cargo,,,9.99
31031,LEGO® Creator,,,Les animaux de la forêt tropicale,,,14.99
31032,LEGO® Creator,,,Les créatures rouges,,,14.99
31033,LEGO® Creator,,,Le transport de véhicules,,,19.99
31034,LEGO® Creator,,,Les planeurs du futur,,,19.99
31035,LEGO® Creator,,,La cabane de la plage,,,26.99
31036,LEGO® Creator,,,Le magasin de jouets et l'épicerie,,,34.99
31037,LEGO® Creator,,,Les véhicules de l'aventure,,,19.99
31038,LEGO® Creator,,,Le changement de saison,,,49.99
31039,LEGO® Creator,,,L'avion bleu,,,59.99
31040,LEGO Creator,,,Desert Racers,,,4.99
31041,LEGO Creator,,,Construction Vehicles,,,4.99
31042,LEGO Creator,,,Super Soarer,,,9.99
31043,LEGO Creator,,,Chopper Transporter,,,9.99
31044,LEGO Creator,,,Park Animals,,,14.99
31045,LEGO Creator,,,Ocean Explorer,,,14.99
31046,LEGO Creator,,,Fast Car,,,19.99
31047,LEGO Creator,,,Propeller Plane,,,19.99
31048,LEGO Creator,,,Lakeside Lodge,,,26.99
31049,LEGO Creator,,,Twin Spin Helicopter,,,29.99
31050,LEGO Creator,,,Corner Deli,,,34.99
31051,LEGO Creator,,,Lighthouse Point,,,49.99
31052,LEGO Creator,,,Vacation Getaways,,,64.99
31053,LEGO Creator,,,Treehouse Adventures,,,29.99
41554,Mixels,,,Kuffs,,,3.99
41555,Mixels,,,Busto,,,3.99
41556,Mixels,,,Tiketz,,,3.99
41557,Mixels,,,Camillot,,,3.99
41558,Mixels,,,Mixadel,,,3.99
41559,Mixels,,,Paladum,,,3.99
41560,Mixels,,,Jamzy,,,3.99
41561,Mixels,,,Tapsy,,,3.99
41562,Mixels,,,Trumpsy,,,3.99
41563,Mixels,,,Splasho,,,3.99
41564,Mixels,,,Aquad,,,3.99
41565,Mixels,,,Hydro,,,3.99
41566,Mixels,,,Sharx,,,3.99
41567,Mixels,,,Skulzy,,,3.99
41568,Mixels,,,Lewt,,,3.99
41569,Mixels,,,Surgeo,,,3.99
41570,Mixels,,,Skrubz,,,3.99
41571,Mixels,,,Tuth,,,3.99
41572,Mixels,,,Gobbol,,,3.99
41573,Mixels,,,Sweepz,,,3.99
41574,Mixels,,,Compax,,,3.99
41575,Mixels,,,Cobrax,,,3.99
41576,Mixels,,,Spinza,,,3.99
41577,Mixels,,,Mysto,,,3.99
