ServiceID,Name,ProductID,ProductName,ProductURL,Region,DateFrom,PriceType,AgeFrom,AgeTo,BuyPriceGBP,SellPriceGBP,MarginGBP,MarginPercent
63375,14 Day Pass - I Ride Trolley,81492,I Ride Trolley,http://www.attractiontix.co.uk/tickets/i-ride-trolley,Orlando,28/06/2014,Child,3,9,5.34,11,5.66,51.45
22312,14-Day SeaWorld & Aquatica 2-Park Ticket,80675,SeaWorld Orlando,http://www.attractiontix.co.uk/tickets/seaworld-orlando,Orlando,28/06/2014,Adult,0,0,71.34,80,8.66,10.83
22312,14-Day SeaWorld & Aquatica 2-Park Ticket,80675,SeaWorld Orlando,http://www.attractiontix.co.uk/tickets/seaworld-orlando,Orlando,01/01/2015,Adult,0,0,76.87,86,9.13,10.62
22312,14-Day SeaWorld & Aquatica 2-Park Ticket,80675,SeaWorld Orlando,http://www.attractiontix.co.uk/tickets/seaworld-orlando,Orlando,28/06/2014,Child,3,9,66.91,75,8.09,10.79
22312,14-Day SeaWorld & Aquatica 2-Park Ticket,80675,SeaWorld Orlando,http://www.attractiontix.co.uk/tickets/seaworld-orlando,Orlando,01/01/2015,Child,3,9,74.11,81,6.89,8.51
157,14-Day SeaWorld & Busch Gardens 2-Park Ticket,80209,Busch Gardens Tampa Bay Tickets,http://www.attractiontix.co.uk/tickets/busch-gardens,Orlando,28/06/2014,Adult,0,0,71.51,80,8.49,10.61
157,14-Day SeaWorld & Busch Gardens 2-Park Ticket,80209,Busch Gardens Tampa Bay Tickets,http://www.attractiontix.co.uk/tickets/busch-gardens,Orlando,01/01/2015,Adult,0,0,77.05,86,8.95,10.41
157,14-Day SeaWorld & Busch Gardens 2-Park Ticket,80209,Busch Gardens Tampa Bay Tickets,http://www.attractiontix.co.uk/tickets/busch-gardens,Orlando,28/06/2014,Child,3,9,67.07,75,7.93,10.57
157,14-Day SeaWorld & Busch Gardens 2-Park Ticket,80209,Busch Gardens Tampa Bay Tickets,http://www.attractiontix.co.uk/tickets/busch-gardens,Orlando,01/01/2015,Child,3,9,74.28,81,6.72,8.3
15245,1-Day Go Miami Card,80418,GO Miami Card,http://www.attractiontix.co.uk/tickets/go-miami,Miami,28/06/2014,Adult,0,0,28.93,39,10.07,25.82
15245,1-Day Go Miami Card,80418,GO Miami Card,http://www.attractiontix.co.uk/tickets/go-miami,Miami,28/06/2014,Child,3,12,24.47,34,9.53,28.03
73365,1-Day LEGOLAND California Resort Hopper Ticket,80573,Legoland California Tickets,http://www.attractiontix.co.uk/tickets/legoland-california,Los Angeles,28/06/2014,Adult,0,0,44.45,63,18.55,29.44
