sku,Nisbets Code,manufacturer,name,price,url_path,url_key
VRX1500-330,,Atosa,Atosa VRX1500-330 Refrigerated Topping Unit,325,atosa-vrx1500-330-refrigerated-topping-unit.html,atosa-vrx1500-330-refrigerated-topping-unit
VRX1500-380,,Atosa,Atosa VRX1500-380 Refrigerated Topping Unit,344,atosa-vrx1500-380-refrigerated-topping-unit.html,atosa-vrx1500-380-refrigerated-topping-unit
VRX1600-330,,Atosa,Atosa VRX1600-330 Refrigerated Topping Unit,335,atosa-vrx1600-330-refrigerated-topping-unit.html,atosa-vrx1600-330-refrigerated-topping-unit
VRX1600-380,,Atosa,Atosa VRX1600-380 Refrigerated Topping Unit,358,atosa-vrx1600-380-refrigerated-topping-unit.html,atosa-vrx1600-380-refrigerated-topping-unit
VRX1800-330,,Atosa,Atosa VRX1800-330 Refrigerated Topping Unit,358,atosa-vrx1800-330-refrigerated-topping-unit.html,atosa-vrx1800-330-refrigerated-topping-unit
VRX1800-380,,Atosa,Atosa VRX1800-380 Refrigerated Topping Unit,390,atosa-vrx1800-380-refrigerated-topping-unit.html,atosa-vrx1800-380-refrigerated-topping-unit
VRX2000-330,,Atosa,Atosa VRX2000-330 Refrigerated Topping Unit,420,atosa-vrx2000-330-refrigerated-topping-unit.html,atosa-vrx2000-330-refrigerated-topping-unit
VRX2000-380,,Atosa,Atosa VRX2000-380 Refrigerated Topping Unit,440,atosa-vrx2000-380-refrigerated-topping-unit.html,atosa-vrx2000-380-refrigerated-topping-unit
EPL3520,,Atosa,Atosa EPL3520 Two Door Refrigerated Counter,599,atosa-epl3520-two-door-refrigerated-counter.html,atosa-epl3520-two-door-refrigerated-counter
EPL3521,,Atosa,Atosa EPL3521 Two Door Freezer Counter,679,atosa-epl3521-two-door-freezer-counter.html,atosa-epl3521-two-door-freezer-counter
EPL3530,,Atosa,Atosa EPL3530 Three Door Refrigerated Counter,699,atosa-epl3530-three-door-refrigerated-counter.html,atosa-epl3530-three-door-refrigerated-counter
EPL3531,,Atosa,Atosa EPL3531 Three Door Freezer Counter,799,atosa-epl3531-three-door-freezer-counter.html,atosa-epl3531-three-door-freezer-counter
Q-Series,,Blendtec,Blendtec Q Series Smoothie Blender,778,blendtec-q-series-smoothie-blender.html,blendtec-q-series-smoothie-blender
