Unique product code,Product name,Brand,Category,Price,RRP,Shipping cost,Cost price,Stock availability,Product page URL,EAN
348249AG,SILENTNIGHT HEATED MATTRESS COVER - KING,Silentnight,BEDDING > ELECTRIC BLANKETS,86.99,,Free Shipping,30.24,In Stock,https://www.sleepypeople.com/silentnight-comfort-control-heated-mattress-cover.html,5012701348249
346900GE,SILENTNIGHT MEMORY FOAM CORE PILLOW,Silentnight,PILLOWS,17.49,,Free Shipping,2.86,Out Of Stock,https://www.sleepypeople.com/silentnight-memory-foam-core-pillows.html,5012701346900
389990MA,SILENTNIGHT EGYPTIAN COTTON MATTRESS PROTECTOR - KING,Silentnight,PROTECTORS,24.99,,Free Shipping,5.72,In Stock,https://www.sleepypeople.com/silentnight-egyptian-cotton-mattress-protector.html,5012701389990
357906GP,SILENTNIGHT IMPRESS 2.5CM MEMORY FOAM MATTRESS TOPPER - DOUBLE,Silentnight,MATTRESS TOPPERS,59.99,,Free Shipping,19.201,In Stock,https://www.sleepypeople.com/silentnight-impress-memory-foam-mattress-topper-2-5cm.html,5012701357906
415088EB,SILENTNIGHT FEBREZE SOFT TOUCH MATTRESS PROTECTOR - KING,Silentnight,PROTECTORS,22.99,,Free Shipping,4.79,In Stock,https://www.sleepypeople.com/silentnight-febreze-soft-touch-mattress-protector.html,5012701415088
442770GR,SILENTNIGHT BOUNCE BACK PILLOW - 6 PACK,Silentnight,PILLOWS,29.99,,Free Shipping,7.04,In Stock,https://www.sleepypeople.com/silentnight-bounce-back-pillow-6-pack.html,5012701414388
357890GP,SILENTNIGHT IMPRESS 2.5CM MEMORY FOAM MATTRESS TOPPER - SINGLE,Silentnight,MATTRESS TOPPERS,44.99,,Free Shipping,12.09,In Stock,https://www.sleepypeople.com/silentnight-impress-memory-foam-mattress-topper-2-5cm.html,5012701357890
447102GE,SILENTNIGHT ANTI-SNORE PILLOW,Silentnight,PILLOWS,18.99,,Free Shipping,2.46,Out Of Stock,https://www.sleepypeople.com/silentnight-antisnore-pillow.html,5012701447102
357913GP,SILENTNIGHT IMPRESS 2.5CM MEMORY FOAM MATTRESS TOPPER - KING,Silentnight,MATTRESS TOPPERS,74.99,,Free Shipping,21.463,In Stock,https://www.sleepypeople.com/silentnight-impress-memory-foam-mattress-topper-2-5cm.html,5012701357913
150175,SILENTNIGHT WATERPROOF MATTRESS PROTECTOR - KING,Silentnight,PROTECTORS,19.99,,Free Shipping,2.548,In Stock,https://www.sleepypeople.com/silentnight-waterproof-mattress-protector.html,5012701217842
445399GE,SILENTNIGHT SUPERWASH PILLOW - 2 PACK,Silentnight,PILLOWS,21.99,,Free Shipping,2.96,In Stock,https://www.sleepypeople.com/silentnight-superwash-pillow-2-pack.html,5012701440998
201056,SILENTNIGHT IMPRESS 5CM MEMORY FOAM MATTRESS TOPPER - SINGLE,Silentnight,MATTRESS TOPPERS,84.99,,Free Shipping,21.9625,In Stock,https://www.sleepypeople.com/silentnight-impress-memory-foam-mattress-topper-5cm.html,5012701201650
150487,SILENTNIGHT HOLLOWFIBRE 13.5 TOG DUVET - SUPER KING,Silentnight,DUVETS,27.99,,Free Shipping,4.004,In Stock,https://www.sleepypeople.com/silentnight-hollowfibre-duvet-13-5-tog.html,5012701245289
430388GE,SILENTNIGHT GELTEX PILLOW,Silentnight,PILLOWS,49.99,,Free Shipping,9.61,In Stock,https://www.sleepypeople.com/silentnight-geltex-pillow.html,5012701430388
443289GE,SILENTNIGHT REFLEX LATEX CORE PILLOW,Silentnight,PILLOWS,51.99,,Free Shipping,6.71,In Stock,https://www.sleepypeople.com/silentnight-reflex-latex-core-pillow.html,5012701439350
452755GE,SILENTNIGHT LUXURY MIRAFORM GELTEX PILLOW,Silentnight,PILLOWS,55.99,,Free Shipping,7.16,In Stock,https://www.sleepypeople.com/silentnight-miraform-geltex-pillow.html,5012701452625
445535GE,SILENTNIGHT EGYPTIAN COTTON PILLOW PROTECTOR PAIR,Silentnight,PROTECTORS,26.99,,Free Shipping,0,Out Of Stock,https://www.sleepypeople.com/silentnight-egyptian-cotton-pillow-protector-pair.html,5012701445535
