account,product,description,brand
A,14K0809,KCL 743 Dermatril P Nitrile Glove Blue pack-of-50,KCL     
A,55J0247,Kontrol Floor Maintainer 5L 680070    ,Kontrol
A,55J0279,Kontrol Lemon Floor Gel 5L 572400  ,Kontrol
A,6L6909,Kynox Mariner Calf Safety Boot,Kynox
A,6L7009,Kyle Metal Toe Safety Chukka Boot,Kynox
A,461124,LED Lites Head Torch 7041              ,LED Lenser
A,461128,Led Lenser F1 Tactical                  ,LED Lenser
A,461129,Led Lenser M7R Rechargeable             ,LED Lenser
A,461133,LED Lenser Headtorch H7.2               ,LED Lenser
A,461135,LED Lenser Professional P14.2 LED Torch Black 9414,LED Lenser
A,10PL206,Lee Cooper LCJKT-405 Polar Fleece Grey Black,Lee Cooper
A,8LC0500,Lee Cooper LCBLT613 Canvas Belt Black One-size            ,Lee Cooper
A,55G0016,Lifeline AUTO Automatic Defibrillator   ,Lifeline
A,44C2225,Loctite 222 Screwlock 50ml              ,Loctite
A,44C2705,Loctite 270 Studlock 50ml               ,Loctite
A,44C3090,Loctite 3090 Instant Adhesive 10ml      ,Loctite
A,44C4013,Loctite 8040 Freeze & Release Aerosol 400ml ,Loctite
A,44C4014,Loctite 435 Instant Adhesive Clear 20g  ,Loctite
A,44C4062,Loctite 406 Instant Adhesive 20g        ,Loctite
A,44C5725,Loctite 572 Pipe Sealant 50ml           ,Loctite
A,44C8018,Loctite 3463 Metal Magic 114g 265628   ,Loctite
A,44C8034,Loctite 243 Nutlock 50ml 1335885        ,Loctite
A,5515500,Martor Safety Knife Blades 5232  pack-of-10,Martor
A,5515501,Martor Safety Knife Blades 99 pack-of-10    ,Martor
A,26MP005,Mascot Naxos Sweater Black        ,Mascot
A,8MP0334,Mascot Manheim Trouser Anthra/Black,Mascot
A,8MP0734,Mascot Lerida Trouser Black          ,Mascot
A,8MP1534,Mascot Grafton Trouser Navy     ,Mascot
A,4M0005,Titan Roofers Kit 1011895               ,Miller
A,4M0019,Titan Construction Kit 1011898          ,Miller
