SKU,Product Name,Brand,Category,Price,Stock Availability,Shipping Charge
MKU22B/A,Apple iPhone 6s Plus 16GB Silver,Apple,,869.95,In Stock,4.99
MKU12B/A,Apple iPhone 6s Plus 16GB Space Grey,Apple,,869.95,In Stock,4.99
MKU82B/A,Apple iPhone 6s Plus 64GB Gold,Apple,,979.95,In Stock,4.99
MKU92B/A,Apple iPhone 6s Plus 64GB Rose Gold,Apple,,979.95,In Stock,4.99
MKU72B/A,Apple iPhone 6s Plus 64GB Silver,Apple,,979.95,In Stock,4.99
MKU62B/A,Apple iPhone 6s Plus 64GB Space Grey,Apple,,979.95,In Stock,4.99
MLXM2B/A,Apple iPhone SE 16GB Gold,Apple,,499,In Stock,4.99
MLXN2B/A,Apple iPhone SE 16GB Rose Gold,Apple,,499,In Stock,4.99
MLLP2B/A,Apple iPhone SE 16GB Silver,Apple,,499,In Stock,4.99
MLLN2B/A,Apple iPhone SE 16GB Space Grey,Apple,,499,In Stock,4.99
MLXP2B/A,Apple iPhone SE 64GB Gold,Apple,,599,In Stock,4.99
MLXQ2B/A,Apple iPhone SE 64GB Rose Gold,Apple,,599,In Stock,4.99
MLM72B/A,Apple iPhone SE 64GB Silver,Apple,,599,In Stock,4.99
MLM62B/A,Apple iPhone SE 64GB Space Grey,Apple,,599,In Stock,4.99
MKH22BT/A,Apple iPod Touch 16GB Blue,Apple,,239.95,In Stock,4.99
MKH02BT/A,Apple iPod Touch 16GB Gold,Apple,,239.95,In Stock,4.99
MKGX2BT/A,Apple iPod Touch 16GB Pink,Apple,,239.95,In Stock,4.99
MKH62BT/A,Apple iPod Touch 16GB Space Grey,Apple,,239.95,In Stock,4.99
MKH42BT/A,Apple iPod Touch 16GB White & Silver,Apple,,239.95,In Stock,4.99
MD387B/A,"Apple Mac Mini Core i5, 2.5 GHz",Apple,,619.95,In Stock,4.99
MD199B/A,Apple MD199B/A TV,Apple,,79.95,In Stock,4.99
MD475QB/A,"Apple MD475QB/A 16GB iPod Nano, Pink",Apple,,189.95,In Stock,4.99
MD476QB/A,"Apple MD476QB/A 16GB iPod Nano, Yellow",Apple,,179.95,In Stock,4.99
MD477QB/A,"Apple MD477QB/A 16GB iPod Nano, Blue",Apple,,179.95,In Stock,4.99
