Product No.,Item no,Item Description English, Local Launch, Local          Exit,Product Category,Theme,RRP price EUR
31051,31051,Lighthouse Point,,,,LEGO Creator,54.99
31052,31052,Vacation Getaways,,,,LEGO Creator,69.99
31053,31053,Treehouse Adventures,,,,LEGO Creator,34.99
41554,41554,Kuffs,,,,Mixels,3.99
41555,41555,Busto,,,,Mixels,3.99
41556,41556,Tiketz,,,,Mixels,3.99
41557,41557,Camillot,,,,Mixels,3.99
41558,41558,Mixadel,,,,Mixels,3.99
41559,41559,Paladum,,,,Mixels,3.99
41560,41560,Jamzy,,,,Mixels,3.99
41561,41561,Tapsy,,,,Mixels,3.99
41562,41562,Trumpsy,,,,Mixels,3.99
41563,41563,Splasho,,,,Mixels,3.99
41564,41564,Aquad,,,,Mixels,3.99
41565,41565,Hydro,,,,Mixels,3.99
41566,41566,Sharx,,,,Mixels,3.99
41567,41567,Skulzy,,,,Mixels,3.99
41568,41568,Lewt,,,,Mixels,3.99
41569,41569,Surgeo,,,,Mixels,3.99
41570,41570,Skrubz,,,,Mixels,3.99
41571,41571,Tuth,,,,Mixels,3.99
41572,41572,Gobbol,,,,Mixels,3.99
41573,41573,Sweepz,,,,Mixels,3.99
41574,41574,Compax,,,,Mixels,3.99
41575,41575,Cobrax,,,,Mixels,3.99
41576,41576,Spinza,,,,Mixels,3.99
41577,41577,Mysto,,,,Mixels,3.99
41578,41578,Screeno,,,,Mixels,3.99
41579,41579,Camsta,,,,Mixels,3.99
41580,41580,Myke,,,,Mixels,3.99
88000,88000,Power Functions AAA Battery Box,,,LEGO Functions,LEGO Functions,12.99
88002,88002,Power Functions Train Motor,,,LEGO Functions,LEGO Functions,14.99
88003,88003,Power Functions L-Motor,,,LEGO Functions,LEGO Functions,14.99
88004,88004,Power Functions Servo Motor,,,LEGO Functions,LEGO Functions,26.99
8869,8869,Power Functions Control Switch,,,LEGO Functions,LEGO Functions,6.99
8870,8870,Power Functions Light,,,LEGO Functions,LEGO Functions,7.99
8871,8871,"Power Functions Extension Wire 20""",,,LEGO Functions,LEGO Functions,4.99
8878,8878,Power Functions Rechargeable Battery box,,,LEGO Functions,LEGO Functions,56.99
8879,8879,Power Functions IR Speed Remote Control,,,LEGO Functions,LEGO Functions,14.99
8881,8881,Power Functions Battery Box,,,LEGO Functions,LEGO Functions,7.99
8882,8882,Power Functions XL-Motor,,,LEGO Functions,LEGO Functions,11.99
