"Product No.","Item no","Item Description English"," Local Launch"," Local          Exit","Product Category","Theme","RRP price EUR","RRP price EUR 2"
41015,6024549,"Dolphin Cruiser","8/1/2013","12/31/2014","Standard Retail","LEGO Friends","79.99","79.99"
41016,6024539,"LEGO® Friends Advent Calendar","9/1/2013","12/31/2013","Standard Retail","LEGO Friends","22.99","22.99"
42000,6024750,"Grand Prix Racer","3/1/2013","12/31/2014","Standard Retail","Technic","109.99","109.99"
42001,6024752,"Mini Off-Roader","8/1/2013","12/31/2014","Standard Retail","Technic","9.99","9.99"
42002,6024754,"Hovercraft","1/1/2013","12/31/2014","Standard Retail","Technic","15.99","15.99"
42004,6024756,"Mini Backhoe Loader","1/1/2013","12/31/2014","Standard Retail","Technic","22.99","22.99"
42005,6023341,"Monster Truck","8/1/2013","12/31/2014","Standard Retail","Technic","39.99","39.99"
42006,6025047,"Excavator","1/1/2013","12/31/2014","Standard Retail","Technic","69.99","69.99"
42007,6025212,"Moto Cross Bike","1/1/2013","7/31/2015","Standard Retail","Technic","29.99","29.99"
42008,6025214,"Service Truck","8/1/2013","12/31/2015","Standard Retail","Technic","119.99","119.99"
42009,6025221,"Mobile Crane MK II","8/1/2013","12/31/2015","Standard Retail","Technic","199.99","199.99"
42010,6025225,"Off-road Racer","1/1/2013","12/31/2014","Standard Retail","Technic","19.99","19.99"
42011,6025228,"Race Car","1/1/2013","12/31/2014","Standard Retail","Technic","19.99","19.99"
44002,6025156,"ROCKA","3/1/2013","7/31/2013","Standard Retail","Hero Factory","9.99","9.99"
44003,6025152,"SCAROX","3/1/2013","7/31/2013","Standard Retail","Hero Factory","9.99","9.99"
44004,6025145,"BULK","3/1/2013","12/31/2013","Standard Retail","Hero Factory","9.99","9.99"
44006,6025141,"BREEZ","3/1/2013","7/31/2013","Standard Retail","Hero Factory","9.99","9.99"
44012,6025137,"EVO","8/1/2013","12/31/2013","Standard Retail","Hero Factory","9.99","9.99"
44013,6025135,"AQUAGON","8/1/2013","12/31/2013","Standard Retail","Hero Factory","9.99","9.99"
44001,6025133,"PYROX","3/1/2013","12/31/2013","Standard Retail","Hero Factory","12.99","12.99"
44005,6025131,"BRUIZER","3/1/2013","12/31/2013","Standard Retail","Hero Factory","12.99","12.99"
