"Product No.","Item no","Item Description English"," Local Launch"," Local          Exit","Product Category","Theme","RRP price DKK","RRP price SEK"
70111,6024612,"Swamp Jump","01/09/2013","31/12/2013","Standard Retail","Chima","129.95","149.00"
70112,6024614,"Croc Chomp","01/09/2013","31/12/2013","Standard Retail","Chima","129.95","149.00"
70113,6024616,"CHI Battles","01/01/2013","31/05/2013","Standard Retail","Chima","179.95","199.00"
70114,6024625,"Sky Joust","01/06/2013","31/12/2013","Standard Retail","Chima","179.95","199.00"
70115,6024627,"Ultimate Speedor Tournament","01/01/2013","31/12/2013","Standard Retail","Chima","249.95","299.00"
75002,6025104,"AT-RT (TM)","01/01/2013","31/12/2014","Standard Retail","Star Wars TM","229.95","299.00"
75004,6025100,"Z-95 Headhunter","01/01/2013","31/12/2014","Standard Retail","Star Wars TM","449.00","599.00"
75012,6025096,"BARC Speeder with Sidecar","01/01/2013","31/12/2014","Standard Retail","Star Wars TM","249.95","349.00"
75013,6025094,"Umbaran MHC (Mobile Heavy Cannon)","01/01/2013","31/12/2014","Standard Retail","Star Wars TM","549.00","699.00"
75023,6025076,"LEGO® Star Wars Advent Calendar","01/09/2013","31/12/2013","Standard Retail","Star Wars TM","249.95","349.00"
75000,6025108,"Clone Troopers (TM) vs. Droidekas (TM)","01/01/2013","31/12/2014","Standard Retail","Star Wars TM","129.95","149.00"
75001,6025106,"Republic Troopers (TM) vs Sith (TM) Troopers","01/01/2013","31/12/2014","Standard Retail","Star Wars TM","129.95","149.00"
75003,6025102,"A-wing Starfighter","01/01/2013","31/12/2014","Standard Retail","Star Wars TM","249.95","349.00"
75005,6025098,"Rancor (TM) Pit","01/01/2013","31/12/2014","Standard Retail","Star Wars TM","599.00","799.00"
75015,6025090,"Corporate Alliance Tank Droid","01/06/2013","31/12/2014","Standard Retail","Star Wars TM","229.95","299.00"
75016,6025088,"Homing Spider Droid","01/06/2013","31/12/2014","Standard Retail","Star Wars TM","349.00","499.00"
75017,6025086,"Duel on Geonosis","01/06/2013","31/12/2014","Standard Retail","Star Wars TM","449.00","599.00"
75018,6025084,"Jek-14's Stealth Starfighter","01/06/2013","31/12/2014","Standard Retail","Star Wars TM","599.00","799.00"
75019,6025082,"AT-TE","01/06/2013","31/12/2014","Standard Retail","Star Wars TM","899.00","1099.00"
75020,6025080,"Jabba's Sail Barge","01/06/2013","31/12/2014","Standard Retail","Star Wars TM","1099.00","1299.00"
75021,6025074,"Republic Gunship","01/06/2013","31/12/2014","Standard Retail","Star Wars TM","1099.00","1399.00"
75022,6025072,"Mandalorian Speeder","01/06/2013","31/12/2014","Standard Retail","Star Wars TM","249.95","349.00"
75006,6025052,"Jedi Starfighter & Kamino","01/03/2013","31/12/2013","Standard Retail","Star Wars TM","99.95","149.00"
75007,6025054,"Republic Assault Ship & Coruscant","01/03/2013","31/12/2013","Standard Retail","Star Wars TM","99.95","149.00"
75008,6025056,"TIE Bomber & Asteroid Field","01/03/2013","31/12/2013","Standard Retail","Star Wars TM","99.95","149.00"
75009,6025058,"Snowspeeder & Hoth","01/03/2013","31/12/2013","Standard Retail","Star Wars TM","99.95","149.00"
75010,6025060,"B-Wing Starfighter & Endor","01/03/2013","31/12/2013","Standard Retail","Star Wars TM","99.95","149.00"
75011,6025062,"Tantive IV & Alderaan","01/03/2013","31/12/2013","Standard Retail","Star Wars TM","99.95","149.00"
79005,6025200,"The Wizard Battle","01/06/2013","31/12/2014","Standard Retail","LofTR and Hobbit","129.95","179.00"
79006,6025202,"The Council of Elrond","01/06/2013","31/12/2014","Standard Retail","LofTR and Hobbit","349.00","499.00"
79007,6025204,"Battle at the Black Gate","01/06/2013","31/12/2014","Standard Retail","LofTR and Hobbit","599.00","799.00"
79008,6025206,"Pirate Ship Ambush","01/06/2013","31/12/2014","Standard Retail","LofTR and Hobbit","899.00","1199.00"
79011,6052798,"Confidential Name - Hobbit 1","15/12/2013","31/12/2016","Standard Retail","LofTR and Hobbit","249.95","299.00"
79012,6052800,"Confidential Name - Hobbit 2","15/12/2013","31/12/2016","Standard Retail","LofTR and Hobbit","349.00","449.00"
79013,6052803,"Confidential Name - Hobbit 3","15/12/2013","31/12/2016","Standard Retail","LofTR and Hobbit","549.00","699.00"
79014,6052805,"Confidential Name - Hobbit 4","15/12/2013","31/12/2016","Standard Retail","LofTR and Hobbit","749.00","899.00"
76000,6023819,"Arctic Batman vs. Mr. Freeze: Aquaman","01/01/2013","31/07/2014","Standard Retail","Super Heroes","229.95","299.00"
76001,6024698,"The Bat vs. Bane (TM): Tumbler Chase","01/01/2013","31/07/2014","Standard Retail","Super Heroes","399.00","499.00"
76002,6024700,"Superman: Metropolis Showdown","01/06/2013","31/12/2014","Standard Retail","Super Heroes","129.95","179.00"
76003,6024702,"Superman: Battle of Smallville","01/06/2013","31/12/2014","Standard Retail","Super Heroes","549.00","749.00"
76009,6043541,"Superman: Black Zero Escape","01/06/2013","31/12/2014","Standard Retail","Super Heroes","249.95","299.00"
76004,6024704,"Spider-Man: Spider-Cycle Chase","01/01/2013","31/07/2014","Standard Retail","Super Heroes","229.95","299.00"
76005,6024706,"Spider-Man: Daily Bugle Showdown","01/01/2013","31/07/2014","Standard Retail","Super Heroes","449.00","599.00"
76006,6024708,"Iron Man: Extremis Sea Port Battle","01/06/2013","31/12/2014","Standard Retail","Super Heroes","229.95","299.00"
76007,6024710,"Iron Man: Malibu Mansion Attack","01/06/2013","31/12/2014","Standard Retail","Super Heroes","349.00","499.00"
76008,6043504,"Iron Man vs. The Mandarin: Ultimate Sh","01/06/2013","31/12/2014","Standard Retail","Super Heroes","149.95","179.00"
79100,6024693,"Kraang Lab Escape","01/06/2013","31/12/2014","Standard Retail","Ninja Turtles TM","129.95","179.00"
79101,6024589,"Shredder's Dragon Bike","01/06/2013","31/12/2014","Standard Retail","Ninja Turtles TM","249.95","399.00"
79102,6024591,"Stealth Shell in Pursuit","01/06/2013","31/12/2014","Standard Retail","Ninja Turtles TM","229.95","299.00"
79103,6024594,"Turtle Lair Attack","01/06/2013","31/12/2014","Standard Retail","Ninja Turtles TM","449.00","599.00"
79104,6070030,"The Shellraiser Street Chase","01/06/2013","31/12/2014","Standard Retail","Ninja Turtles TM","599.00","799.00"
79106,6024668,"Cavalry Builder Set","01/06/2013","31/12/2014","Standard Retail","Lone Ranger TM","129.95","179.00"
79107,6024671,"Comanche Camp","01/06/2013","31/12/2014","Standard Retail","Lone Ranger TM","249.95","349.00"
79108,6024676,"Stagecoach Escape","01/06/2013","31/12/2014","Standard Retail","Lone Ranger TM","449.00","599.00"
79109,6024679,"Colby City Showdown","01/06/2013","31/12/2014","Standard Retail","Lone Ranger TM","549.00","749.00"
79110,6024681,"Silver Mine Shootout","01/06/2013","31/12/2014","Standard Retail","Lone Ranger TM","699.00","899.00"
79111,6024683,"Constitution Train Chase","01/06/2013","31/12/2014","Standard Retail","Lone Ranger TM","899.00","1099.00"
