sku,category,name,url,price,dealer,image_url,shipping_cost,identifier,brand,stock
21402300055,,Rosa 3 Seater Manual Recliner Sofa,http://www.harveysfurniture.co.uk/collection/rosa/#/rosa-3-seater-recliner,1199.0000,,http://steinhoffukretailltd.scene7.com/is/image/SteinhoffUKRetailLtd/999199_19009-19062_01901_IS_0,59,4557:4534,Steinhoff Timberland,
21402400056,,Rosa 2 Seater Manual Recliner Sofa,http://www.harveysfurniture.co.uk/collection/rosa/#/rosa-2-seater-recliner,1149.0000,,http://steinhoffukretailltd.scene7.com/is/image/SteinhoffUKRetailLtd/999200_19009-19062_01901_IS_0,59,4563:4525,Steinhoff Timberland,
21402500024,,Rosa Manual Recliner Chair,http://www.harveysfurniture.co.uk/collection/rosa/#/rosa-recliner-chair,999.0000,,http://steinhoffukretailltd.scene7.com/is/image/SteinhoffUKRetailLtd/999201_19009-19062_01901_IS_0,59,4553:4527,Steinhoff Timberland,
21269100026,Sofa > Leather > Corner sofas,Millan Right Hand Facing Corner Group With Chaise - Cat LLM,http://www.harveysfurniture.co.uk/collection/millan/#/millan-right-hand-facing-corner-group-with-chaise,2298.0000,,http://steinhoffukretailltd.scene7.com/is/image/SteinhoffUKRetailLtd/125038_16000-16013_01601_IS_0,59,3558:3342,Steinhoff HTL,
21269100015,Sofa > Leather > Corner sofas,Millan Left Hand Facing Corner Group With Chaise - Cat LLM,http://www.harveysfurniture.co.uk/collection/millan/#/millan-left-hand-facing-corner-group-with-chaise,2298.0000,,http://steinhoffukretailltd.scene7.com/is/image/SteinhoffUKRetailLtd/125039_16000-16013_01601_IS_0,59,3566:3339,Steinhoff HTL,
22521300014,Sofa > Leather > 3 seater,Millan Express 3 Seater Sofa In Black,http://www.harveysfurniture.co.uk/collection/millan/#/millan-3-seater-sofa,1298.0000,,http://steinhoffukretailltd.scene7.com/is/image/SteinhoffUKRetailLtd/125041_16000-16004_01601_IS_0,59,3577:4266,Steinhoff HTL,
21269300017,Sofa > Leather > 3 seater,Millan 3 Seater Sofa - Cat LLM,http://www.harveysfurniture.co.uk/collection/millan/#/millan-3-seater-sofa,1298.0000,,http://steinhoffukretailltd.scene7.com/is/image/SteinhoffUKRetailLtd/125041_16000-16013_01601_IS_0,59,3577:2348,Steinhoff HTL,
21278300016,Sofa > Leather > 3 seater,Millan Express 3 Seater Sofa In Brown,http://www.harveysfurniture.co.uk/collection/millan/#/millan-3-seater-sofa,1298.0000,,http://steinhoffukretailltd.scene7.com/is/image/SteinhoffUKRetailLtd/125041_16000-16013_01601_IS_0,59,3577:3344,Steinhoff HTL,
21269300095,Sofa > Leather > Sofa Beds,Millan 3 Seater Sofabed,http://www.harveysfurniture.co.uk/collection/millan/#/millan-3-seater-sofa-bed,1698.0000,,http://steinhoffukretailltd.scene7.com/is/image/SteinhoffUKRetailLtd/125042_16000-16013_01601_IS_0,59,3586:3345,Steinhoff HTL,
22521400015,Sofa > Leather > 2 seater,Millan Express 2 Seater Sofa In Black,http://www.harveysfurniture.co.uk/collection/millan/#/millan-2-seater-sofa,1238.0000,,http://steinhoffukretailltd.scene7.com/is/image/SteinhoffUKRetailLtd/125043_16000-16004_01601_IS_0,59,3596:4268,Steinhoff HTL,
