identifier,sku,name,price,url,category,brand,image_url,shipping_cost,stock
,,HTC A6262 Hero (Refurbished) Black,249,http://www.mobicity.co.nz/htc-a6262-hero-refurbished.html,Phones,,http://d3lawgetnu3l0g.cloudfront.net/catalog/product/cache/2/image/9df78eab33525d08d6e5fb8d27136e95/h/t/htc_a6262_hero_refurbished_2.jpg,,
,,HTC A6262 Hero (Refurbished) White,249,http://www.mobicity.co.nz/htc-a6262-hero-refurbished.html,Phones,,http://d3lawgetnu3l0g.cloudfront.net/catalog/product/cache/2/image/9df78eab33525d08d6e5fb8d27136e95/h/t/htc_a6262_hero_refurbished_2.jpg,,
,,HTC T3333 Touch 2 (Refurbished),199,http://www.mobicity.co.nz/htc-t3333-touch-2-refurbished.html,Phones,,http://d3lawgetnu3l0g.cloudfront.net/catalog/product/cache/2/image/9df78eab33525d08d6e5fb8d27136e95/h/t/htc_touch2_5_3.jpg,,
,,Samsung i8700 Omnia 7 (Refurbished),389,http://www.mobicity.co.nz/samsung-i8700-omnia-7-refurbished.html,Phones,,http://d3lawgetnu3l0g.cloudfront.net/catalog/product/cache/2/image/9df78eab33525d08d6e5fb8d27136e95/s/a/samsung_i8700_omnia_7_refurbished_1.jpg,,
,,HTC Desire V Black,349,http://www.mobicity.co.nz/htc-desire-v.html,Phones,,http://d3lawgetnu3l0g.cloudfront.net/catalog/product/cache/2/image/9df78eab33525d08d6e5fb8d27136e95/h/t/htc_desire_v_1.jpg,,
,,HTC Desire V White,349,http://www.mobicity.co.nz/htc-desire-v.html,Phones,,http://d3lawgetnu3l0g.cloudfront.net/catalog/product/cache/2/image/9df78eab33525d08d6e5fb8d27136e95/h/t/htc_desire_v_1.jpg,,
,,Nokia Asha 305 Dual SIM,119,http://www.mobicity.co.nz/nokia-305-asha.html,Phones,,http://d3lawgetnu3l0g.cloudfront.net/catalog/product/cache/2/image/9df78eab33525d08d6e5fb8d27136e95/n/o/nokia_305_asha_1.jpg,,
,,Apple iPhone 4 16GB (Refurbished) Black,619,http://www.mobicity.co.nz/iphone-4-16gb-refurbished.html,Phones,,http://d3lawgetnu3l0g.cloudfront.net/catalog/product/cache/2/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone_4_1_1_5.jpg,,
,,Apple iPhone 4 16GB (Refurbished) White,619,http://www.mobicity.co.nz/iphone-4-16gb-refurbished.html,Phones,,http://d3lawgetnu3l0g.cloudfront.net/catalog/product/cache/2/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone_4_1_1_5.jpg,,
,,Apple iPhone 4 32GB (Refurbished) Black,639,http://www.mobicity.co.nz/iphone-4-32gb-refurbished.html,Phones,,http://d3lawgetnu3l0g.cloudfront.net/catalog/product/cache/2/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone_4_1_1_5_1.jpg,,
,,Apple iPhone 4 32GB (Refurbished) White,639,http://www.mobicity.co.nz/iphone-4-32gb-refurbished.html,Phones,,http://d3lawgetnu3l0g.cloudfront.net/catalog/product/cache/2/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone_4_1_1_5_1.jpg,,
,,BlackBerry 9810 Torch - XT compatible (Refurbished),449,http://www.mobicity.co.nz/blackberry-9810-torch-2-nextg-refurbished.html,Phones,,http://d3lawgetnu3l0g.cloudfront.net/catalog/product/cache/2/image/9df78eab33525d08d6e5fb8d27136e95/b/l/blackberry_9810_01_6.jpg,,
,,Blackberry 9900 Bold - XT compatible (Refurbished) ,519,http://www.mobicity.co.nz/blackberry-bold-touch-9900-nextg-compatible-refurbished.html,Phones,,http://d3lawgetnu3l0g.cloudfront.net/catalog/product/cache/2/image/9df78eab33525d08d6e5fb8d27136e95/b/l/blackberry_bold_touch_9900_1_1_1.jpg,,
,,HTC Z710e Sensation (Refurbished),379,http://www.mobicity.co.nz/htc-sensation-refurbished.html,Phones,,http://d3lawgetnu3l0g.cloudfront.net/catalog/product/cache/2/image/9df78eab33525d08d6e5fb8d27136e95/h/t/htc_sensation_01_7.jpg,,
,,HTC Sensation XE Z715e,379,http://www.mobicity.co.nz/htc-sensation-xe-z715e.html,Phones,,http://d3lawgetnu3l0g.cloudfront.net/catalog/product/cache/2/image/9df78eab33525d08d6e5fb8d27136e95/h/t/htc_sensation_xe_z715e_1.jpg,,
,,Samsung Galaxy Ace Duos S6802  Black,219,http://www.mobicity.co.nz/samsung-s6802-galaxy-ace-duos.html,Phones,,http://d3lawgetnu3l0g.cloudfront.net/catalog/product/cache/2/image/9df78eab33525d08d6e5fb8d27136e95/a/c/ace-duos-white.jpg,,
,,Samsung Galaxy Ace Duos S6802  Orange,229,http://www.mobicity.co.nz/samsung-s6802-galaxy-ace-duos.html,Phones,,http://d3lawgetnu3l0g.cloudfront.net/catalog/product/cache/2/image/9df78eab33525d08d6e5fb8d27136e95/a/c/ace-duos-white.jpg,,
,,Samsung Galaxy Ace Duos S6802  Pink,219,http://www.mobicity.co.nz/samsung-s6802-galaxy-ace-duos.html,Phones,,http://d3lawgetnu3l0g.cloudfront.net/catalog/product/cache/2/image/9df78eab33525d08d6e5fb8d27136e95/a/c/ace-duos-white.jpg,,
,,Samsung Galaxy Ace Duos S6802  White,219,http://www.mobicity.co.nz/samsung-s6802-galaxy-ace-duos.html,Phones,,http://d3lawgetnu3l0g.cloudfront.net/catalog/product/cache/2/image/9df78eab33525d08d6e5fb8d27136e95/a/c/ace-duos-white.jpg,,
,,Samsung Galaxy Ace Duos S6802  Yellow,229,http://www.mobicity.co.nz/samsung-s6802-galaxy-ace-duos.html,Phones,,http://d3lawgetnu3l0g.cloudfront.net/catalog/product/cache/2/image/9df78eab33525d08d6e5fb8d27136e95/a/c/ace-duos-white.jpg,,
,,BlackBerry 9860 Torch,389,http://www.mobicity.co.nz/blackberry-torch-9860.html,Phones,,http://d3lawgetnu3l0g.cloudfront.net/catalog/product/cache/2/image/9df78eab33525d08d6e5fb8d27136e95/b/l/blackberry_torch_9860_01_3.jpg,,
,,Samsung Galaxy Ace Duos S6802B - XT compatible Black,309,http://www.mobicity.co.nz/samsung-galaxy-ace-duos-s6802b-nextg-compatible.html,Phones,,http://d3lawgetnu3l0g.cloudfront.net/catalog/product/cache/2/image/9df78eab33525d08d6e5fb8d27136e95/s/a/samsung-galaxy-ace-duos-s6802b-nextg-compatible-1.jpg,,
,,Samsung Galaxy Ace Duos S6802B - XT compatible Orange,309,http://www.mobicity.co.nz/samsung-galaxy-ace-duos-s6802b-nextg-compatible.html,Phones,,http://d3lawgetnu3l0g.cloudfront.net/catalog/product/cache/2/image/9df78eab33525d08d6e5fb8d27136e95/s/a/samsung-galaxy-ace-duos-s6802b-nextg-compatible-1.jpg,,
,,Samsung Galaxy Ace Duos S6802B - XT compatible Pink,309,http://www.mobicity.co.nz/samsung-galaxy-ace-duos-s6802b-nextg-compatible.html,Phones,,http://d3lawgetnu3l0g.cloudfront.net/catalog/product/cache/2/image/9df78eab33525d08d6e5fb8d27136e95/s/a/samsung-galaxy-ace-duos-s6802b-nextg-compatible-1.jpg,,
,,Samsung Galaxy Ace Duos S6802B - XT compatible White,309,http://www.mobicity.co.nz/samsung-galaxy-ace-duos-s6802b-nextg-compatible.html,Phones,,http://d3lawgetnu3l0g.cloudfront.net/catalog/product/cache/2/image/9df78eab33525d08d6e5fb8d27136e95/s/a/samsung-galaxy-ace-duos-s6802b-nextg-compatible-1.jpg,,
,,Samsung Galaxy Ace Duos S6802B - XT compatible Yellow,309,http://www.mobicity.co.nz/samsung-galaxy-ace-duos-s6802b-nextg-compatible.html,Phones,,http://d3lawgetnu3l0g.cloudfront.net/catalog/product/cache/2/image/9df78eab33525d08d6e5fb8d27136e95/s/a/samsung-galaxy-ace-duos-s6802b-nextg-compatible-1.jpg,,
