sku,asin,price,quantity
D129250375,B002AF19GM,5.99,2
D129250408,B002AFA7YW,5.99,4
D129250412,B002AF6H82,5.99,3
D129250433,B002AF3C7G,5.99,3
D129250503,B002AF1ADO,5.99,3
D129250504,B002AF1BF6,5.99,2
D129250511,B002AFA8KK,5.99,2
D129250513,B002AFA828,5.99,4
D129250538,B002AF5BZ2,5.99,1
D129250544,B002AF6H32,5.99,3
D129250578,B002AF3CYE,5.99,2
D129250588,B002AF3BZ4,5.99,2
D129250618,B002AF3AL4,5.99,3
D129250619,B002AF6G5Q,5.99,2
D129250620,B002AF3C1C,5.99,2
D129250651,B002AF19EY,5.99,3
D129250653,B002AF5C4C,5.99,2
D129250663,B002AF1BJ2,5.99,3
D129250667,B002AF5CJC,5.99,5
D129250675,B002AFA8NC,5.99,3
D129250681,B002AFA8XM,5.99,2
D129250702,B002AF5B70,5.99,2
D129250707,B002AFA9C2,5.99,2
D129250708,B002AFA9T0,5.99,2
D145008230,B0027J3PIQ,12.75,5
D145008702,B0027IU3LO,12.75,5
D206802000,B005ZCXAQ4,15.5,13
D206802003,B002AFGO7G,11.99,10
D210000005,B005ZD0WZA,5.95,8
D210000910,B003VRE8HK,9.76,8
D210000911,B003VRGFKI,8.25,6
D219300004,B0027IYWVQ,10.99,7
D233300003,B0039ZP300,11.75,11
D329412012,B00BXE75WS,7.75,7
D403010300,B000NM5TC4,5.3,40
D403010400,B000NM76IO,3.6,8
D403020300,B000NM5TEC,10.25,11
D403020400,B000NM5TDS,5.75,12
D403020500,B003LPPSTO,3.9,5
D403040300,B003LPPUOC,6.3,18
D403040400,B003LPPUOW,4.15,25
D403311400,B0027IPQZC,9.25,6
D403311500,B003LPOB9W,5.5,14
D403312300,B003LPVRXA,13.95,4
D403350300,B003LPPT3Y,14.25,3
D403350400,B0027J19TS,8.25,5
D403355300,B003LPVPBE,14.25,5
D403355400,B000NM2YOU,8.25,11
D403401007,B008FL9SJ0,7.5,5
D403600300,B000NM92A4,16.75,4
D403600400,B000NM5SSE,9.95,6
D403600500,B0031SB6CY,4.75,7
D404210400,B0027IPPM6,7.49,7
D404210480,B002AF6VI8,10.5,5
D404211300,B002AFEDJC,13.99,4
D404211400,B0013F39EU,8.8,7
D405010300,B004LVF5PO,6.3,15
D405010400,B001YI32IY,4.15,16
D405010500,B005WUAE18,3.6,7
D405010600,B0037EVP0A,2.75,7
