chain,country,rooms,name,area,price
Independent,Indonesia,"Hotel Rooms: 16","Sea Breeze Candidasa","Mendira Beach, Banjar Mendira, Desa Sengkidu, 80871 Candidasa, Indonesia",
Independent,Indonesia,"Hotel Rooms: 67","Hotel Tjampuhan Spa","Jalan Tjampuhan PO Box 198, Ubud, 80571 Ubud, Indonesia",
Independent,Indonesia,"Hotel Rooms: 318","Discovery Kartika Plaza Hotel","Jl. Kartika Plaza, P.O Box 1012, South Kuta Beach, 80361 Kuta, Indonesia",
"Hotel Chain:
COMO",Indonesia,"Hotel Rooms: 30,","COMO Shambhala Estate","Br Begawan, Desa Melinggih Kelod, , 80571 Payangan, Indonesia",
Independent,Indonesia,"Hotel Rooms: 73","Ubud Wana Resort","Jalan Nyuhbojog, Nyuh Kuning Desa Mas, 80571 Ubud, Indonesia",
Independent,Indonesia,"Hotel Rooms: 11","Barong Resort and Spa","Jl. Monkey Forest, Gianyar, Bali, 80571 Ubud, Indonesia",
Independent,Indonesia,"Hotel Rooms: 10","Amarta Beach Retreat - by Karaniya Experience","Banjar Pasut, Desa Tibubiu, Kerambitan, 82161 Tabanan, Indonesia",
Independent,Indonesia,"Hotel Rooms: 63","The Grand Bali Nusa Dua","ITDC Complex Nusa Dua Lot RA 6, jL. Nusa Dua Selatan No. 8, 80363 Nusa Dua, Indonesia",
Independent,Indonesia,"Hotel Rooms: 15","Ubud Raya Resort","Jalan Raya Sayan, Banjar Sindu, Sayan, 80571 Ubud, Indonesia",
Independent,Indonesia,"Hotel Rooms: 150","White Rose Kuta Resort, Villas & Spa","Legian St - Kuta Bali - Indonesia, 80361 Legian, Indonesia",
Independent,Indonesia,"Hotel Rooms: 16","Manyi Village Ubud","Br. Laplapan, Ubud, 80571 Ubud, Indonesia",
Independent,Indonesia,"Hotel Rooms: 20","Puri Gangga Resort","Desa Sebatu, 80561 Tegalalang, Indonesia",
Independent,Indonesia,"Hotel Rooms: 23","KajaNe Mua at Ubud Bali","Monkey Forrest Road, 80571 Ubud, Indonesia",
Independent,Indonesia,"Hotel Rooms: 53","Ayung Resort Ubud","Desa Melinggih Kelod, Banjar Begawan Payangan, Ubud, Bali, Indonesia, 80572 Payangan, Indonesia",
Independent,Indonesia,"Hotel Rooms: 80","Kuta Puri","Poppies Lane 1, 80361 Kuta, Indonesia",
Independent,Indonesia,"Hotel Rooms: 20","Sankara Ubud Resort","Banjar Kumbuh, Desa Mas , Ubud, Gianyar, 80571 Ubud, Indonesia",
Independent,Indonesia,"Hotel Rooms: 16","Hotel Puri Madawi","Jl. Petitenget Gang Cendrawasi No. 68, 80361 Seminyak, Indonesia",
Independent,Indonesia,"Hotel Rooms: 44","Hanging Gardens of Bali","Desa Buahan, Payangan, 80571 Payangan, Indonesia",
Independent,Indonesia,"Hotel Rooms: 9","Blue Karma","Jalan Raya Seminyak, Gang Bima No.2, 80361 Seminyak, Indonesia",
Independent,Indonesia,"Hotel Rooms: 82","Baleka Resort Hotel & Spa","Jalan Werkudara, Legian, 80361 Legian, Indonesia",
Independent,Indonesia,"Hotel Rooms: 228","Patra Jasa Bali Resort & Villas","Jl. Ir. H Juanda, South Kuta Beach, Tuban, 80361 Kuta, Indonesia",
Independent,Indonesia,"Hotel Rooms: 18","The Nirwana Resort and Spa","Jalan Sengkidu, 80871 Candidasa, Indonesia",
Independent,Indonesia,"Hotel Rooms: 66","The Lovina","Jl. Mas Lovina, Kalibukbuk - Buleleng , 80226 Lovina, Indonesia",
"Hotel Chain:
Alila Hotels & Resorts",Indonesia,"Hotel Rooms: 55,","Alila Manggis","Desa Buitan, Manggis, 80871 Candidasa, Indonesia",
Independent,Indonesia,"Hotel Rooms: 62","Mutiara Bali Boutique Resort & Villa","Jl. Braban No. 77, 80361 Seminyak, Indonesia",
Independent,Indonesia,"Hotel Rooms: 6","Rouge Bali - Lounge Bar, Villas & Spa","Jl. Bisma - Ubud, 80571 Ubud, Indonesia",
"Hotel Chain:
GHM Luxury Hotels",Indonesia,"Hotel Rooms: 20,","The Chedi Club Tanah Gajah, Ubud","Jl. Goa Gajah, Tengkulak Kaja, 80571 Ubud, Indonesia",
Independent,Indonesia,"Hotel Rooms: 24","Pita Maha Resort & Spa","Jalan Sanggingan, 80571 Ubud, Indonesia",
"Hotel Chain:
Aston International Hotels, Resorts & Residences",Indonesia,"Hotel Rooms: 19,","Kamuela Villas and Suite Sanur","Jl. Cemara No. 33 Sanur, 80228 Sanur, Indonesia",
Independent,Indonesia,"Hotel Rooms: 10","Solo Villas & Retreat","Jalan Kajeng, Juwuk Manis, 80571 Ubud, Indonesia",
Independent,Indonesia,"Hotel Rooms: 107","Savvoya Resort Seminyak by Prasanthi","Jalan Mertanadi No. 14, 80361 Seminyak, Indonesia",
Independent,Indonesia,"Hotel Rooms: 25","Viceroy Bali","Jalan Lanyahan, Br. Nagi, 80571  Ubud, Indonesia",
Independent,Indonesia,"Hotel Rooms: 15","The Sungu Resort & Spa","Jalan Raya Penestanan, Bali, 80571 Ubud, Indonesia",
"Hotel Chain:
Peppers Hotels",Indonesia,"Hotel Rooms: 252,","Mantra Sakala Resort & Beach Club","Jalan Pratama 95 Tanjung Benoa, 80363 Nusa Dua, Indonesia",
Independent,Indonesia,"Hotel Rooms: 301","Grand Mirage Resort & Thalasso Bali","Jalan Pratama No. 74, P.O. Box 43, Bali, 80363 Nusa Dua, Indonesia",
Independent,Indonesia,"Hotel Rooms: 26","Arma Museum & Resort","Jl.Raya Pengosekan Ubud ,Bali, 80571 Ubud, Indonesia",
Independent,Indonesia,"Hotel Rooms: 10","Tapa Kawi Villas","Jl. Ir Soekarno,Br. Bukit, Desa Sanding, Kec Tampaksiring, 80522 Tegalalang, Indonesia",
Independent,Indonesia,"Hotel Rooms: 26","Hidden Valley Resort Bali","Jl. Nabor, 29, Pecatu, Uluwatu, 80361 Uluwatu, Indonesia",
Independent,Indonesia,"Hotel Rooms: 11","The Sandi Phala Beach Resort and Ma Joly Restaurant","Jl. Wana Segara, Bali, 80361 Kuta, Indonesia",
Independent,Indonesia,"Hotel Rooms: 26","Kelapa Retreat & Spa","Jalan Ngurah Rai, Pekutatan, 82262 Pulukan, Indonesia",
"Hotel Chain:
W Hotels",Indonesia,"Hotel Rooms: 237,","W Retreat & Spa Bali - Seminyak","Jl. Petitenget, 80361 Seminyak, Indonesia",
Independent,Indonesia,"Hotel Rooms: 4","The Point Resort Lembongan","Tanjung Sanghyang, Lembongan Island, 80114 Lembongan, Indonesia",
Independent,Indonesia,"Hotel Rooms: 48","The Royal Purnama - Art Suites and Villas","Jalan Pantai Purnama, 80582 Ketewel, Indonesia",
