chain,name,country,area,price,rooms
Independent,"Hotel Mirador",Nicaragua,"De la terminal de buses 100m al norte sobre la carretera, 63012 Ocotal, Nicaragua","US$28","Hotel Rooms: 25"
Independent,"Fisher's Cave",Nicaragua,"Brig Bay, next to the Municipal Pier, 82100 Big Corn Island, Nicaragua","US$42","Hotel Rooms: 14"
"Hotel Chain:
Barceló Hotels & Resorts","Barceló Montelimar Beach",Nicaragua,"Playa Montelimar, 01262 Montelimar, Nicaragua","US$234","Hotel Rooms: 293,"
Independent,"Hotel Plaza Cosiguina",Nicaragua,"Esquina de los Bancos 50 MTS al sur - Chinandega., 54321 Chinandega, Nicaragua","US$62","Hotel Rooms: 13"
Independent,"Pacaya Lodge and Spa",Nicaragua,"Comarca Pacaya, 10000 La Laguna, Nicaragua","US$187","Hotel Rooms: 26"
Independent,"Mukul Beach, Golf & Spa",Nicaragua,"Guacalito de la Isla, 00111 El Gigante, Nicaragua","US$643","Hotel Rooms: 37"
Independent,"Hostal Brisas y Olas",Nicaragua,"Parque 1 1/2 al Oeste , 050-088-4 San Juan del Sur, Nicaragua","US$28","Hotel Rooms: 8"
Independent,"Punta Teonoste",Nicaragua,"6km from Salinas Bridge to Tola Rivas, 00884 El Gigante, Nicaragua","US$98","Hotel Rooms: 16"
Independent,"Zopango Island",Nicaragua,"Bahía de Asese, 43000 Isletas de Granada, Nicaragua","US$174","Hotel Rooms: 3"
Independent,"Hotel Mi Bohio",Nicaragua,"Costado este Policía Nacional, Diarimba, 000-000-0 Diriamba, Nicaragua","US$62","Hotel Rooms: 14"
Independent,"Mango Rosa Resort",Nicaragua,"Playa Marsella, 50884 San Juan del Sur, Nicaragua","US$125","Hotel Rooms: 12"
Independent,"Simple Beach Lodge",Nicaragua,"Next to Playa Roca Hotel, 10000 Las Peñitas, Nicaragua","US$33","Hotel Rooms: 3"
Independent,"Macheles Place Hotel",Nicaragua,"Playa Gigante Municipio Tola Departamento de Rivas, 70403 El Gigante, Nicaragua","US$94","Hotel Rooms: 14"
Independent,"Hotel El Sueño de Meme",Nicaragua,"De donde fue la Mercantil, 3 cuadras abajo, 75 varas al norte, 10000 León, Nicaragua","US$64","Hotel Rooms: 12"
Independent,"American Cafe & Hotel",Nicaragua,"Ferry station 1/2 block East (up), Moyogalpa, Nicaragua","US$39","Hotel Rooms: 4"
Independent,"La Jolla de Guasacate",Nicaragua,"2KM west of Bridge, Las Salinas, Tola, Rivas, 48500 Popoyo, Nicaragua","US$150","Hotel Rooms: 11"
Independent,"Casa Hotel Santa Elena",Nicaragua,"Contiguo a Oficinas de INiser, O del Colegio de las Monjas 75 vrs al Norte, Estelí, Nicaragua","US$27","Hotel Rooms: 11"
Independent,"Guesthouse El Nancite",Nicaragua,"de la Iglesia El Calvario, una cuadra y media al norte, León, Nicaragua","US$55","Hotel Rooms: 4"
Independent,"Hotel y Restaurante Ocaso",Nicaragua,"De la iglesia católica una y media al sur Contiguo al mirador, 91000 San Carlos, Nicaragua","US$45","Hotel Rooms: 7"
Independent,"Nicawaves",Nicaragua,"Entrada a Popoyo, 1km al Sur, 29572 Popoyo, Nicaragua","US$35","Hotel Rooms: 12"
Independent,"Hotel Casa Barcelona",Nicaragua,"Puente Palmira 1 cuadra al Este 1 cuadra al Sur 1/2 cuadra al este, 43000 Granada, Nicaragua","US$44","Hotel Rooms: 8"
Independent,"Hotel Los Ranchitos",Nicaragua,"Del Magfor media cuadra al norte, Moyogalpa, Nicaragua","US$35","Hotel Rooms: 5"
Independent,"Hotel Suyapa Beach",Nicaragua,"Las Peñitas Poneloya, 12345 Poneloya, Nicaragua","US$72","Hotel Rooms: 15"
Independent,"Hotel Lomas del Valle",Nicaragua,"Residencial Lomas del Valle. From the East 2 blocks East and 3 blocks North, 151, 10000 Managua, Nicaragua","US$59","Hotel Rooms: 10"
Independent,"Hotel Real Altamira",Nicaragua,"Avenida principal Altamira Deste, de CONICO 1 cuadra arriba (Este) #539, 050-088-4 Managua, Nicaragua","US$63","Hotel Rooms: 24"
Independent,"Hotel de Sonrisas",Nicaragua,"401 Calle El Arsenal, 43000 Granada, Nicaragua","US$34","Hotel Rooms: 7"
Independent,"Hotel Ideas de Mama",Nicaragua,"rotonda santo domingo 5c sur 2 1/2 abajo bo la luz, 63012 Managua, Nicaragua","US$35","Hotel Rooms: 20"
Independent,"Surf Ranch Hotel & Resort",Nicaragua,"Empalme de El Valle, 991.5 m al Este, 48600 San Juan del Sur, Nicaragua","US$49","Hotel Rooms: 40"
Independent,"Hotel Posada del Angel",Nicaragua,"Del Portón principal del hospital Militar 1c. Norte 3 c. Oeste  25 vrs Norte, 11173 Managua, Nicaragua","US$70","Hotel Rooms: 15"
Independent,"Apart Hotel Acuarious de Luis",Nicaragua,"COTRAN Sur 1/2c al norte, 800 mts. al este, 00011 Estelí, Nicaragua","US$90","Hotel Rooms: 11"
Independent,"Toritos",Nicaragua,"la caille calzada, Granada, Nicaragua","US$40","Hotel Rooms: 8"
Independent,"Brisas Hotel",Nicaragua,"Centro Médico Quirúrgico Santa Fe 75 Varas Al Este, Calle Santa Ana, 10000 Matagalpa, Nicaragua","US$56","Hotel Rooms: 15"
Independent,"Hotel Cordoba",Nicaragua,"Calle Atravesada, Contiguo a Ixchen, 00011 Granada, Nicaragua","US$76","Hotel Rooms: 26"
Independent,"Granada Boutique",Nicaragua,"city hall 1/2 blocks east center, Granada, Nicaragua","US$34","Hotel Rooms: 8"
Independent,"Casa Vínculos",Nicaragua,"Del Almacén Sony, 1c. y 1/2 al Oeste, Estelí (Nicaragua), Estelí, Nicaragua","US$51","Hotel Rooms: 7"
Independent,"Hotel Xolotlan Managua",Nicaragua,"Hospital Salud Integral 3c al Oeste, 1c al Norte, 20 vrs al Este., 00011 Managua, Nicaragua","US$59","Hotel Rooms: 18"
Independent,"Laguna Beach Club",Nicaragua,"Laguna de Apoyo, Frente al empalme, 10000 La Laguna, Nicaragua","US$40","Hotel Rooms: 11"
Independent,"Hotel Matagalpa Inn",Nicaragua,"Restaurante Tip Top 30 metros al Norte., 00505 Matagalpa, Nicaragua","US$48","Hotel Rooms: 15"
Independent,"Hotel Roca de la Cumbre",Nicaragua,"De la Biblioteca del Banco Central, 1 1/2 Cuadras al Este, 61000 Matagalpa, Nicaragua","US$41","Hotel Rooms: 14"
Independent,"Hotel Real Destino",Nicaragua,"Calle El Caimito, de la Alcaldia de Granada 2 1/2 Cuadras al Lago, 50884 Granada, Nicaragua","US$81","Hotel Rooms: 6"
Independent,"Casa Lucia",Nicaragua,"Colonial los Robles, de la Funeraria Don Bosco 75 varas arriba casa 3, 3278 Managua, Nicaragua","US$53","Hotel Rooms: 2"
Independent,"Hotel Morgan",Nicaragua,"North End, 82100 Big Corn Island, Nicaragua","US$47","Hotel Rooms: 6"
Independent,"Hotel Pinolero",Nicaragua,"Calle Real Xalteva, Iglesia la Merced 25 vrs al este, 11111 Granada, Nicaragua","US$25","Hotel Rooms: 6"
Independent,"Hotel il Padrino",Nicaragua,"1.5 blocks North from San Francisco Church, in front of Sports Gym, 10000 Granada, Nicaragua","US$44","Hotel Rooms: 9"
Independent,"Hotel Centro Urbano",Nicaragua,"De la iglesia el carmen 1c al norte, 1/2c al oeste, 10000 Managua, Nicaragua","US$47","Hotel Rooms: 11"
Independent,"Hotel Ometepetl",Nicaragua,"Del Puerto de Moyogalpa 70 varas al Este, 48700 Moyogalpa, Nicaragua","US$40","Hotel Rooms: 10"
Independent,"Caballito's Mar",Nicaragua,"De la iglesia catolica(Merida) 50 metros  al norte ,300 metros al lago -Merida -Isla de Ometepe De la iglesia catolica(Merida) 50 metros  al norte ,300 metros al lago -Merida -Isla de Ometepe, Mérida, Nicaragua","US$30","Hotel Rooms: 3"
Independent,"Hotel Libano",Nicaragua,"De la Catedral 1/2 cuadra al norte, 21000 León, Nicaragua","US$43","Hotel Rooms: 12"
Independent,"Hotel Casa Celebertti",Nicaragua,"Calle de Los Bancos, contiguo al MINSA, 13642 Matagalpa, Nicaragua","US$74","Hotel Rooms: 12"
Independent,"Hotel y Restaurante la Casona",Nicaragua,"Catedral San Juan 1 1/2 cuadra al norte, contiguo al BAC jinotega, Jinotega, Nicaragua","US$59","Hotel Rooms: 4"
Independent,"Meson Nadi",Nicaragua,"Del cementerio 200 VRS al norte,1.5 km al oeste, Meson Nadi, Playa Santana, Popoyo, Nicaragua","US$164","Hotel Rooms: 6"
Independent,"Hotel Montserrat",Nicaragua,"Residencial Bolonia, Optica Vision 1c abajo, media al lago, Managua, Nicaragua","US$50","Hotel Rooms: 13"
Independent,"Hotel Maderas Inn",Nicaragua,"Calle Central Cuerpo de Bomberos 2 Al Sur., 1000 Masaya, Nicaragua","US$23","Hotel Rooms: 12"
Independent,"Hotel Los Arcangeles",Nicaragua,"Bo Central Costado Este de Catedral, Juigalpa, Nicaragua","US$58","Hotel Rooms: 16"
Independent,"Hotel Finca El Chipote",Nicaragua,"Altagracia, 000-000-0 Altagracia, Nicaragua","US$70","Hotel Rooms: 6"
Independent,"Bomalu",Nicaragua,"Desde el cruce Peñitas - Poneloya 900 metros al sur, 10000 Las Peñitas, Nicaragua","US$29","Hotel Rooms: 7"
Independent,"Hotel Ivania´s",Nicaragua,"Calle el Calvario 3 1/2 c al oeste, 000-000-0 Masaya, Nicaragua","US$53","Hotel Rooms: 17"
Independent,"Hotel Morgut",Nicaragua,"De Plaza Inter, 1c al oeste, 00011 Managua, Nicaragua","US$53","Hotel Rooms: 14"
Independent,"Hotel Hex Estelí",Nicaragua,"Km 149 Carretera Panamericana, 050-088-4 Estelí, Nicaragua","US$82","Hotel Rooms: 49"
Independent,"Hotel Don Vito",Nicaragua,"PARQUE INFANTIL 1 1/2 CUADRA AL ESTE, 10000 Estelí, Nicaragua","US$66","Hotel Rooms: 36"
Independent,"Hotel Antigua Estación Granada",Nicaragua,"Frente al parque de los poetas, 43000 Granada, Nicaragua","US$57","Hotel Rooms: 11"
Independent,"Hotel Dulce Hogar & Spa",Nicaragua,"Avenida Principal Altamira, 449 Contiguo Pintura Sur ,Del BDF 1/2 cuadra al Sur, 00505 Managua, Nicaragua","US$50","Hotel Rooms: 8"
Independent,"Sunrise Hotel",Nicaragua,"Via principal, 82100 Big Corn Island, Nicaragua","US$47","Hotel Rooms: 15"
Independent,"El Coco Azul",Nicaragua,"Avenida del Parque, 48600 San Juan del Sur, Nicaragua","US$47","Hotel Rooms: 6"
Independent,"Hotel Los Balcones Leon",Nicaragua,"De la esquina de los bancos 1c al este, 10000 León, Nicaragua","US$64","Hotel Rooms: 20"
Independent,"Hotel El Internacional",Nicaragua,"Calle La Islita (2 blocks south and half a block east of the La Colonia supermarket), 050-088-4 Granada, Nicaragua","US$34","Hotel Rooms: 5"
Independent,"Hotel Colibri",Nicaragua,"Colonial Los Robles, de Funeraria Monte de Los Olivos 1c norte y 1 1/2 c Oeste, #9, Managua 505, , 000-000-0 Managua, Nicaragua","US$52","Hotel Rooms: 10"
Independent,"The Surfing Donkey - Deluxe",Nicaragua,"Calle La Calzada casa #424, Del Parque Central 3 1/2 cuadras al lago, frente el Colegio Carlos A. Bravos, 43000 Granada, Nicaragua","US$43","Hotel Rooms: 9"
Independent,"Hotel Hamacas",Nicaragua,"Del Muelle San Jorge 100 metros Oeste 25 metros Sur, 050-088-4 San Jorge, Nicaragua","US$39","Hotel Rooms: 18"
Independent,"Hotel Vanderbilt",Nicaragua,"Iglesia El Carmen 100 metros al Norte 50 metros al Oeste, Managua, Nicaragua","US$48","Hotel Rooms: 12"
Independent,"Hotel Kekoldi de Granada",Nicaragua,"Calle Consulado No. 315, 050-088-4 Granada, Nicaragua","US$59","Hotel Rooms: 12"
Independent,"Hotel Los Balcones de Chinandega",Nicaragua,"1 Avenida Este, entre Calle Central y 1 Calle Norte, 56565 Chinandega, Nicaragua","US$62","Hotel Rooms: 18"
Independent,"Hotel Casa De Angeles",Nicaragua,"80 Los Robles Del Registro Central De Las Personas 1 Cuadra Al Este 1/2 Al Sur, 31 calle sureste, 14006 Managua, Nicaragua","US$29","Hotel Rooms: 6"
Independent,"Altos de Fontana",Nicaragua,"15 Avenida Sureste,  500 m. al sur de Villa Fontana del Club Terraza, Managua, Nicaragua","US$123","Hotel Rooms: 15"
Independent,"Executive Managua",Nicaragua,"De la Policinica Nicaraguense 50 vrs. al Oeste, a un costado de las Pipitos, Bolonia, 00011 Managua, Nicaragua","US$76","Hotel Rooms: 15"
Independent,"Hotel El Familiar Granada",Nicaragua,"Parque Central 100 mts al Este, 100 mts al Sur, 50 mts al este Centro Histórico Granada Calle Morazán, 43000 Granada, Nicaragua","US$34","Hotel Rooms: 10"
Independent,"Hotel Ola Verde",Nicaragua,"carretera de guasacate, 00131 Popoyo, Nicaragua","US$31","Hotel Rooms: 8"
Independent,"Hotel La Polvora",Nicaragua,"Hotel La Polvora , 627 Calle La Loquera, Granada, Nicaragua","US$64","Hotel Rooms: 7"
