street,name,country,chain,area,price,rooms
Jl.Raya Buitan,Abalone Resort,Indonesia,,Manggis,51USD,
Petitenget No 19,Ibis Styles Bali Petitenget Opening February 2016,Indonesia,,Seminyak,41USD,
Banjar Carik Desa Puhu,Padma Resort Ubud,Indonesia,,Payangan,200USD,
Jl. Mahendradatta No. 81,Nirmala Hotel & Convention Centre Bali,Indonesia,,Denpasar,19USD,
Jl. Ngurah Rai No. 107,Hardys Hotel Wirapada,Indonesia,,Negara,15USD,
Jalan Ir Soekarno Banjar Bukit Desa Sanding Tampak Siring,Tapi Kawi Villas,Indonesia,,Manukaya,54USD,
Jl Lungsiakan Gang Aditya Laundry Lungsiakan Kedewatan,Panorama Ubud Private Villa,Indonesia,,Ubud,66USD,
Jalan Raya Br Semer Kerobokan Kuta,Hapel Semer Hotel Bali,Indonesia,,Kerobokan,19USD,
Jalan Gunung Salak K9/12-Denpasar Barat,The Salak Hotel,Indonesia,,Kerobokan,20USD,
Jl Poppies I No 31,Pesona Beach Inn,Indonesia,,Kuta,10USD,
Jl Darma Wangsa Melati St No 71,Villa DK - Bali,Indonesia,,Jimbaran,105USD,
"Jl. Labuan Sait, Padang - padang",The Eyes Villas,Indonesia,,Pecatu,39USD,
Jalan. Dewi Sri 1 No.3,Kampung Cenik,Indonesia,,Legian,17USD,
Jalan Raya Baturiti Br Pacung Desa Baturiti Kecamatan Baturiti Tabanan,Saranam Eco Resort Bali,Indonesia,,Baturiti,94USD,
D'kubu Legian Street 363 Legian Kelod,D'Kubu Legian Hotel,Indonesia,,Legian,59USD,
Jl Tegal Asri No 07 Banjar Tegal Gundul Pantai Berawa,D'Wina Villa Canggu,Indonesia,,Canggu,108USD,
Jalan By Pass Ngurah Rai Road No. 524 Sanur Denpasar,Diary Hotel Bali,Indonesia,,Sanur,24USD,
Jl. Danau Buyan no. 33,Indi Hotel,Indonesia,,Sanur,15USD,
"Jalan Batur Raya Nuansa Kori, Taman Griya",Bali Mega Hotel,Indonesia,,Jimbaran,18USD,
"Jalan Raya Lipah, Bunutan",Alung Shop and Bungalow,Indonesia,,Bunutan,19USD,
"Dusun Palasari, Desa Pemuteran. Kecamatan Gerokgak",Taruna Homestay Pemuteran,Indonesia,,Pemuteran,31USD,
"Banjar Dukuh, Desa Sudaji, Kecamatan Sawan",Omunity Bali,Indonesia,,Sudaji,49USD,
Jl. Legian no.358A,Monostel Hostel,Indonesia,,Legian,7USD,
Jalan I Ketut Natih Amed,Classic Beach Villas,Indonesia,,Amed,26USD,
Jl. Duyung No. 27 ,Duyung Homestay,Indonesia,,Sanur,23USD,
"Jl. Bumbak, Gg Kerta Rahayu No 9",Umasribali Residence,Indonesia,,Kerobokan,24USD,
"Jl. Pantai Suluban, Pecatu ",Ketty Homestay,Indonesia,,Uluwatu,52USD,
Jl Pulau Kawe No 40,Cozy Stay Simpang Enam,Indonesia,,Denpasar,18USD,
"Jl. Jendral Sudirman, Seririt",Gran Surya Hotel,Indonesia,,Banjar,46USD,
Jl Umpeng Sari,Hakuna Matata Bali Villas,Indonesia,,Uluwatu,187USD,
Jalan Raya Kedewatan Sayan Village,Kamajaya Villas Bali,Indonesia,,Ubud,99USD,
Jalan Umeanyar No. 3,Villa Mayo Bali,Indonesia,,Umeanyar,50USD,
"Desa Manggis, Karangasem",Puri Bagus Manggis Hotel Bali,Indonesia,,Manggis,63USD,
Sumampan Village,Semampan Village Guesthouse,Indonesia,,Ubud,16USD,
Jalan By Pas Ngurah Rai No 99x,Maxi Hotel Kedonganan,Indonesia,,Jimbaran,16USD,
Jln Teleng No.59X Br. Cengkok - Baha,The Citta Villas Badung,Indonesia,,Baha,32USD,
Jl. Monkey Forrest Gang Arjuna ,Sadru House,Indonesia,,Ubud,17USD,
Jl Tukad Baru Timur Pemogan,Sylvia Bali Suite Residence,Indonesia,,Denpasar,18USD,
"Jalan Kediri, GG Sekar Sari, Tuban",Rumahku,Indonesia,,Kuta,15USD,
Jl. Pasar Sindu II No. 2,Sadana Bali Guesthouse,Indonesia,,Sanur,22USD,
Jl. Gatot Subroto No. 339,Indah Residence Hotel,Indonesia,,Denpasar,17USD,
Jalan Pantai Balangan,Coconuts Hummingbird,Indonesia,,Jimbaran,63USD,
Jl Subak Sok Wayah Next to Restu Spa,Shriman Yoga Bungalows,Indonesia,,Ubud,19USD,
Canggu Street,Canggu Breeze Hotel,Indonesia,,Buwit,19USD,
Jln nyuh kuning mas,Loka Pala Villa,Indonesia,,Ubud,45USD,
Jl Raya Legian,Kamini Hotel Legian,Indonesia,,Kuta,21USD,
"Jalan Pratama No. 101, Nusa Dua",Princess Benoa Beach Resort,Indonesia,,Tanjung Benoa,109USD,
Jln. Gatot Subroto Barat no. 459C ,Puri Saron Hotel Denpasar Bali,Indonesia,,Denpasar,20USD,
Jl I Ketut Natih Amed Purwakerti,Amed Sari Beach Guesthouse,Indonesia,,Amed,14USD,
Jl Karang Mas Sejahtera,Apartments at AYANA Residences,Indonesia,,Jimbaran,243USD,
Kajeng no 13,Padma Retreat Ubud,Indonesia,,Ubud,32USD,
"Jl. Raya Mas, Gianyar",Puri Rasa Villas and Resort,Indonesia,,Ubud,45USD,
Jl Raya ,Arya Hotel & Spa,Indonesia,,Kuta,18USD,
"Jalan Bimasena, Br. Anyar",Scala Bed and Beyond,Indonesia,,Kerobokan,29USD,
168 Teuku Umar Street,Hotel Puri Royan,Indonesia,,Denpasar,11USD,
Jl. Nusa Indah No. 88 Br. Manyar - Ketewel ,Suarti Resort Villas & Gallery,Indonesia,,Ketewel,211USD,
Jalan Uluwatu 103 X,Puri Tamu Hotel,Indonesia,,Jimbaran,18USD,
Jl Prof Dr Iga Bagus Mantra No 9,Rumah Luwih Beach Resort and Spa Bali,Indonesia,,Gianyar,97USD,
"Objek Wisata,Pantai Rening Baluk",Hotel HaPel Beach Resort,Indonesia,,Negara,19USD,
Jalan Pasar Sindu Gg 4 No 2 Sanur,Double N Guesthouse,Indonesia,,Sanur,17USD,
Jalan Raya Nyuh Kuning Pengosekan,Suarti Boutique Village,Indonesia,,Ubud,134USD,
Jalan Raya Kelabang Moding,Inang Ubud Villa,Indonesia,,Ubud,39USD,
