street,name,country,chain,area,price,rooms
Jalan Pratama No 68A Tanjung Benoa,The Oasis Beach,Indonesia,,Tanjung Benoa,0,
Jl. Denpasar Kintamani km 38 no. 198,Raffles Holiday Hotel Bali,Indonesia,,Payangan,0,
Jalan Raya Labuansait No 10 Suluban,Ashana Hotel,Indonesia,,Uluwatu,0,
Pemuteran Gerokgak Singaraja,Pondok Sari Beach Bungalow Resort Bali,Indonesia,,Pemuteran,0,
Jalan Raya Amlapura Singaraja,Bali Dive Resort and Spa,Indonesia,,Tulamben,0,
Jalan Silayukti 6,OK Divers Resort & Spa,Indonesia,,Padangbai,0,
Jalan Sida Karya Desa Kubu Karangasem,Kubu Indah Dive and Spa Resort,Indonesia,,Kubu,0,
"Jalan Legian, Gang Poppies II",Gora Beach Inn,Indonesia,,Kuta,0,
"Puri Bukit Sari
1 Penestanan Rd
Penestanan Ubud ",Ubud ArtVilla,Indonesia,,Ubud,0,
Candidasa Street,Alam Asmara Dive Resort,Indonesia,,Candi Dasa,0,
"Dusun Biyahanwanagiri ,Bali",Sarinbuana Eco Lodge,Indonesia,,Wanagiri,0,
Jalan Dalem Tarukan No 7 Taman Mumbul,Goodway Hotel Bali,Indonesia,,Nusa Dua,0,
Jalan Raya Kedewatan ,Amandari Bali,Indonesia,,Ubud,0,
Jalan Pura Ulun Carik No 7,Temuku Villas Ubud,Indonesia,,Ubud,0,
JL. Jenggala (Ex. Wana Segara),Taman Beach Resort Bali,Indonesia,,Denpasar,0,
Jl. Bypass Ngurah Rai No.1001X,Horison Hotel Nusa Dua,Indonesia,,Nusa Dua,0,
Sriwedari St No 11 B,Dwaraka The Royal Villas,Indonesia,,Ubud,0,
Jalan Bisma,Bije Suite Bisma Ubud,Indonesia,,Ubud,0,
"Padma Utara 100x, Kuta",Jeje Resort Bali,Indonesia,,Legian,0,
Poppies Lane I,Bali Diva Hotel,Indonesia,,Kuta,0,
West Bali National Park Singaraja,Waka Shorea Resort,Indonesia,,Sumber Klampok,0,
"Po Box. 130 Amlapura , Raya Candidasa Street",The Rishi Resort,Indonesia,,Candi Dasa,0,
Jalan Raya Sayan Ubud Gianyar,Sayan Terrace Resort Bali,Indonesia,,Ubud,0,
"Jl Pantai Purnama 42
Sukawati, Bali, Indonesia ",Bali Floating Leaf Eco-Retreat,Indonesia,,Saba Bai,0,
"Jalan Pantai Pererenan, Banjar Pengembungan ",RedDoor Bali Villa,Indonesia,,Canggu,0,
Jalan Pancasari,Bali Handara,Indonesia,,Pancasari,0,
Uluwatu ,Royal Bali Beach Club Resort,Indonesia,,Jimbaran,0,
"Banjar Alas Tunggal, Duda",Great Mountain Views Villa Resort,Indonesia,,Sidemen,0,
Jl. Puri Grenceng No. 1,Taman Tirta Ayu Pool & Mansion Bali,Indonesia,,Kuta,0,
Jalan Danau Tamblingan no. 146,Taman Agung Hotel,Indonesia,,Sanur,0,
"Jalan Kubu, Karangasem ,Bali",Siddhartha Ocean Front Resort & Spa Kubu,Indonesia,,Kubu,0,
Jalan Bisma,Goya Boutique Resort,Indonesia,,Ubud,0,
Jl. Silayukti No. 99 ,Topi Inn,Indonesia,,Padangbai,0,
Sendang Pasir 43,Bali Oase Resort,Indonesia,,Pemuteran,0,
Kubu Singaraja highway km 9,Bali Spark Resort Dive & Spa,Indonesia,,Tulamben,0,
Jungut Batu Lembongan,Pemedal Beach Bungalow,Indonesia,,Nusa Lembongan,0,
Jalan Raya Sanggingan Ubud PO Box 3,Ulun Ubud Resort & Spa,Indonesia,,Ubud,0,
Jl Sriwedari no 5 Br Tegallantang,Gaia Retreat Center,Indonesia,,Ubud,0,
Sambirenteng Singaraja,Alamanda Dive & Spa Resort,Indonesia,,Bondalem,0,
"Jalan Tirta Tawar, Junjungan",Om Ham Retreat Ubud,Indonesia,,Ubud,0,
"Jl. Kajeng, Juwuk Manis",Luxe Villas Bali,Indonesia,,Ubud,0,
"Jl. Tukad Punggawa No.123, Pulau Serangan",Paras Paros Marina Lodge,Indonesia,,Denpasar,0,
JL. Kalibukbuk,Ray Beach Inn Hotel,Indonesia,,Lovina,0,
"Jl. Pantai Sentosa, Gang Echo",Villa Echo Beach,Indonesia,,Canggu,0,
By Pass NGurah Rai no. 198,Sanur Avenue,Indonesia,,Denpasar,0,
Jl Lebak Bene,Amaris Hotel Lebak Bene,Indonesia,,Legian,0,
"Desa Banjar Kubu, Kec. Kubu, Karangasem",Tauch Terminal Resort Tulamben,Indonesia,,Tulamben,0,
"Pemuteran Beach, Gerokgak",Aneka Bagus Resort & Spa Bali,Indonesia,,Pemuteran,0,
"Jalan Bumi Ayu, Gang V No. 88",Bali Life Villa at Bumi Ayu,Indonesia,,Sanur,0,
Jalan I Ketut Natih,Pakel's Bali Villas,Indonesia,,Amed,0,
"Desa Tukad Dabu, Tulamben Kubu",Scuba Seraya Resort,Indonesia,,Tulamben,0,
"Jalan Pratama, Tanjung Benoa",Bali Reef Resort,Indonesia,,Tanjung Benoa,0,
"Jl. Sriwedari, Desa Tegalantang",Gitamaha Ubud Hotel,Indonesia,,Ubud,0,
Jalan Kayu Jati Gang Sri Darma No 9,Casa Kayu Aya,Indonesia,,Seminyak,0,
Jl Labuan Sait Padang-Padang,The Brothers,Indonesia,,Jimbaran,0,
"Jalan Lebak Sari 10, Gang Casa Bali, Petitenget, Seminyak, Bali",Green Chaka Eden,Indonesia,,Seminyak,0,
Jalan Shri Laksmi No. 27,D'sri Saren Villas & Residence,Indonesia,,Legian,0,
Jl. Pantai Kuta gg Benesari,Hotel Lusa at Kuta Beach,Indonesia,,Kuta,0,
Jalan. Gunung Semeru No. 3,Pulau Bali Hotel,Indonesia,,Denpasar,0,
Jalan Umalas 1,Z ReZidence,Indonesia,,Kerobokan,0,
"Jalan Pantai Berawa, Gang Family No.1, Banjar Berawa",Brekele Berawa Beach House,Indonesia,,Canggu,0,
Toya Bungkah,Puri Bening Hayato Hotel,Indonesia,,Toya Bungkah,0,
"Jl. Monkey Forest, Beji Lane, No. 31",Eustace Place,Indonesia,,Ubud,0,
"Desa. Sambangan, Sukasada",Shanti Natural Panorama,Indonesia,,Singaraja,0,
"Jalan Bisma, Ubud",Samhita Garden,Indonesia,,Ubud,0,
"Bondalem, Singaraja",Bali Au Naturel,Indonesia,,Bondalem,0,
Jalan Pantai Suluban,The Gong,Indonesia,,Uluwatu,0,
Jalan Desa Cepaka Banjar Batanduren,Villa The Sanctuary Bali,Indonesia,,Buwit,0,
"Dusun Tegal Sumaga, Tejakula",Gaia Oasis Beach Resort,Indonesia,,Bondalem,0,
Jl. Raya Singakerta Nyuh Kuning,Labak River Hotel,Indonesia,,Ubud,0,
Jalan Raya Nyuh Kuning No. 9,Bali Suksma Villa Nyuh Kuning,Indonesia,,Ubud,0,
"Jalan Kartika Plaza, Gang Melati",Anucara Hotel,Indonesia,,Kuta,0,
Jalan Camplung Tanduk ,Dhyana Pura Beach Resort,Indonesia,,Seminyak,0,
Jalan Danau Tamblingan NAº 130 / 152,Ramayana,Indonesia,,Sanur,0,
Jl Penestanan,Melati Cottages,Indonesia,,Ubud,0,
Jalan Segara Pantai,Cili Emas Oceanside Resort,Indonesia,,Bondalem,0,
"Jl Batu Mejan, Echobeach",Ecosfera,Indonesia,,Canggu,0,
Jalan Pantai Kuta PO Box 2010,Aneka Beach Hotel,Indonesia,,Kuta,0,
Jl. Teuku Umar No. 175 - 179,Fave Hotel Denpasar,Indonesia,,Denpasar,0,
Jalan Raya Sakti Sakti,Coco Resort Penida,Indonesia,,Nusa Penida,0,
"Jl. Pasekan Br. Tubuh No. 29B, Desa Batubulan",The Swaha Hotel Bali,Indonesia,,Denpasar,0,
Banjar Sapat Tegallalang,Tejaprana Resort & Spa,Indonesia,,Ubud,0,
Jalan Puskesmas,Relax Bali,Indonesia,,Kubu,0,
Jalan Sandat 38 ,The White Villas Ubud,Indonesia,,Ubud,0,
"Jalan Sahadewa Pantai Rening, Desa Cupel",Bali Sunset Hotel,Indonesia,,Baluk,0,
Jl. Dewi Sartika No. 2A,Pondok 2A,Indonesia,,Kuta,0,
Jalan Danau Tamblingan 72,The Ugly Duckling Hotel,Indonesia,,Sanur,0,
"Jl.Hang Tuah No.49, Sanur",Alit's Beach Bungalow Hotel,Indonesia,,Sanur,0,
Jemeluk,Kusuma-Jaya-Indah Resort,Indonesia,,Amed,0,
Banjar Ubud Kaja,Mulawarman Guest House,Indonesia,,Ubud,0,
"Gang Melati No 1, Jalan Kartika Plaza",Melati View Hotel,Indonesia,,Kuta,0,
Jl. Werkudara No. 515,Bali Village Bagak Hotel,Indonesia,,Legian,0,
Jl Dewi Sri Gg Pararaton Utama ,Samudra Kuta Bali Hotel,Indonesia,,Legian,0,
Jalan Cendrawasih No 8 Petitenget,The Visala Boutique Hotel,Indonesia,,Seminyak,0,
Jalan Mertasari 31x,3v Kerobokan Villa,Indonesia,,Kerobokan,0,
Jln. Pantai Balian Br. Pengasahan Desa Lalang Linggah,Balian Paradise Resort,Indonesia,,Antasari,0,
Jalan Pura Pengulapan No. 9,Casa Di Ungasan Suite and Residence,Indonesia,,Ungasan,0,
"Poppies Lane 2, Gg. Gora - Kuta",Warung Coco Poppies 2,Indonesia,,Kuta,0,
Jl. Jalan Braban 62/100,The Bali V Hotel & Villa Seminyak,Indonesia,,Seminyak,0,
"Jl. Dewi Sri 99, Gang Cendana 5",Tanjung Lima Villa,Indonesia,,Legian,0,
Jalan Penestanan Kelod,The Shift Hotel,Indonesia,,Ubud,0,
"Dusun Peken, Desa Pancasari",Care Resort Bali,Indonesia,,Pancasari,0,
Jalan Pratama 66 Tanjung Benoa ,Suites Hotel Bali Royal,Indonesia,,Tanjung Benoa,0,
Jl. Pantai Suluban,Puri Segara Village,Indonesia,,Uluwatu,0,
"Banjar Kedisan, Batur, Kintamani",Batur Lakeside Hut,Indonesia,,Kubupenlokan,0,
Jalan Legian No. 41,Paradiso Beach Inn,Indonesia,,Kuta,0,
Jl. Seririt Singaraja Desa Tukud Mungga,Bali Grand Sunsets Resort & Spa,Indonesia,,Lovina,0,
Jl. Wenara Wana ,Citrus Tree Villas - Pering,Indonesia,,Ubud,0,
Jalan petitenget 41 ,Green Chaka Paradise Villa,Indonesia,,Seminyak,0,
Uluwatu Street Gigit Sari Alley ,The Shaba Hotel Bali,Indonesia,,Jimbaran,0,
Banjar Kebon,Abing Terrace,Indonesia,,Ubud,0,
Jl. Nelayan Gang Si Putih,Villa Echo Padi,Indonesia,,Canggu,0,
Jl. Pantai Kuta no. 40,Puri Asih Hotel,Indonesia,,Kuta,0,
"Banjar Kuhum, Ababi",Kubu Carik Bali,Indonesia,,Ababi,0,
Jalan Sukma No 6 Br Tebesaya Peliatan,Tebesaya Home Stay,Indonesia,,Ubud,0,
"Jl. Persada No. 38, Teuku Umar Barat",The Maha Seminyak,Indonesia,,Seminyak,0,
Pratama,Peninsula Beach Resort Bali,Indonesia,,Tanjung Benoa,0,
Jalan Blue Corner,Blue Corner Dive,Indonesia,,Nusa Lembongan,0,
"Jl. Teuku Umar, Gang Sesapi No 2 & 3 ",Hotel Grand Pondok Puri Ayu,Indonesia,,Denpasar,0,
Jalan Pantai Balangan,Willy Homestay,Indonesia,,Jimbaran,0,
Jl. Poppies I,LA Hotel Bali,Indonesia,,Kuta,0,
Jl. Oberoi No. 117x,Rumah Dua Tiga Hotel,Indonesia,,Seminyak,0,
Jalan Legian 139 Kuta,Mastapa Garden Hotel,Indonesia,,Kuta,0,
Lovina Beach - Kalibukbuk,Nirwana Sea Side Cottages,Indonesia,,Lovina,0,
"Jl. Pangkung Sari, Off Jalan Oberoi, Seminyak, Petitenget",Sunset Terrace Apartments Bali,Indonesia,,Seminyak,0,
Jalan Monkey Forest Road,Graha Resort Bali,Indonesia,,Ubud,0,
Jl.Yos Sudarso No. 4,Hotel Ratu,Indonesia,,Denpasar,0,
Jalan Teuku Umar Barat No. 234,BPC City Hotel Bali,Indonesia,,Denpasar,0,
Jalan Werkudara Gg Arjuna 7b,Villa Naga Maya,Indonesia,,Legian,0,
Jl. Pantai Batu Bolong 8b ,Canggu Stay,Indonesia,,Canggu,0,
Jalan Mahendradata No 107,Koi Hotel and Residence,Indonesia,,Denpasar,0,
"Jalan Raya Singaraja-Anturan, Lovina",Hotel Celuk Agung Bali,Indonesia,,Lovina,0,
Jalan Melasti Lebak Bene Kuta,Bali Matahari Hotel,Indonesia,,Legian,0,
"Jl. Pantai Suluban No. 313, Pecatu, Kuta Selatan",Rocky Bungalows,Indonesia,,Uluwatu,0,
 Complex Btdc Lot Nw 2&3 Nusa Dua,Centara Grand Nusa Dua Resort & Villas,Indonesia,,Nusa Dua,0,
Jalan Goutama #6,Darta Home Stay,Indonesia,,Ubud,0,
Jalan Hos Cokroaminoto,Mahajaya Tower Hotel & Restaurant,Indonesia,,Denpasar,0,
Griya Anyar Street No 27,Bayt Kaboki Hotel,Indonesia,,Kuta,0,
"Desa Madangan, Petak",Puri Saron Hotel Madangan,Indonesia,,Petak,0,
Jalan Pamelisan Agung Gang Purwani No.2,Villa Elanora Hotel Bali,Indonesia,,Canggu,0,
Kartika Plasa Gang Pendawa No. 3 ,Hotel Pendawa Gapura,Indonesia,,Kuta,0,
"Banjar Kedisan Kaja, Kedisan,Tegallalang,Gianyar",Villa Kemuning,Indonesia,,Manukaya,0,
Jl Denpasar - Kintamani Km 38 No 198 ,Ubud Hideaway,Indonesia,,Payangan,0,
"Jl. Pucuk 1 No 67, Br. Tangtu",Sanctuario Luxury Hotel & Spa,Indonesia,,Denpasar,0,
Jalan Bandara Ngurah Rai Baru No 1 Tuban 80361 Bali Indonesia,RedDoorz @ Ngurah Rai Airport,Indonesia,,Tuban,0,
Jalan Raya Canggu No 100X,Litus Rinaya Canggu,Indonesia,,Canggu,0,
"Jalan Raya Seminyak Gang Taman Sari , Seminyak",DelMango Villa Estate,Indonesia,,Seminyak,0,
Jl. Raya Tuban Gang Nyangnyang Sari No. 8,Cityzen Kuta Hotel,Indonesia,,Kuta,0,
Jalan Padang Tawang I Gang III No 3,Unagi Villas,Indonesia,,Canggu,0,
Jalan ,Shanti Loka Resort,Indonesia,,Umeanyar,0,
Kartika Plaza Street 7A Puspa Ayu Lane Kuta B,Pendawa Hotel Bali,Indonesia,,Kuta,0,
Jalan Udayana ,Jati Hotel,Indonesia,,Negara,0,
Taman Mumbul,Villa Waru,Indonesia,,Nusa Dua,0,
"Jl. Danau Tamblingan No. 100, Gang Keke No. 3",Jepun Bali Homestay Sanur,Indonesia,,Sanur,0,
Jalan Tukad Balian No 99 Sanur,The Palm Suite Villa & Spa Bali,Indonesia,,Denpasar,0,
Jl.Raya ,Taxa Hotel,Indonesia,,Kuta,0,
Jalan Raya Seminyak No.2,Rima's Cottages @ The Jaya Pub Bali,Indonesia,,Seminyak,0,
"Jl. Kedewatan, Batukurung Lane no 18 ",Villa Batu Kurung Bali,Indonesia,,Ubud,0,
Jalan Cok Rai Pudak Peliatan,Friendly House Bali - Hostel,Indonesia,,Ubud,0,
Candikuning,Enjung Beji Resort Bali,Indonesia,,Bedugul,0,
Jalan Pratama 99,Meads Boutique Villa's Hotel,Indonesia,,Tanjung Benoa,0,
Jalan Sugriwa No 16 Padang Tegal,Gatra Ubud Inn,Indonesia,,Ubud,0,
Jalan Werkudara ,Private Apartment @Jayakarta Bali,Indonesia,,Legian,0,
Kawasan Wisata Lot S-5,Bali National Golf Villas,Indonesia,,Nusa Dua,0,
"Jl. Raya Sidemen, Br. Tebola",Uma Ayu Tepi Sungai Guest House,Indonesia,,Sidemen,0,
"Taman Wisata Tanah Lot, Kediri, Tabanan",Dewi Sinta Hotel and Restaurant,Indonesia,,Tabanan,0,
"Jalan Batumejan Canggu beach, Kuta Utara, Badung ",Villa Tepi Kali,Indonesia,,Canggu,0,
"Jl. Raya Ubud, Abangan ",Sadguna Homestay,Indonesia,,Ubud,0,
Jl. Sri Wedari km 3,Anand Ashram Ubud,Indonesia,,Ubud,0,
Jemeluk Beach,Blue Star Bungalows Amed,Indonesia,,Amed,0,
"Jalan Raya Lovina, Lovina Beach",Bali Taman Resort & Spa,Indonesia,,Lovina,0,
"Banjar batumelawang, Ceningan Kawan ",Twilight Hut Lembongan,Indonesia,,Nusa Ceningan,0,
Jalan Dewi Sri No 78,Miki Hotel Bali,Indonesia,,Legian,0,
"Jalan Pantai Berawa no.06 Pelambingan, Canggu - Tibubeneng, North of Kuta",Filadelfia Bali Guest House,Indonesia,,Canggu,0,
"Jln. Klecung 14, Umalas 2",Moon Villas,Indonesia,,Kerobokan,0,
Jl. Dewi Sri IV No. 60x,Casamia Bali,Indonesia,,Legian,0,
Jl Mertasari No 8,M & D House Seminyak aEU Bali,Indonesia,,Seminyak,0,
Jl. Nakula No 18 Seminyak,Vila Rumah Manis,Indonesia,,Legian,0,
"Jl.Kesari No.2A, Sanur, Bali-Indonesia 80228",Kesari Rooms,Indonesia,,Sanur,0,
Jalan Poppies II Gang Dewi,Surfaris Inn Kuta,Indonesia,,Kuta,0,
Wana Segara 21 Kuta Tuban,Bedrock Hotel,Indonesia,,Kuta,0,
Jalan Raya Seminyak 25 Basangkasa,Puri Puri Kecil Seminyak Hotel,Indonesia,,Seminyak,0,
"Jl. Tirta Tawar, Kutuh, Ubud",Uma Kutuh Bungalow Ubud,Indonesia,,Ubud,0,
"Jl.Pantai Gumicik, Jl.Segara Ayu, Gg.Melati, No11",Villa Beachside,Indonesia,,Ketewel,0,
Jalan Kartika Plaza Gang Samudra 101 Tuban Kuta 80361 Bali Indonesia,RedDoorz near Pantai Jerman,Indonesia,,Kuta,0,
Jungut Batu Beach - Lembongan,Mandara Beach Bungalows,Indonesia,,Nusa Lembongan,0,
Jalan Pantai Brawa,Bali Lighthouse Villa,Indonesia,,Canggu,0,
Hayam Wuruk Street,Oranjje Hotel,Indonesia,,Denpasar,0,
"Jl. Raya Tebongkang, Gang Cendana No. 88 ",Villa Mandi Private Pool,Indonesia,,Ubud,0,
Jalan Gootama No. 20 Ubud,Citrus Tree Villas - Kunyit,Indonesia,,Ubud,0,
"Jalan Raya Amed, Amed Beach",Kadek Homestay Amed,Indonesia,,Amed,0,
"Jalan Wayan Gebyag 16,Dalung,Kuta Utara, Badung-Bali",The Paica Hotel,Indonesia,,Denpasar,0,
"Jl. Raya Legian, Gang Linggamurti No. 7, Legian",Legian Bedroom Guesthouse,Indonesia,,Kuta,0,
Jl. Sriwijaya Gg,Villa Amira,Indonesia,,Legian,0,
"Desa Bengkel, Tanah Lot",Caz Villa,Indonesia,,Tabanan,0,
"Desa Ababi, Tirtagangga, Karangasem ",Geria Semalung Bungalow,Indonesia,,Ababi,0,
Br. Kedisan Kaja,Villa Kemuning Ubud,Indonesia,,Ubud,0,
Jl. Pantai Berawa 99,Surf Stay Berawa,Indonesia,,Canggu,0,
Jl. Pelita No. 9,Griya Mesesari,Indonesia,,Tuban,0,
Jln Labuan Sait Gang Puncak Sekapa II,Hidden Hills Villas,Indonesia,,Pecatu,0,
"Jl. Jemeluk Beach, ",Villa Coral Bali,Indonesia,,Amed,0,
Jalan Mataram No 19B,Melody Hotel Kuta,Indonesia,,Kuta,0,
"Jalan Patih Jelantik, Istana Galeri, Kuta Central Park, Ruko PM.3 No.10-11",Rio's Bali House,Indonesia,,Kuta,0,
Jalan Dewi Saraswati III no. 3,The Wood Bali Villa,Indonesia,,Seminyak,0,
"Jl. Raya Silakyukti, Padang Bai, Manggis, Karangasem - Bali",Mustika Sari Beach Hotel Bali,Indonesia,,Padangbai,0,
"Jl. Damia, Kalibukbuk ",Villa Bintang Lovina,Indonesia,,Lovina,0,
"Jl. Majapahit Gg Suli, Dukuh Sari ",De Dukuh Hotel,Indonesia,,Kuta,0,
Jalan Gelogor Carik Gang Tiger No.88,Lembayung Sari Homestay,Indonesia,,Denpasar,0,
"Jl. Melasti, Gang Lebak Bene",Puri Etnik Hotel,Indonesia,,Legian,0,
Jl. Plawa No 7,D Nata Villa,Indonesia,,Seminyak,0,
"Jl. Danau Poso, Gang Tegal No.1",Khrisna Homestay Sanur,Indonesia,,Sanur,0,
"Jl. Grogak Buleleng, Pemuteran Beach",Segara Bukit Seaside Cottages,Indonesia,,Pemuteran,0,
"Toya Bungkah, Kintamani",Under the Volcano III,Indonesia,,Toya Bungkah,0,
"Pemuteran, Buleleng - Bali",Dago Guest House,Indonesia,,Pemuteran,0,
"Jalan.Lovina Beach, Anturan",Puspa Rama Pondok Wisata Hotel,Indonesia,,Lovina,0,
Jalan Danau Tempe No. 6,The Yuma Bali Hotel,Indonesia,,Denpasar,0,
Jl Raya Batukaru Penebel Desa Mangesta,Ti Amo Bali,Indonesia,,Penatahan,0,
Jl.By Pass Ngurah Rai No.207,Dive Today Scuba Diving Academy & Resort,Indonesia,,Sanur,0,
"Jungut Batu, Nusa Lembongan, Lembongan Island",Stars 2000,Indonesia,,Nusa Lembongan,0,
"Jl. Raya Tuban No 56 Kuta, Tuban, Bali",Puri Nusantara Hotel,Indonesia,,Tuban,0,
Jalan Raya Ngurah Rai KUTA,Novotel Bali Ngurah Rai Airport,Indonesia,,Tuban,0,
Jl. Mataram Gang Lading No. 9 ,Surfaris Inn,Indonesia,,Kuta,0,
Jalan Pratama GG Telaga Waja Tanjung,Peninsula Bay Resort,Indonesia,,Tanjung Benoa,0,
Jl. Tukad Badung No. 211X,Grand City Inn Hotel,Indonesia,,Denpasar,0,
Jl. Br. Padang Linjong Canggu - North Kuta,Kubu Pratiwi Villas Bali,Indonesia,,Canggu,0,
Jl. Bumbak no.42,Rumah Siam Boutique Hotel,Indonesia,,Kerobokan,0,
Jl Raya Tulamben,Mimpi Bali Tulamben,Indonesia,,Kubu,0,
"Jl. Kediri 3, Tuban",Sari Bali Resort,Indonesia,,Kuta,0,
Kubu,Siddhartha Dive Resort & Spa,Indonesia,,Kubu,0,
Lovina,Puri Manik Sari Hotel,Indonesia,,Lovina,0,
"Jl. Raya Semat, Gang Giri Sunia ",Villa Sunia,Indonesia,,Canggu,0,
Banjar Campuan Kerobokan,Vanmandri Guesthouse,Indonesia,,Kerobokan,0,
"Jl. Pantai Kuta, Gg Wina Cottages",Maharani II,Indonesia,,Kuta,0,
"Pandu Street no 61, Dalung, North Kuta, Badung",Hotel Puri Indah Bali,Indonesia,,Denpasar,0,
Jl. Pemuda III No. 21 Renon,Adelia Hotel,Indonesia,,Denpasar,0,
Jl. Ciung Wanara II No. 4 Renon,Adikara Renon Hotel,Indonesia,,Denpasar,0,
Br. Pekuwudan Sukawati,Kusuma Sari Villa And Spa Bali,Indonesia,,Saba Bai,0,
"Jalan Kedewatan 1, Sayan, Banjar Kutuh",Naya Ubud,Indonesia,,Ubud,0,
Jl. Raya Pemuteran,Pondok Dhevika Hotel,Indonesia,,Pemuteran,0,
"Ceking, Tegallalang 80561, Gianyar, Ubud 80561",Kampung Resort Ubud,Indonesia,,Ubud,0,
Jl. Uluwatu II No. 88X,Puri Jimbaran Hotel,Indonesia,,Jimbaran,0,
Jl.Petitenget,Semara Resort & Spa Seminyak,Indonesia,,Seminyak,0,
"JL. Raya Semat, Gg. Puji No. 18B",Villa Sari Agung,Indonesia,,Canggu,0,
Jalan Seririt - Singaraja,Hotel Tanjung Alam & Restaurant,Indonesia,,Lovina,0,
"Jl. Gotama no 8, Padang Tegal Kaja",Citrus Tree Villas - Wena,Indonesia,,Ubud,0,
"Berawa Beach Street, Kuta Utara",Morabito Art Villa,Indonesia,,Canggu,0,
Toya Bungkah,Volcano 2 Hotel,Indonesia,,Toya Bungkah,0,
"Jl. Kartika Plaza, Gg. Puspa Ayu",Bunut Garden Bed and Breakfast,Indonesia,,Kuta,0,
"By Pass Ida Bagus Mantra, Jln Sekar Sari Gang Melasti 1X",Hidden Sanctuary Resort and Villas,Indonesia,,Denpasar,0,
"Jln Singaraja-Gilimanuk, Banyuwedang ",Hide Homestay Menjangan,Indonesia,,Banyuwedang,0,
Jalan Raya Semat Gang Jalak 13 No.9 ,Villa Jalak Canggu,Indonesia,,Canggu,0,
"Jalan Pulukan, Pulukan, Medewi ",Kirra's Beach House,Indonesia,,Pulukan,0,
"Mangrove Point, Jungutbatu",Chiringuito Lembongan,Indonesia,,Nusa Lembongan,0,
Jalan Bypass Ngurah Rai No 168X,The Vie Residence,Indonesia,,Nusa Dua,0,
"Ds. Gobleg, Kec. Banjar, Buleleng",Kasan Resort,Indonesia,,Munduk,0,
Jl. Suweta Bentuyung,Anni House Bali,Indonesia,,Ubud,0,
"Jl. Tegal Sari 37, Tegal Gundul, Tibubeneng, Canggu",Dabumito Guest House,Indonesia,,Canggu,0,
Banjar Tabola,Lila Stana Homestay,Indonesia,,Sidemen,0,
Jl. Seririt Gilimanuk ,Sunia Loka Bungalows,Indonesia,,Pemuteran,0,
"Jl. Benesari, Poppies Lane II, Legian - Kuta",Bali Duta Wisata,Indonesia,,Kuta,0,
"Jalan Danau Toba, Gang 1/4",Ida Homestay,Indonesia,,Sanur,0,
Jalan Monkey Forest,Frogg Pond Inn,Indonesia,,Ubud,0,
"Jalan Raya Tanah Lot, Tabanan",Nirwana Bali Apartment,Indonesia,,Tabanan,0,
"Jln Paus, Sumber Sari, Melaya",Melaya Beach Resort,Indonesia,,Melaya,0,
Jl. Raya Lovina ,Parma Hotel Kalibukbuk,Indonesia,,Lovina,0,
Jl. Raya Jungut Batu - Lembongan,Puri Kirana,Indonesia,,Nusa Lembongan,0,
"Jalan Kayu Cendana, Gang Werkudara ",Villa Vishuddha Lux 2 BR Oberoi,Indonesia,,Seminyak,0,
"Jl. Persad No. 313, Banjar Pengipian - Kerobokan",The Sakran Seminyak,Indonesia,,Seminyak,0,
Jl. Raya Singaraja - Seririt,Bali Bagus Hotel,Indonesia,,Lovina,0,
Jl. Tunjung Biru No. 6,Ninja Suite Villa,Indonesia,,Denpasar,0,
Blok Ethnic No 12/12A Central Park Kuta Jalan patih Jelantik Kuta Badung 80361 Bali Indonesia,RedDoorz @ Istana Kuta Galeria,Indonesia,,Legian,0,
Jalan Raya Nyuh Kuning Singakerta,Villa Wanakerta,Indonesia,,Ubud,0,
Jl. Badak Agung XXI No. 17 Renon,Sicla House,Indonesia,,Denpasar,0,
"Jalan Dewi Sri No. 3, Gg. Lava 8",Villa Cactus Kuta,Indonesia,,Kuta,0,
Jalan Legian Kuta,Sanjaya Hotel Legian,Indonesia,,Legian,0,
Jl. Kaliasem ,Mega Ayu Homestay,Indonesia,,Lovina,0,
"Jl. Singaraja - Amlapura, Desa Sembiran Bawah, Kecamatan Tejakula ",Sembiran Private Guest House,Indonesia,,Bondalem,0,
"Jl. Dewi Sri Gang, Cendana No. 57",Villa Naga Laut Hotel Bali,Indonesia,,Legian,0,
"Jl. Hanoman, Padang Tegal Kelod - Ubud",Ubud Canti,Indonesia,,Ubud,0,
"Jalan Mataram gang Suli no. 12, Legian, Bali",Gong Corner Homestay 2,Indonesia,,Kuta,0,
Jalan Uluwatu No. 777,Shita Bali Hotel & Spa,Indonesia,,Jimbaran,0,
"Jalan Dewi Sartika, Tuban",Bali Prani Hotel,Indonesia,,Kuta,0,
"Jl. Subak Sari no. 8, Banjar Tegal Gundul, Desa Tibubeneng",Club Residence Luxury Villas Canggu,Indonesia,,Canggu,0,
Jl. Uluwatu 2 No. 36 C,Mimosa Jimbaran Bali Villa,Indonesia,,Jimbaran,0,
Jalan Pantai Nelayan ,Emerald River Villa,Indonesia,,Canggu,0,
"Jalan Braban, Seminyak",Vivere Resort Seminyak,Indonesia,,Seminyak,0,
"Jl. Bimasena, Gang Eropa No.7, Br. Anyar Kaja",Aquablu Bali,Indonesia,,Kerobokan,0,
Desa Jatiluwih ,Soka Jatiluwih Villas,Indonesia,,Jatiluwih,0,
