name,country,area,chain,price,street,rooms
La Bicicleta Hostal - Hostel,Nicaragua,Managua,,16USD,Restaurante La Marsellaise 2c 1/2 abajo casa 7 Reparto San Juan,
The Surfing Donkey - Deluxe,Nicaragua,Granada,,25USD,Calle La Calzada casa 424 Del Parque Central 3 1 2 cuadras al lago frente el Colegio Carlos A Bravos,
Farallones Hotel,Nicaragua,Leon,,75USD,Rotonda de los Encuentros 800 Metros Norte,
Hotel La Estacion,Nicaragua,Granada,,56USD,De Gasolinera Uno Guapinol una cuadra y media al sur. Avenida Arellano frente al Silais.,
Hotel Ola Verde,Nicaragua,Tola,,14USD,Carretera De Guasacate,
Casa La Merced Hotel Granada Nicaragua,Nicaragua,Granada,,74USD,Real Xalteva Street,
Hostal Hamacas,Nicaragua,San Juan del Sur,,29USD,Escuela 50 mts Sur,
Hotel y Restaurante El Sueno de la Campana,Nicaragua,Jinotega,,35USD,"San Ramon, Detras del Instituto Nacional de San Ramon",
Casa Lucia Managua,Nicaragua,Managua,,34USD,"Colonial los Robles, de la Funeraria Don Bosco 75 varas arriba casa 3",
Hotel El Raizon,Nicaragua,Managua,,34USD,"Km 20.3 Carretera Masaya , Nindiri",
Executive Managua,Nicaragua,Managua,,64USD,"De la Policinica Nicaraguense 50 vrs. al Oeste, a un costado de las Pipitos, Bolonia",
Hotel de Calidad,Nicaragua,Granada,,70USD,Calle el Cementerio,
Hotel D'lido Managua,Nicaragua,Managua,,48USD,Centro Toyota Auto Nica 2 1/2 cuadras al sur. Barrio Altagracia,
Hotel Antigua Estacion Granada,Nicaragua,Granada,,81USD,Frente al parque de los poetas,
Hotel Villa Isabella,Nicaragua,San Juan del Sur,,70USD,Diagonal Norte Iglesias Catolica,
Hotel Casa de Angeles,Nicaragua,Managua,,27USD,From Consejo Supremo Electoral 1 block east 1/2 a block south,
La Posadita de Bolonia,Nicaragua,Managua,,49USD,Canal 2 tres cuadras Oeste 10 varas al norte,
Hotel Brial Plaza,Nicaragua,Managua,,54USD,Km. 7.5 carretera Managua a Masaya 500m al sur 100m al oeste,
Hotel Mi Bohio,Nicaragua,Masatepe,,61USD,"Costado este Policia Nacional, Diarimba",
Hotel Suyapa Beach,Nicaragua,El Cubano,,67USD,Las Penitas Poneloya,
Villa Americana,Nicaragua,Managua,,67USD,Tip Top Carretera a Masaya,
New Century Hostel,Nicaragua,Granada,,15USD,De la polvora 1 cuadra al sur 1/2 cuadra al oeste,
Hotel & Residencias Los Altos,Nicaragua,Managua,,74USD,"15 Avenida Sureste, 500 m. al sur de Villa Fontana del Club Terraza",
Pandora Hostel Managua,Nicaragua,Managua,,11USD,Ticabus 1 cuadra al sur,
Hotel La Perla Leon,Nicaragua,Leon,,91USD,From La Merced Church 11 2 Blocks North,
Hotel Cordoba Granada,Nicaragua,Granada,,71USD,Calle Atravesada Contiguo a Ixchen,
Hotel Asturias Nicaragua,Nicaragua,Managua,,46USD,"De la Iglesia El Carmen 1 cuadra al Oeste, 75 varas al Sur, M/I",
Hotel Real Altamira,Nicaragua,Managua,,46USD,"Avenida Principal de Altamira D'Este, CONICO 1 Cuadra al Este, en Rotonda a Mano Izquierda #539",
Hotel Casa del Sol,Nicaragua,Managua,,87USD,Semaforos del 7 Sur 100 vrs al sur,
Hotel Moderno Jinotega,Nicaragua,Jinotega,,16USD,Costado Sureste de catderal 2 1/2 cuadras al Sur,
Hotel Boutique Hacienda San Pedro,Nicaragua,Masatepe,,70USD,Parque Central 350 mts al norte,
Soma Surf Resort,Nicaragua,Tola,,173USD,600 Meters North of Holy Grinds,
Macheles Place Hotel,Nicaragua,Tola,,79USD,Playa Gigante Municipio Tola Departamento de Rivas,
Hotel Ambassador Managua,Nicaragua,Managua,,71USD,Km 5 Carretera A Masya Frente,
Hotel Restaurante Cesar,Nicaragua,Managua,,60USD,Kilometro 8 Carretera Sur 300 Metros Este,
Hotel Baltsol,Nicaragua,Managua,,37USD,Colonial los Robles Costado Sur Funera Monte de los Olivos 4 Cuadras al Es,
Hotel lara's Planet,Nicaragua,El Castillo,,74USD,"Del Muello 200 mt. al Norte 50 mt. al Sur, El castillo, Rio San Juan",
Hotel Jardin de Granada,Nicaragua,Granada,,64USD,La Otra Banda Contiguo a Farmacia,
Hotel El Valle,Nicaragua,Sebaco,,12USD,Km 102 Carretera Panamericana Norte,
Pacaya Lodge & Spa,Nicaragua,Masaya,,154USD,Comarca Pacaya Catarina Samiria National Reserve,
Marina Puesta del Sol Resort,Nicaragua,El Cubano,,220USD,Comunidad Aserradores,
Guacalito de la Isla,Nicaragua,Tola,,732USD,Km 10 Carretera las Salinas Tola Rivas,
Hostal San AgustAn,Nicaragua,Managua,,49USD,Planes de Altamira de la Vicky 2c al Oeste casa 157,
Hotel Holy,Nicaragua,Managua,,24USD,"Bolonia, de Su Medico 1 Calle al Oeste",
Sky Granada,Nicaragua,Granada,,80USD,Costado Sur de la Iglesia Catedral,
Hotel Vistamar Pochomil Pochomil,Nicaragua,Pochomil,,132USD,Playa Pochomil,
Brandt Los Robles de San Juan,Nicaragua,Managua,,55USD,Semaforos Del Hotel Seminole 2c S 1c O,
Hotel Ideas de Mama Managua,Nicaragua,Managua,,29USD,Rotonda Santo Domingo 5c Sur 2 1/2c Oest,
Punta Teonoste,Nicaragua,Tola,,118USD,From Las Salinas bridge,
Hotel Central Park Managua Managua,Nicaragua,Managua,,60USD,Km 4.5 Carretera Masaya Del Edif Bac,
Hotel El Convento,Nicaragua,Leon,,112USD,Iglesia San Francisco,
Hotel Cafe,Nicaragua,Jinotega,,72USD,Gasolinera Texaco 1calle Oeste 1/2 cuadra al norte,
Central Lodge,Nicaragua,Leon,,19USD,Iglesia El Calvario 1/2 cuadra abajo,
Hotel Los Balcones Leon,Nicaragua,Leon,,60USD,De la esquina de los bancos 1c al este,
Apartamentos Los Angeles Managua,Nicaragua,Managua,,44USD,Edificio Armando Guido 5 1/2 c al sur San Luis Sur,
Hotel Morgut,Nicaragua,Managua,,49USD,De Donde Fue El Cine Cabrera 3 Cuadras,
Apartamentos Vistas de Santo Domingo,Nicaragua,Managua,,81USD,Car Masaya KM 7 2 de Plaza Familiar 400 Mts al Sur Oeste,
Hotel Punta Teonoste Masatepe,Nicaragua,San Juan del Sur,,139USD,From Las Salinas bridge 7 km to Astillero,
Hotel Flor De Sarta,Nicaragua,Leon,,70USD,Del Parque San Juan 2 cuadras al Oeste 1/2 cuadra al Norte,
Hostal Monte Cristi,Nicaragua,Managua,,34USD,"Caretera Norte, Managua, Nicaragua",
Rositas Hotel,Nicaragua,San Juan del Sur,,30USD,Del Mercado 1 cuadra y media al oeste,
Azul Hotel & Restaurante,Nicaragua,Leon,,63USD,"Avenida Central, de la catedral 2 1/2 cuadras al norte",
Hotel Los Arcos Jinotega,Nicaragua,Jinotega,,56USD,"Del Costado Noroeste de Catedral, 1/2 cuadra al Norte",
Hotel Mariposa,Nicaragua,Leon,,54USD,Del Parque Arlen Siu 50 metros Sur,
Posada Fuente Castalia,Nicaragua,Leon,,47USD,"Iglesia la Recoleccion, 275 metros al norte",
Casa Pochomil,Nicaragua,Pochomil,,79USD,200 metros al sur del Hotel Ticomo,
Hotel Colonial San Juan del Sur,Nicaragua,San Juan del Sur,,54USD, Una Cuadra De La Playa,
Finca Hotel el Chipote,Nicaragua,San Juan del Sur,,70USD,Altagracia,
Hotel Ometepetl,Nicaragua,Rivas,,40USD,Del Puerto de Moyogalpa 70 varas al Este,
Hotel La Dolce Vita San Juan del Sur,Nicaragua,San Juan del Sur,,52USD,100 meters west of the Texaco,
Hotel Dulce Hogar,Nicaragua,Managua,,39USD,"Avenida Principal Altamira, 449 Contiguo Pintura Sur",
Hostal Brisas y Olas,Nicaragua,San Juan del Sur,,20USD,Parque 1 1/2 al Oeste,
Isleta El Espino,Nicaragua,Granada,,122USD,Isletas de Granada,
Hotel Tijerinos,Nicaragua,Boaco Department,,46USD,Frente al Parque Central,
Hotel Casa de Alto,Nicaragua,Granada,,58USD,Calle 14 de Septiembre Bomberos media cuadra al oeste,
La Jolla de Guasacate,Nicaragua,Tola,,126USD,"2KM west of Bridge, Las Salinas, Tola, Rivas",
Hostal El Rey,Nicaragua,Jinotega,,30USD,"Zona Central, de la iglesia Molaguina 75 vras al oeste.",
Buena Onda Beach Resort,Nicaragua,Tola,,89USD,Del Cementerio 100vrs al Norte 1 5km al Oeste Playa Santana - Popoyo,
Hotel Los Balcones de Chinandega,Nicaragua,Leon,,61USD,1 Avenida Este Entre Calle Central Y 1 Calle Norte,
Park Avenue Villas Hotel,Nicaragua,San Juan del Sur,,81USD,De Rest El Timon 2 Cuadras Al Norte 1,
Hotel Palacio Real,Nicaragua,Granada,,66USD,Carretera Masaya Granada Km 43 5,
Hotel Museo El Ceibo,Nicaragua,Rivas,,68USD,KM 8.2 Moyogalpa,
Hotel Don Vito,Nicaragua,Jinotega,,50USD,Parque Infantil 1 1/2 Cuadra Al Este,
Bubu Hotel,Nicaragua,Granada,,163USD,"Calle La Libertad, del edificio BAC 2 1/2 cuadras al Oeste",
Hotel Casa de Pacifico Masachapa Playa,Nicaragua,Pochomil,,93USD,Gasolinera Petronic Masachapa 1 c. oeste y 2 c. al sur,
Hotel Matagalpa Inn,Nicaragua,Jinotega,,47USD,Restaurante Tip Top 30 metros al Norte.,
Hotel The Place Inn San Marcos,Nicaragua,Masatepe,,29USD,KM 42 5 San Marcos Masatepe,
Hotel Mirador Ocotal,Nicaragua,Ocotal,,28USD,De la terminal de buses 100m al norte sobre la carretera,
Hotel Brio,Nicaragua,Tola,,40USD,Playa Gigante,
Hotel Apastepe,Nicaragua,Leon,,29USD,"Carretera panamericana Leon-Chinandega, Km. 125.5",
Pajaro Azul,Nicaragua,Masaya,,72USD,Laguna de Apoyo Del triangulo 1200mts al sur,
Hotel Casa Celebertti,Nicaragua,Jinotega,,74USD,"Calle de Los Bancos, contiguo al MINSA",
El Cardhu del Mar,Nicaragua,El Cubano,,72USD,From Pescanova 50 Mts South / Al Sur,
Hotel Plaza Cosiguina,Nicaragua,El Cubano,,61USD,Esquina de los Bancos 50 MTS al sur - Chinandega,
Redwood Beach Resort,Nicaragua,Chinandega Department,,154USD,100 Beach Way,
Dsantos Hotel Boutique,Nicaragua,Masatepe,,74USD,Km 43 Carretera Panamericana Sur 300 Metros Al Norte,
La Princesa de La Isla,Nicaragua,Corn Islands,,59USD,Barrio Brig Bay Waula Point,
Hotel Montserrat,Nicaragua,Managua,,39USD,Optica vision 1c abajo 1/2 al lago Residencial Bolonia,
Eco posada Tortuga Verde,Nicaragua,Masatepe,,36USD,Km 40 1 2 Carretera Sur,
Hotel Restaurante Plaza Manchon,Nicaragua,Granada,,57USD,Km 70 1/2 carretera Nandaime - Rivas,
Campo Royale Resort,Nicaragua,Managua,,75USD,Km 16.7 Carretera Ticuantepe,
Orquidea del Sur,Nicaragua,San Juan del Sur,,204USD,Playa Yankee,
Equilibrio Yoga Art Surf Resort,Nicaragua,Tola,,142USD,Pink Panther Road,
Catalanica,Nicaragua,Rio San Juan Department,,87USD,Isla Mancarron,
Brisas Del Mar Nicaragua,Nicaragua,Chinandega Department,,119USD,Brisas Del Mar Nica,
Hotel San Juan de Leon,Nicaragua,Leon,,52USD,"Costado Norte, parque San Juan",
Arenas Beach Hotel,Nicaragua,Corn Islands,,98USD,"Southwest Bay, Corn Island. Nicaragua",
Hotel Popoyo,Nicaragua,Tola,,49USD,Las Salinas - Tola - Rivas,
El Belga Loco,Nicaragua,El Cubano,,35USD,Costado Sur de Farallon Aquaculture de Nicaragua,
Hotel Villa Hermosa Jinotega,Nicaragua,Jinotega,,20USD,"Tercera entrada a Matagalpa 1 c. al este y 1/2 c. al sur, frente a Clinica Profamilia, Matagalpa, Nicaragua",
Hostal Ibesa,Nicaragua,Rivas,,13USD,Del puerto 100M Sur,
