price,name,country,chain,area,rooms
"US$132","Komaneka at Rasa Sayang Ubud",Indonesia,Independent,"Jalan Monkey Forest, Ubud, Gianyar, 80571 Ubud, Indonesia","Hotel Rooms: 17"
"US$91","Bali Garden Beach Resort",Indonesia,Independent,"Jalan Kartika, P.O. Box 1062, Tuban, Kuta, Bali 80361, 80361 Kuta, Indonesia","Hotel Rooms: 179"
"US$46","Febri's Hotel & Spa",Indonesia,Independent,"Jl. Kartika Plaza, 80361 Kuta, Indonesia","Hotel Rooms: 69"
"US$270","Maya Ubud Resort & Spa",Indonesia,Independent,"Jl. Gunung Sari Peliatan, PO BOX 1001, Bali, 80571 Ubud, Indonesia","Hotel Rooms: 108"
"US$125","Puri Sebatu Resort",Indonesia,Independent,"Br. Apuh, Desa Sebatu, Tegalalang - Ubud , 80571 Penginyahan, Indonesia","Hotel Rooms: 20"
"US$61","Nick's Pension",Indonesia,Independent,"Jalan Bisma, 80571 Ubud, Indonesia","Hotel Rooms: 24"
"US$94","Amadea Resort & Villas Seminyak Bali",Indonesia,Independent,"Jalan Kayu Aya 55, 80361 Seminyak, Indonesia","Hotel Rooms: 100"
"US$76","Katala Villas",Indonesia,Independent,"Jalan Pungutan Gang Jasmine Sanur, 80227 Sanur, Indonesia","Hotel Rooms: 12"
"US$192","The Kayon Resort",Indonesia,Independent,"Banjar Kepitu, Desa Kendran, 80571 Ubud, Indonesia","Hotel Rooms: 23"
"US$399","The Royal Pita Maha",Indonesia,Independent,"Desa Kedewatan, 80571 Ubud, Indonesia","Hotel Rooms: 52"
"US$65","Inna Sindhu Beach, Hotel Resort & Meeting",Indonesia,Independent,"Jl. Pantai Sindhu No. 14 Sanur, 80228 Sanur, Indonesia","Hotel Rooms: 61"
"US$130","Griya Santrian a Beach Resort",Indonesia,Independent,"Jl. Danau Tamblingan 47, 80228 Sanur, Indonesia","Hotel Rooms: 128"
"US$104","Prama Sanur Beach Bali",Indonesia,Independent,"Jalan Cemara, 80228 Sanur, Indonesia","Hotel Rooms: 428"
"US$113","Kejora Suites - Designer Boutique Hotel",Indonesia,Independent,"Jalan Danau Tamblingan no 25, 80228 Sanur, Indonesia","Hotel Rooms: 24"
"US$65","Sadeg Lembongan",Indonesia,Independent,"Mushroom Bay, 80361 Lembongan, Indonesia","Hotel Rooms: 9"
"US$227","Fairmont Sanur Beach Bali",Indonesia,Independent,"Jl Kusuma Sari no 8, Sanur, 80227 Sanur, Indonesia","Hotel Rooms: 120"
"US$63","Nefatari Exclusive Villas",Indonesia,Independent,"Jalan Katiklantang Singakerta, 80571 Ubud, Indonesia","Hotel Rooms: 11"
"US$38","Matahari Terbit Bali",Indonesia,Independent,"Jalan Pratama, 80363 Nusa Dua, Indonesia","Hotel Rooms: 23"
"US$175","Warwick Ibah Luxury Villas & Spa",Indonesia,"Hotel Chain:
Warwick Hotels and Resorts, Warwick International Hotels and Resorts","Jalan Raya Campuhan, Bali, 80571 Ubud, Indonesia","Hotel Rooms: 17,"
