name,street,country,chain,area,rooms,price
Lucky's Bungalow and Restaurant,Gili Air,Indonesia,,Lombok,,0
Beach Bungalow Lombok,"Jalan Bangsal Baru, Pemenang Barat",Indonesia,,Lombok,,0
Pandan Wangi Homestay,Gili Trawangan ,Indonesia,,Lombok,,0
Pondok Sederhana,"Gili Trawangan, Lombok",Indonesia,,Lombok,,0
Sea Star Bungalow,Gili Trawangan,Indonesia,,Lombok,,0
Coral Voice 2 Home Stay,Gili Trawangan ,Indonesia,,Lombok,,0
Villa Kokita,Gili Trawangan ,Indonesia,,Lombok,,0
Holiday House Gili Trawangan,Gili Trawangan ,Indonesia,,Lombok,,0
Banana Leaf Gili Meno,"Gili Meno, Desa Gili Indah",Indonesia,,Lombok,,0
Desi Homestay 1,Gili Trawangan ,Indonesia,,Lombok,,0
Bayu Homestay Gili Trawangan,Gili Trawangan ,Indonesia,,Lombok,,0
Yin Seaview Aircon Studio Apartment,Gili Trawangan,Indonesia,,Lombok,,0
Guest House Gunawan,Gili Trawangan ,Indonesia,,Lombok,,0
Midnight Star Bungalow,Gili Trawangan ,Indonesia,,Lombok,,0
Borneo Homestay,Gili Trawangan,Indonesia,,Lombok,,0
Alda House,Gili Trawangan,Indonesia,,Lombok,,0
Nyla Stormys Villa,Gili Trawangan,Indonesia,,Lombok,,0
Villa Cocolove,Gili Trawangan,Indonesia,,Lombok,,0
Bellevue Luxury Villa,"Gili Air, Gili Meno",Indonesia,,Lombok,,0
Inland View Villa And Cottage,Gili Trawangan,Indonesia,,Lombok,,0
Yin Family AC Beachfront Apartment,Jalan Pantai Timur,Indonesia,,Lombok,,0
Rawa Indah Bungalows,"Desa Gili Indah, Gili Meno",Indonesia,,Lombok,,0
Quiet Water Guest House,Gili Trawangan ,Indonesia,,Lombok,,0
Nema Problema Homestay,"Gili Trawangan, Lombok, Nusa Tenggara Barat",Indonesia,,Lombok,,0
Villa Tenang Gili Trawangan,Gili Trawangan ,Indonesia,,Lombok,,0
Villa Bagheera,Gili Trawangan,Indonesia,,Lombok,,0
Eazy Gili Homestay,Gili Air - Lombok,Indonesia,,Lombok,,0
Seri Waters Hotel,Gili Meno Island ,Indonesia,,Lombok,,0
New Savana Beach Hotel & Resort,North ,Indonesia,,Lombok,,0
Pondok Alang Alang,Gili trawangan,Indonesia,,Lombok,,0
Zakia's Rooms Hotel,Gili Trawangan,Indonesia,,Lombok,,0
Fisher house,Gili Air,Indonesia,,Lombok,,0
Family and Reza Bungalows,Ds. Gili Indah Pemenang,Indonesia,,Lombok,,0
Exqisit Luxury Villa's & Spa,"Gili Trawangan, Lombok",Indonesia,,Lombok,,0
Palm Trees Villas,Gili Air,Indonesia,,Lombok,,0
Pandan wangi homestay Lombok,Jl. Gili indah pemenang,Indonesia,,Lombok,,0
Saskia Homestay,Gili Trawangan,Indonesia,,Lombok,,0
Villa Nautilus at Gili Meno,Gili Islands Lombok Indonesia,Indonesia,,Lombok,,0
Damai Homestay Lombok,Dusun Gili Air no 92 RT 001,Indonesia,,Lombok,,0
Sea Star Pondok,Gili Trawangan - Lombok,Indonesia,,Lombok,,0
Famunaya Homestay,Gili Trawangan,Indonesia,,Lombok,,0
Kidi's Family Bungalow,Gili Trawangan,Indonesia,,Lombok,,0
Best Budget Bungalow,Gili Trawangan ,Indonesia,,Lombok,,0
The 5 Hotel,Karang Biru,Indonesia,,Lombok,,0
Calypso Backpackers,Gili Trawangan Island,Indonesia,,Lombok,,0
Mutiara Bungalow,Gili Trawangan,Indonesia,,Lombok,,0
House Of Q W,Gili Trawangan,Indonesia,,Lombok,,0
Pondok Sunrise 2,Gili Trawangan,Indonesia,,Lombok,,0
Diva Bungalows,Gili Air,Indonesia,,Lombok,,0
Gili T Resort And Terminal Restaurant,Gili Trawangan Lombok,Indonesia,,Lombok,,0
