name,area,chain,country,rooms,price
"Grand Mega Resort & Spa Bali","Jl. By Pass Ngurah Rai No. 234, Simpang Siur, 80361 Kuta, Indonesia",Independent,Indonesia,"Hotel Rooms: 135",
"Amalfi Hotel Seminyak","Jl. Petitenget, 80031 Seminyak, Indonesia",Independent,Indonesia,"Hotel Rooms: 33",
"The Banyumas Villa","Jalan Tukad Banyumas No. 1, 80361 Denpasar, Indonesia",Independent,Indonesia,"Hotel Rooms: 22",
"Rhadana Hotel","Jalan Raya Kuta 88R , 80361 Kuta, Indonesia",Independent,Indonesia,"Hotel Rooms: 70",
"Praja Hotel","Jl. Mohamad Yamin IV No 2A, Renon - Denpasar, 80235 Denpasar, Indonesia",Independent,Indonesia,"Hotel Rooms: 40",
"Seminyak Square Hotel","Jalan Kayu Aya No. 100, 80361 Seminyak, Indonesia",Independent,Indonesia,"Hotel Rooms: 40",
"Tijili Seminyak","Jalan Drupadi No. 9, 80361 Seminyak, Indonesia",Independent,Indonesia,"Hotel Rooms: 120",
"1000 Dream Bungalow","Jalan Hotel Puri Bagus Pemaron Lovina, 81119 Lovina, Indonesia",Independent,Indonesia,"Hotel Rooms: 8",
"The Laguna, A Luxury Collection Resort & Spa, Nusa Dua, Bali","Kawasan Pariwisata Nusa Dua Lot N2, PO.BOX 77, 80363 Nusa Dua, Indonesia","Hotel Chain:
The Luxury Collection by Starwood",Indonesia,"Hotel Rooms: 287,",
"THE HAVEN SUITES Bali Berawa","Jalan Pemelisan Agung, Desa Tibubeneng, Banjar Berawa, 80361 Canggu, Indonesia",Independent,Indonesia,"Hotel Rooms: 60",
"The Stones Hotel - Legian Bali, Autograph Collection","Jl. Raya Pantai Kuta, Banjar Legian Kelod, Legian Bali., 80361 Kuta, Indonesia","Hotel Chain:
Autograph Collection",Indonesia,"Hotel Rooms: 308,",
"Beji Bay Resort","Jalan Raya Silayukti, 80812 Padangbai, Indonesia",Independent,Indonesia,"Hotel Rooms: 24",
"Horison Jimbaran","Jl. Uluwatu I No. 389, Kedonganan, 80361 Jimbaran, Indonesia",Independent,Indonesia,"Hotel Rooms: 84",
"The Artini Resort","Jl. Pengosekan, 80571 Ubud, Indonesia",Independent,Indonesia,"Hotel Rooms: 39",
"Ju'Blu Hotel","Jalan Mawar, Desa Kalibukbuk, 81151 Lovina, Indonesia",Independent,Indonesia,"Hotel Rooms: 4",
"Mandapa, A Ritz-Carlton Reserve","Jalan Kedewatan, Banjar Kedewatan, 80571 Ubud, Indonesia","Hotel Chain:
The Ritz-Carlton Company, L.L.C",Indonesia,"Hotel Rooms: 60,",
"Sapodilla Ubud","Jl. Raya Pengosekan, 80571 Ubud, Indonesia",Independent,Indonesia,"Hotel Rooms: 14",
"Ecosfera Hotel","Jl Batu Mejan, 80361 Canggu, Indonesia",Independent,Indonesia,"Hotel Rooms: 27",
"Stana Puri Gopa Hotel","Jl. Kesumasari, No. 4, Bali, 80228  Sanur, Indonesia",Independent,Indonesia,"Hotel Rooms: 30",
"Novotel Bali Nusa Dua","BTDC Complex Nusa Dua, 80363 Nusa Dua, Indonesia","Hotel Chain:
Novotel",Indonesia,"Hotel Rooms: 175,,",
"The Royal Beach Seminyak Bali - MGallery Collection","Jl. Camplung Tanduk, Seminyak Beach, 80033 Seminyak, Indonesia","Hotel Chain:
MGallery by Sofitel",Indonesia,"Hotel Rooms: 145,",
"Casa De Amed"," Jalan Ketut Natih, Jemeluk Bay, 80852 Amed, Indonesia",Independent,Indonesia,"Hotel Rooms: 6",
"Matahari Terbit Bali","Jalan Pratama, 80363 Nusa Dua, Indonesia",Independent,Indonesia,"Hotel Rooms: 23",
"Sammada Hotel & Beach Club","Desa Jungut Batu, 80771 Lembongan, Indonesia",Independent,Indonesia,"Hotel Rooms: 24",
"Calma Ubud ( Suite & Villas)","Jl Tirta Tawar ,Br Kutuh Kaje Ubud, 80571 Ubud, Indonesia",Independent,Indonesia,"Hotel Rooms: 10",
"Arjuna Homestay","Jalan Arjuna, 81155 Pemuteran, Indonesia",Independent,Indonesia,"Hotel Rooms: 16",
"Puri Cendana Resort Bali","Jl. Camplung Tanduk, 80361 Seminyak, Indonesia",Independent,Indonesia,"Hotel Rooms: 24",
"Poppies Bali","Jalan Legian, Poppies Lane 1 No.19, 80361 Kuta, Indonesia",Independent,Indonesia,"Hotel Rooms: 20",
"Villa Kresna Boutique and Suites","Jalan Sarinande No.19, 80361 Seminyak, Indonesia",Independent,Indonesia,"Hotel Rooms: 22",
"Parigata Resorts and Spa","Jalan Danau Tamblingan No. 87 Batu Jimbar, 80228 Sanur, Indonesia",Independent,Indonesia,"Hotel Rooms: 42",
"Amed Dream","Jl Raya Karangasem - Seraya, 80852 Amed, Indonesia",Independent,Indonesia,"Hotel Rooms: 17",
"Labak River Hotel","Jl. Raya Tebongkang Singakerta Nyuh Kuning, 80571 Ubud, Indonesia",Independent,Indonesia,"Hotel Rooms: 13",
"Aquarius Beach Hotel","Jalan Pantai Sindhu, 80361 Sanur, Indonesia",Independent,Indonesia,"Hotel Rooms: 16",
"Sarinande Hotel","Jl. Sarinanade, No. 15, Camplung Tanduk - Seminyak , 80361 Seminyak, Indonesia",Independent,Indonesia,"Hotel Rooms: 26",
"The Sakura Jimbaran","Jalan Jepun I, Sakura, 80361 Jimbaran, Indonesia",Independent,Indonesia,"Hotel Rooms: 28",
"Pullman Bali Legian Nirwana","1 Jalan Melasti, Bali, 80361 Legian, Indonesia","Hotel Chain:
Pullman Hotels and Resorts",Indonesia,"Hotel Rooms: 353,",
"Kusuma Resort","Jl. Arjuna Gg Raja No. 6, Bali, 80361 Seminyak, Indonesia",Independent,Indonesia,"Hotel Rooms: 18",
"Four Points by Sheraton Bali, Seminyak","Jalan Petitenget, Gg. Cendrawasih no. 99 DS, North Kuta, Badung , 80361 Seminyak, Indonesia","Hotel Chain:
Four Points by Sheraton",Indonesia,"Hotel Rooms: 121,",
"Destiny Boutique Hotel by Premier Hospitality Asia","Jl. Drupadi No. 10, 80361 Seminyak, Indonesia",Independent,Indonesia,"Hotel Rooms: 47",
"Bali Reski Hotel","Jalan Sari Dewi no 12 Basangkasa, 80361 Seminyak, Indonesia",Independent,Indonesia,"Hotel Rooms: 16",
"Ubud Bungalow","Jln. Monkey Forest, Ubud, 80571 Ubud, Indonesia",Independent,Indonesia,"Hotel Rooms: 26",
"d'Penjor Seminyak","Jl. Bidadari II no 1 Taman Merthanadi Kerobokan, 80361 Seminyak, Indonesia",Independent,Indonesia,"Hotel Rooms: 23",
"Hotel Genggong","Jl.Pantai Indah, 80235 Candidasa, Indonesia",Independent,Indonesia,"Hotel Rooms: 8",
"Novotel Bali Ngurah Rai Airport","Jalan Raya Ngurah Rai, Tuban, 80362 Kuta, Indonesia","Hotel Chain:
Novotel",Indonesia,"Hotel Rooms: 214,,",
"Bisma Cottages Ubud","Jalan Bisma , 80571 Ubud, Indonesia",Independent,Indonesia,"Hotel Rooms: 4",
"Roam Coliving & Coworking Ubud","Jalan Raya Penestanan Kelod, Kec. Gianyar, 80571 Ubud, Indonesia",Independent,Indonesia,"Hotel Rooms: 24",
"Un's Hotel","Jl. Benesari No. 16, 80361 Legian, Indonesia",Independent,Indonesia,"Hotel Rooms: 32",
"Anom Beach Hotel","Mendira Beach, Desa Mendira - Sengkidu, 80751 Candidasa, Indonesia",Independent,Indonesia,"Hotel Rooms: 24",
"Hotel Melamun","Jalan Laviana, Kalibubuk, 81152 Lovina, Indonesia",Independent,Indonesia,"Hotel Rooms: 9",
"Dimpil Homestay","Jalan Arjuna, 81155 Pemuteran, Indonesia",Independent,Indonesia,"Hotel Rooms: 8",
"Hotel Segara Agung","Jl. Duyung No. 43, 80228 Sanur, Indonesia",Independent,Indonesia,"Hotel Rooms: 18",
"ZenRooms Legian Benesari 2","Jalan Benesari Gang Adhi Dharma, 80361 Kuta, Indonesia","Hotel Chain:
ZEN Rooms",Indonesia,"Hotel Rooms: 2,",
"Ozz Hotel Kuta Bali","Jalan Kubu Anyar Gg. Biduri , 80361 Kuta, Indonesia",Independent,Indonesia,"Hotel Rooms: 52",
"Zest Hotel Legian","Jalan Werkudara No. 525, 80361 Legian, Indonesia","Hotel Chain:
Swiss-Belhotel International",Indonesia,"Hotel Rooms: 51,",
"Sense Hotel Seminyak","Jalan Kayu Jati No. 5, 80361 Seminyak, Indonesia",Independent,Indonesia,"Hotel Rooms: 68",
"KiBata Lembongan Boutique Hotel","Br. Kelod Desa Jungutbatu, 80771 Lembongan, Indonesia",Independent,Indonesia,"Hotel Rooms: 11",
