rooms,area,name,country,price,chain
"Hotel Rooms: 20","Playa Palo Seco, Parrita, 60901 Parrita, Costa Rica","Cocomar Residences & Beachfront Hotel",Costa Rica,,Independent
"Hotel Rooms: 12","Camino de Suenos 1,5 km NE del Catarata de Uvita, 11301 Uvita, Costa Rica","Oxygen Jungle Villas",Costa Rica,,Independent
"Hotel Rooms: 50","200 metros norte del dique del lago Arenal, la Fortuna, 21007 El Castillo de La Fortuna, Costa Rica","Hotel Arenal Lodge",Costa Rica,,Independent
"Hotel Rooms: 108","Punta Leona, 61102  Herradura, Costa Rica","Hotel & Club Punta Leona",Costa Rica,,Independent
"Hotel Rooms: 20","Playa Esterillos Este, 60101 Esterillos Este, Costa Rica","Alma del Pacifico Hotel & Spa",Costa Rica,,Independent
"Hotel Rooms: 310,,","Playa Mansita, Tamarindo. Guanacaste., 00010 Tamarindo, Costa Rica","JW Marriott Guanacaste Resort & Spa",Costa Rica,,"Hotel Chain:
JW Marriott Hotels & Resorts"
"Hotel Rooms: 9","150 meters southwest of municiplaity Jaco  located at : Morgans Cove Resort & Casino on the beach, 61101 Jacó, Costa Rica","Costa Rica Surf Camp by SUPERbrand",Costa Rica,,Independent
"Hotel Rooms: 169,","Playa Buena P.O. Box 48, 11000 Culebra, Costa Rica","Occidental Grand Papagayo Resort - Adults Only-All Inclusive",Costa Rica,,"Hotel Chain:
Occidental Hotel and Resorts"
"Hotel Rooms: 125,,","Avenida Pastor Diaz, Playa Jacó , 50807 Jacó, Costa Rica","Best Western Jaco Beach All Inclusive Resort",Costa Rica,,"Hotel Chain:
Best Western"
"Hotel Rooms: 299,,","700 meters west from Bridgestone/Firestone, Asuncion, San José, Costa Rica","Costa Rica Marriott Hotel San Jose",Costa Rica,,"Hotel Chain:
Marriott Hotels & Resorts"
"Hotel Rooms: 127,,","Plaza Los Mangos,Radial Francisco J Orlich, 20109 Alajuela, Costa Rica","Courtyard by Marriott San Jose Airport Alajuela",Costa Rica,,"Hotel Chain:
Courtyard by Marriott"
"Hotel Rooms: 45","Cabo Velas, Santa Cruz, 50006 Playa Conchal, Costa Rica","Reserva Conchal",Costa Rica,,Independent
"Hotel Rooms: 17","Avenida 71, 100 meters south from the Puerto Viejo center, 70401 Puerto Viejo, Costa Rica","Lizard King Hotel & Resort",Costa Rica,,Independent
"Hotel Rooms: 80","200 Meters South of the Municipalidad, 61101 Jacó, Costa Rica","Morgan´s Cove Resort & Casino on the Beach",Costa Rica,,Independent
