area,street,rooms,chain,country,name,price
Ubud,Jl. Bisma - Ubud,,,Indonesia,Rouge Bali - Lounge Bar Villas & Spa,226USD
Kuta,Jl. Raya Kuta No. 98,,,Indonesia,Santika Kuta-Bali Hotel,31USD
Legian, Jl. Sunset Road No 9,,,Indonesia,Ramada Bali Sunset Road Kuta,30USD
Candi Dasa,Jl.Pantai Indah Candidasa - Karangasem,,,Indonesia,Hotel Genggong,61USD
Jimbaran,Jl Raya Kampus Unud,,,Indonesia,Bali Paragon Resort Hotel,34USD
Ubud,Jalan Raya | Lod Tunduh No.88,,,Indonesia,Bumi Ubud Resort,48USD
Jimbaran,Jalan Karang Mas Sejahtera,,,Indonesia,The Villas At AYANA Resort,823USD
Seminyak,Petitenget Street Gg Cendrawasih No 68,,,Indonesia,Puri Madawi Hotel Bali,61USD
Canggu,Jalan Sri Kahyangan Berawa,,,Indonesia,KOA D' Surfer Hotel,38USD
Legian,"11 Padma, Utara No. 10",,,Indonesia,Surya Dewata Beach II Hotel Bali,19USD
Kuta,"Jalan Legian, Cempaka Lane No. 3",,,Indonesia,The Zuk Hotel Kuta,505USD
Seminyak,Jl. Tangkuban Perahu No. 3 Kerobokan Seminyak Kuta,,,Indonesia,Delu Villas & Suite,23USD
Kuta,Jalan Kartika Plaza Gg Puspa Ayu No 238 ,,,Indonesia,Nathan Hotel Bali,19USD
Kuta,Jalan Pantai Banjar Segara No 1 Tuban ,,,Indonesia,Palm Beach International Hotel Bali,31USD
Legian,Jl. Werkudara 518 Legian Kaja,,,Indonesia,Kusnadi Hotel,40USD
Legian,Jalan Legian Kelod Kuta Beach,,,Indonesia,Bali Sorgawi Hotel,21USD
Legian,JALAN SAHADEWA - Denpasar,,,Indonesia,Suriwathi Beach Hotel,14USD
Singaraja,"Jalan Surapati Number 12 - 14, Singaraja",,,Indonesia,Pop Hotel Hardys Singaraja Square,16USD
Candi Dasa,"Jl. Raya Candidasa, Karangasem",,,Indonesia,D'Tunjung Resort & Spa Bali,38USD
Seminyak,Jl. Bidadari II no 1 Taman Merthanadi Kerobokan,,,Indonesia,D'Penjor Seminyak Hotel,62USD
Canggu,Jalan Pantai Pererenan No. 99,,,Indonesia,Ngeluwungan Villa Pererenan Beach,39USD
Nusa Lembongan,Tanjung Sanghiang Bay,,,Indonesia,Mushroom Beach Bungalows,72USD
Sanur,Jl. Danau Tamblingan no. 50 ,,,Indonesia,Svarna Hotel Sanur,32USD
Jimbaran,Jalan Uluwatu No 88 Kedonganan,,,Indonesia,Watermark Hotel & Spa Bali,126USD
Kuta,Jalan Poppies I,,,Indonesia,Funky Monkey Bali,12USD
Candi Dasa,Jalan Raya 48,,,Indonesia,Le 48 Zen & Happy Rezort,43USD
Jimbaran,Jalan Wisma Udayana,,,Indonesia,DenBukit Residence and Suite,26USD
Kuta,"Jl. Popies I, Gg. Sorga no. 5",,,Indonesia,The Kubu Hotel Bali,11USD
Kuta,Jl. Poppies 1 Kuta,,,Indonesia,Fat Yogi Cottages,28USD
Legian,Jl. Legian Tengah gg Three brother,,,Indonesia,Three Brothers Bungalow,38USD
Kuta,Jl. Dewi Sartika No. 3,,,Indonesia,Gowin Hotel,21USD
Ubud,"Jl Raya Sayan, Banjar Sindu",,,Indonesia,Ubud Raya Hotel,38USD
Tanjung Benoa,Jalan Pratama No. 71 ,,,Indonesia,Alam Bali Resorts,21USD
Tuban,Jl. By Pass Ngurah Rai,,,Indonesia,Natya Hotel Kuta,31USD
Seminyak,Jalan Sarinande 20,,,Indonesia,Luna2 Studios,214USD
