area,street,rooms,chain,country,name,price
Kuta,Jl. Kartika Plaza 8x,,,Indonesia,Kuta Station Hotel,29USD
Kuta,"Jalan Poppies Lane 2, Number 18",,,Indonesia,Bounty Hotel,39USD
Nusa Dua,Jalan Pura Segara,,,Indonesia,Swiss-Belhotel Segara Resort & Spa,39USD
Legian,Jl. Dewi Sri No. 68,,,Indonesia,Fontana Hotel Bali a PHM Collection,26USD
Seminyak,Jl. Kayu Aya,,,Indonesia,The Oberoi Bali,282USD
Ubud,Jl. Bisma,,,Indonesia,Komaneka at Bisma,218USD
Seminyak,Jl. Dewi Saraswati III No.51,,,Indonesia,Ramada Encore Bali Seminyak,34USD
Seminyak,Jl. Camplung Tanduk No. 28,,,Indonesia,Ping Hotel Seminyak Bali,37USD
Kuta,Jalan Segara Batu Bolong Legian ,,,Indonesia,Grand Barong Resort,33USD
Payangan,Desa Melinggih Kelod,,,Indonesia,Alila Ubud,186USD
Legian,"Jalan Melasti, Lebak Bene",,,Indonesia,Sayang Maha Mertha,11USD
Kuta,Jl. Imam Bonjol No. 508,,,Indonesia,B Hotel Bali,23USD
Kuta,Jalan Wanal Segara 33,,,Indonesia,Holiday Inn Resort Baruna Bali,35USD
Legian,Jl. Werkudara,,,Indonesia,Baleka Resort Hotel & Spa,32USD
Candi Dasa,Jalan Raya Sengkidu,,,Indonesia,Rama Candidasa Resort & Spa,81USD
Kuta,Jalan Bakung Sari,,,Indonesia,The Oasis Kuta,28USD
Ubud,Monkey Forest Street,,,Indonesia,Champlung Sari Hotel,47USD
Sanur,Jalan Segara Ayu,,,Indonesia,Segara Village Hotel Bali,137USD
Seminyak,Jalan Braban No. 77,,,Indonesia,Mutiara Bali Boutique Resort & Villas,66USD
Kuta,Jl. Jenggala Kuta,,,Indonesia,Solaris Hotel Kuta,38USD
Seminyak,Jalan Kayu Jati No. 5,,,Indonesia,Sense Hotel Seminyak,38USD
Legian,Jalan Padma Utara,,,Indonesia,Melasti Legian Beach Resort & Spa,29USD
Seminyak,Jl. Camplung Tanduk,,,Indonesia,Puri Saron Seminyak,71USD
Seminyak,Jl. Abimanyu (Dhyana Pura),,,Indonesia,Anantara Seminyak Resort & Spa,236USD
Kuta,"Jl. Poppies I, Kuta ",,,Indonesia,AP Inn Bali,34USD
Ubud,Jalan Raya Sanggingan ,,,Indonesia,Beji Ubud Resort,59USD
