"code","ean","name","brand","model","category"
10010917,"4001895906909","NASTRO ISOLANTE 25M 25 x 0,15mm ROSSO","3M",,"Electrical"
10010916,"4001895906923","NASTRO ISOLANTE 25M 25 x 0,15mm BIANCO","3M",,"Electrical"
10010915,"4001895906756","NASTRO ISOLANTE 25M 25 x 0,15mm NERO","3M",,"Electrical"
10010914,"4001895906671","NASTRO ISOLANTE 25M 19 x 0,15mm ROSSO","3M",,"Electrical"
10010913,"4001895906695","NASTRO ISOLANTE 25M 19 x 0,15mm BIANCO","3M",,"Electrical"
10010912,"4001895959356","NASTRO ISOLANTE 25M 19x0,15mm NERO","3M",,"Electrical"
10010904,"4001895906251","NASTRO ISOLANTE 25M 15 x 0,15mm BIANCO","3M",,"Electrical"
10010903,"4001895906091","NASTRO ISOLANTE 25M 15 x 0.15mm NERO","3M",,"Electrical"
10017086,"7891040003860","NASTRO AUTOVULCANIZZANTE SCOTCH 23","3M",,"Electrical"
10031781,"9000010767024","INTERRUTTORE MAGNETOTERMICO 2P C25 4,5KA CURVA C 2 MOD ABB","ABB",,"Electrical"
10027797,"4016779598514","INTERRUTTORE MAGNETOTERMICO 2P 32A 4,5KA CURVA C 2 MOD ABB","ABB",,"Electrical"
10027796,"4016779598491","INTERRUTTORE MAGNETOTERMICO 2P 20A 4,5KA CURVA C 2 MOD ABB","ABB",,"Electrical"
10027795,"4016779598484","INTERRUTTORE MAGNETOTERMICO 2P 16A 4,5KA CURVA C 2 MOD ABB","ABB",,"Electrical"
10027794,"4016779598460","INTERRUTTORE MAGNETOTERMICO 2P 10A 4,5KA CURVA C 2 MOD ABB","ABB",,"Electrical"
10024538,"8012542008057","LAMPADINA INCANDESCENZA ABB CHIARA","ABB",,"Electrical"
10024537,"8012542005858","RONZATORE 230V ABB CHIARA","ABB",,"Electrical"
10024536,"8012542005759","RONZATORE 12V ABB CHIARA","ABB",,"Electrical"
