Code,Web description,Brand,model,category,price,EAN,url,image_url
10010165,IMPERMEABILIZZANTE ECO IDROPREN KERAKOLL 5kg ,KERAKOLL,8021704107064,building/materials,12.18,8021704107064,http://www.bricoman.it/negozio/rezzato/10010165,http://www.bricoman.it/media/foto_articoli/2012/6/10014328.jpg
10010153,CEMENTO RAPIDO PRESTOCEM ECO KERAKOLL5kg PER ZANCARE E FISSARE MISCELATO,KERAKOLL,8021704114017,building/materials,4.9,8021704114017,http://www.bricoman.it/negozio/rezzato/10010153,http://www.bricoman.it/media/foto_articoli/2012/3/10010153.jpg
10010164,MALTA ULTRARAPIDA KERABUILDECO KERAKOLL BLOCCAGGIO PERDITE  ACQUA ULTRACEM PRESA IMMEDIATA5kg,KERAKOLL,8021704114260,building/materials,7.9,8021704114260,http://www.bricoman.it/negozio/rezzato/10010164,http://www.bricoman.it/media/foto_articoli/2012/3/10010164.jpg
10029796,"RASANTE RASOBUILD KERAKOLL ECO TOP FINO BIANCO, 25kg SU TUTTI I FONDI IRREGOLARI",KERAKOLL,8021704120476,building/materials,18.9,8021704120476,http://www.bricoman.it/negozio/rezzato/10029796,http://www.bricoman.it/media/foto_articoli/2012/2/10029796.jpg
10032252,ELEVATORE ELETTRICO OFFICINE IORI DM150 PORTATA150kgVELOCITA21m/min LUNGHEZZA FUNE 25m,OFFICINE IORI,DM150,building/materials,351.48,8033201780244,http://www.bricoman.it/negozio/rezzato/10032252,http://www.bricoman.it/media/foto_articoli/2012/6/10032252.jpg
10032253,ELEVATORE ELETTRICO OFFICINE IORI DM200E PORTATA200kgVELOCITA21m/min LUNGHEZZA FUNE 25m,OFFICINE IORI,DM200E,building/materials,402.99,8033201780251,http://www.bricoman.it/negozio/rezzato/10032253,http://www.bricoman.it/media/foto_articoli/2012/5/10032253.JPG
10032246,ELEVATORE ELETTRICO OFFICINE IORI DM100E PORTATA100kgVELOCITA15m/min LUNGHEZZA FUNE 16m,OFFICINE IORI,DM100E,building/materials,242.4,8033201780336,http://www.bricoman.it/negozio/rezzato/10032246,http://www.bricoman.it/media/foto_articoli/2012/6/10032246.jpg
10032254,ELEVATORE OFFICINEIORI RAPIDO DM150/200V PORTATA150kgVELOCITA40m/min LUNGHEZZA FUNE 40m,OFFICINE IORI,DM150/200V,building/materials,500.96,8033201780442,http://www.bricoman.it/negozio/rezzato/10032254,http://www.bricoman.it/media/foto_articoli/2012/6/10032254.jpg
10032255,ELEVATORE OFFICINEIORI C/SBRACCIO CONDOR PORT.200kgVELOCITA'21m/min LUNGHEZZA FUNE 25m,OFFICINE IORI,DM200CONDOR,building/materials,595.9,8033201780503,http://www.bricoman.it/negozio/rezzato/10032255,http://www.bricoman.it/media/foto_articoli/2012/6/10032255.jpg
10038451,CONDIZIONATORE ON-OFF SAMSUNG 9000 BTU  ,SAMSUNG,8806071858173,Electrical,309,8806071858173,http://www.bricoman.it/negozio/rezzato/10038451,,
10038452,CONDIZIONATORE ON-OFF SAMSUNG 12000 BTU    ,SAMSUNG,8806071858203,Electrical,349,8806071858203,http://www.bricoman.it/negozio/rezzato/10038452,,
10017288,SOSPENSIONE VETRO/PLASTICA Ø40cm E27  ,GLOBO,9007371100439,Electrical,11.9,9007371100439,http://www.bricoman.it/negozio/rezzato/10017288,http://www.bricoman.it/media/foto_articoli/2012/3/10017288.jpg
10036949,SOSPENSIONE CORC GLOBO Ø30cm H185cm 1XE27 NON INCLUSA IN CORDA CHIARA TRATTATA,GLOBO,9007371143887,Electrical,38.9,9007371143887,http://www.bricoman.it/negozio/rezzato/10036949,http://www.bricoman.it/media/foto_articoli/2013/1/10036949.JPG
10038821,CONDIZIONATORE INVERTER LG 12000 BTU    ,LG,2000000072425,Electrical,499,2000000072425,http://www.bricoman.it/negozio/rezzato/10038821,,
10038831,CONDIZIONATORE INVERTER PANASONIC DUAL 9000+12000 BTU  ,PANASONIC,2RE18PKE,Electrical,1399,2000000072487,http://www.bricoman.it/negozio/rezzato/10038831,http://www.bricoman.it/media/foto_articoli/2013/4/10038831.jpg
10025678,BATTERIA AL PIOMBO 12V - 7Ah  ,COMELIT,38640704,Electrical,18.9,2000000079318,http://www.bricoman.it/negozio/rezzato/10025678,http://www.bricoman.it/media/foto_articoli/2012/4/10025678.jpg
10038925,WALKIE TALKIE COMUNICATOR + 2 CARICATORI + 2 SET DI BATTERIE ,AVIDSEN,100502,Electrical,29.9,3660211005026,http://www.bricoman.it/negozio/rezzato/10038925,,
10030373,"VIDEOCITOFONO LCD AVIDSEN 7"" CON UNITA' ESTERNA IN METALLO E VISIONE NOTTURNA 2 APERTURE",AVIDSEN,102168,Electrical,89.9,3660211021682,http://www.bricoman.it/negozio/rezzato/10030373,,
10032245,"VIDEOCITOFONO LCD AVIDSEN 7"" A COLORI ULTRA SLIM 2 FILI ",AVIDSEN,102267,Electrical,119,3660211022672,http://www.bricoman.it/negozio/rezzato/10032245,,
10025741,"VIDEOCITOFONO LCD AVIDSEN 7"" COLORI VIVAVOCE ",AVIDSEN,102269,Electrical,119,3660211022696,http://www.bricoman.it/negozio/rezzato/10025741,,
10031920,CAMPANELLO SENZA FILI AVIDSEN 230V 80 m 8 SUONERIE ,AVIDSEN,102303,Electrical,19.9,3660211023037,http://www.bricoman.it/negozio/rezzato/10031920,http://www.bricoman.it/media/foto_articoli/2012/4/10031920.bmp
