SKU,Product,Category,John Lewis URL,JL product code,Habitat URL,Heals URL,West Elm URL,Next URL,Next product code
SOFTTO001BRO-UK,"Otto 3 Seater Sofa, Tan Premium Leather",Upholstery,http://www.johnlewis.com/halo-groucho-large-sofa-old-saddle-nut-cocoa/p1587366,87038721,,http://healssofas.co.uk/sofas/balzac-large-sofa-by-matthew-hilton/invt/balzacsofa,,,
SOFQTI005GRE-UK,"Quentin 2 Seater Sofa, Lemongrass Green",Upholstery,http://www.johnlewis.com/john-lewis-gatsby-small-sofa/p1499420,87170208,http://www.habitat.co.uk/wilmot-green-fabric-2-seater-sofa/2-seater-sofas//fcp-product/22468,,http://www.westelm.co.uk/crosby-sofa-g998,,
SOFRTC005GRY-UK,"Ritchie 2 Seater Sofa, Pearl Grey",Upholstery,http://www.johnlewis.com/john-lewis-barbican-medium-sofa/p727054,87132671,http://www.habitat.co.uk/wilmot-grey-fabric-2-seater-sofa/2-seater-sofas//fcp-product/22473,,,,
SOFRTC022GRY-UK,"Ritchie 3 Seater Sofa, Anthracite Grey With Rainbow Buttons",Upholstery,http://www.johnlewis.com/john-lewis-barbican-large-sofa/p727053,87132663,http://www.habitat.co.uk/wilmot-grey-fabric-3-seater-sofa///fcp-product/22474,,http://www.westelm.co.uk/ainslie-sofa-h488-uk,,
CHARTC002GRY-UK,"Ritchie Armchair, Pearl Grey",Upholstery,http://www.johnlewis.com/john-lewis-louis-armchair/p1555154,87132032,http://www.habitat.co.uk/wilmot-grey-fabric-armchair/armchairs//fcp-product/22472,,,http://www.next.co.uk/homeware/sofas-chairs/nordic/size-chair-(1-seat)-fabric-versatile-plain-mid-grey-feet-lowretrotapered-light#fabric,
CHAROD002PTN-UK,Rodnik Shark Fin Chair,Upholstery,http://www.johnlewis.com/john-lewis-croft-collection-perth-armchair/p1129442,87142808,,http://healssofas.co.uk/armchairs/heals-flute-easy-chair/invt/flute,,,
SOFRUB010GRY-UK,"Rubens 3 seater sofa, Nickel Grey",Upholstery,,,,,,,
CHARUB001GRY-UK,"Rubens Wingback Armchair, Nickel Grey",Upholstery,http://www.johnlewis.com/john-lewis-thomas-armchair/p751242,87145387,http://www.habitat.co.uk/daborn-black-wool-mix-armchair///fcp-product/231878,http://healssofas.co.uk/armchairs/heals-forum-wing-chair/invt/forumchair,,,
SOFSCT002BRO-UK,"Scott 3 Seater Sofa, Vintage Brown Premium Leather",Upholstery,,,http://www.habitat.co.uk/chester-tan-leather-3-seater-sofa/leather-sofas//fcp-product/22522,http://healssofas.co.uk/sofas/heals-large-hepburn-sofa/invt/hepburnrange,http://www.westelm.co.uk/henry-leather-sofa-g436-uk,,
SOFSCT015BRO-UK,Scott 2 seater sofa,Upholstery,,,http://www.habitat.co.uk/chester-tan-leather-2-seater-sofa/leather-sofas//fcp-product/22521,http://healssofas.co.uk/sofas/heals-medium-hepburn-sofa/invt/hepburn_medium,,,
CHASCT001BRO-UK,"Scott Retro Armchair, Vintage Brown Premium Leather",Upholstery,http://www.johnlewis.com/john-lewis-milan-leather-armchair-black-vogue/p927287,87006501,http://www.habitat.co.uk/chester-brown-leather-armchair///fcp-product/29133,,http://www.westelm.co.uk/livingston-leather-club-chair-h861,,
BBGPIG002GRY-UK,"The Piggy Bag, Grey",Upholstery,,,,,,,
SOFTUBY01GRY-UK,"Tubby 2 Seater Sofa, Soft Grey",Upholstery,,,http://www.habitat.co.uk/momo-charcoal-fabric-2-seater-sofa/2-seater-sofas//fcp-product/282251,,,,
SOFTUBY13GRY-UK,Tubby 3 seater sofa,Upholstery,,,,,,,
CHATUBY02GRY-UK,Tubby armchair,Upholstery,,,http://www.habitat.co.uk/momo-teal-blue-fabric-armchair///fcp-product/282269,,,http://www.next.co.uk/homeware/sofas-chairs/conway/size-chair-(1-seat)-fabric-boucle-blend-light-dove-feet-highretrotapered-light#feet,
SOFVIT018GRY-UK,"Vittorio 3 Seater Sofa, Anthracite Grey",Upholstery,,,http://www.habitat.co.uk/sleigh-charcoal-fabric-3-seater-sofa/3-seater-sofas//fcp-product/282306,,,http://www.next.co.uk/homeware/sofas-chairs/sonoma-ii/size-large-sofa-(3-seats)-fabric-boucle-blend-dark-natural-feet-squareangle-light#feet,
SOFVIT003GRY-UK,"Vittorio Left Hand Facing Corner Sofa Group, Anthracite Grey",Upholstery,http://www.johnlewis.com/john-lewis-barbican-lhf-chaise-end-sofa/p747054,87132655,,,,http://www.next.co.uk/homeware/sofas-chairs/sonoma-ii/size-corner-chaise-right-hand-(4-seats)-fabric-boucle-blend-dark-natural-feet-squareangle-light#size,
CHAVIT013GRY-UK,Vittorio armchair,Upholstery,,,http://www.habitat.co.uk/hendricks-natural-fabric-armchair/armchairs//fcp-product/289778,,,,
SOFWLK006BLA-UK,"Walken 2 Seater Sofa, Black Premium Leather",Upholstery,http://www.johnlewis.com/halo-groucho-medium-leather-sofa/p1115451?colour=Old%20Saddle%20Black,87038707,http://www.habitat.co.uk/chester-black-leather-2-seater-sofa/leather-sofas//fcp-product/27920,http://healssofas.co.uk/sofas/heals-medium-hepburn-sofa/invt/hepburn_medium,,http://www.next.co.uk/homeware/sofas-chairs/sonoma-ii-leather/size-small-sofa-(2-seats)-fabric-columbia-black-feet-dark#feet,
SOFWLS001GRE-UK,"Wolseley 3 Seater Sofa, Wool Tweed",Upholstery,http://www.johnlewis.com/john-lewis-bailey-fixed-cover-large-sofa/p1123535,87134540,http://www.habitat.co.uk/alcott-fabric-3-seater-sofa-bed/3-seater-sofas//fcp-product/26716,http://healssofas.co.uk/sofas/heals-large-vita-sofa/invt/vitalarge,,,
SOFWLS002GRE-UK,Wolseley 2 seater sofa,Upholstery,,,,http://healssofas.co.uk/sofas/heals-medium-vita-sofa/invt/vitamedium,,,
CHAWLS001GRE-UK,Wolseley armchair,Upholstery,,,,http://healssofas.co.uk/armchairs/heals-vita-armchair/invt/vitaarmchair,,,
SOFWLS023BEI-UK,Wolseley corner sofa,Upholstery,,,,,,,
SOFWLS021GRE-UK,Wolseley corner group,Upholstery,,,,,,,
SOFYOK007GRY-UK,"Yoko Sofa bed, Cygnet Grey",Upholstery,http://www.johnlewis.com/house-by-john-lewis-duo-sofa-bed/p917181?colour=Beige,87068102,,http://healssofas.co.uk/sofas/ambrose-hinge-sofa-bed-by-per-weiss/invt/661843,http://www.westelm.co.uk/tillary-sofa-f985-uk,,
