Product Title,Lens Type,Vendor,AU,NZ,$au,$NZ,Priority,PLU
easyvision Irisian Toric,Monthly Toric,easyvision,https://www.specsavers.com.au/contact-lenses/monthly-toric/easyvision-irisian-toric,https://www.specsavers.co.nz/contact-lenses/monthly-toric/easyvision/irisian," 45,60 "," 42,75 ",,4000658
easyvision Lacrima Multifocal,Monthly Toric,easyvision,https://www.specsavers.com.au/contact-lenses/monthly-multifocal/easyvision-lacrima-multifocal,https://www.specsavers.co.nz/contact-lenses/monthly-multifocal/easyvision-lacrima-multifocal," 49,50 "," 55,00 ",,4002311
easyvision Lacrima Toric,Monthly Toric,easyvision,https://www.specsavers.com.au/contact-lenses/monthly-toric/easyvision-lacrima-toric,https://www.specsavers.co.nz/contact-lenses/monthly-toric/easyvision-lacrima-toric," 48,00 "," 50,00 ",,4001310
easyvision Opteyes Toric,Monthly Toric,easyvision,https://www.specsavers.com.au/contact-lenses/monthly-toric/easyvision-opteyes-toric,https://www.specsavers.co.nz/contact-lenses/monthly-toric/easyvision-opteyes-toric," 51,00 "," 50,00 ",,4000454
easyvision Aquayes,Monthly,easyvision,https://www.specsavers.com.au/contact-lenses/monthly-disposables/easyvision-aquayes,https://www.specsavers.co.nz/contact-lenses/monthly-disposables/easyvision-aquayes," 35,63 "," 39,90 ",,4000511
easyvision Irisian Multifocal,Monthly Multifocal,easyvision,https://www.specsavers.com.au/contact-lenses/monthly-multifocal/easyvision/irisian,https://www.specsavers.co.nz/contact-lenses/monthly-multifocal/easyvision-irisian-multifocal," 42,75 "," 47,50 ",,4000672
easyvision Opteyes Multifocal,Monthly Multifocal,easyvision,https://www.specsavers.com.au/contact-lenses/monthly-multifocal/easyvision-opteyes-multifocal,https://www.specsavers.co.nz/contact-lenses/monthly-multifocal/easyvision-opteyes-multifocal," 51,00 "," 55,00 ",,4001844
easyvision Vusion Daily Multifocal,Daily Multifocal,easyvision,https://www.specsavers.com.au/contact-lenses/daily-multifocal/easyvision-vusion-daily-multifocal,https://www.specsavers.co.nz/contact-lenses/daily-multifocal/easyvision-vusion-daily-multifocal," 37,00 "," 45,00 ",,4001999
easyvision Sential,Daily,easyvision,https://www.specsavers.com.au/contact-lenses/daily-disposables/easyvision-sential,https://www.specsavers.co.nz/contact-lenses/daily-disposables/easyvision-sential," 26,00 "," 29,00 ",,4002444
easyvision Linarial,Daily,easyvision,https://www.specsavers.com.au/contact-lenses/daily-disposables/easyvision-linarial,https://www.specsavers.co.nz/contact-lenses/daily-disposables/easyvision-linarial," 33,00 "," 38,00 ",,5000009
easyvision Magic,Daily,easyvision,https://www.specsavers.com.au/contact-lenses/daily-disposables/easyvision-magic,https://www.specsavers.co.nz/contact-lenses/daily-disposables/easyvision-magic," 32,00 "," 35,00 ",,4002404
