id,title,description,google_product_category,product_type,link,image_link,availability,price ex VAT,brand,mpn
WX-BS8305-B1-34D4,"Cisco WX-BS8305-B1-34D4 - 8305 Basestation, 3400-3600 MHz, -48 VDC","8305 Basestation, 3400-3600 MHz, -48 VDC",Electronics > Networking,Networking,http://shop.mcidiventi.co.uk/product.php?productid=134581&sl=EN,http://shop.mcidiventi.co.uk/image.php?type=P&id=134581,available for order,16509.43333,Cisco,WX-BS8305-B1-34D4
WX-CBL-B3-R06-C20=,"Cisco WX-CBL-B3-R06-C20= - Cables, RG6 Bundled (3), N-N, 20 Meters","Cables, RG6 Bundled (3), N-N, 20 Meters",Electronics > Networking,Networking,http://shop.mcidiventi.co.uk/product.php?productid=134582&sl=EN,http://shop.mcidiventi.co.uk/image.php?type=P&id=134582,available for order,519.5,Cisco,WX-CBL-B3-R06-C20=
WX-CBL-B3-R06-C35=,"Cisco WX-CBL-B3-R06-C35= - Cables, RG6 Bundled (3), N-N, 35 Meters","Cables, RG6 Bundled (3), N-N, 35 Meters",Electronics > Networking,Networking,http://shop.mcidiventi.co.uk/product.php?productid=134583&sl=EN,http://shop.mcidiventi.co.uk/image.php?type=P&id=134583,available for order,660.3833333,Cisco,WX-CBL-B3-R06-C35=
WX-CBL-B3-R06-C55=,"Cisco WX-CBL-B3-R06-C55= - Cables, RG6 Bundled (3), N-N, 55 Meters","Cables, RG6 Bundled (3), N-N, 55 Meters",Electronics > Networking,Networking,http://shop.mcidiventi.co.uk/product.php?productid=134584&sl=EN,http://shop.mcidiventi.co.uk/image.php?type=P&id=134584,available for order,847.4833333,Cisco,WX-CBL-B3-R06-C55=
WX-CBL-B3-R11-C75=,"Cisco WX-CBL-B3-R11-C75= - Cables, RG11 Bundled (3), N-N, 75 Meters","Cables, RG11 Bundled (3), N-N, 75 Meters",Electronics > Networking,Networking,http://shop.mcidiventi.co.uk/product.php?productid=134585&sl=EN,http://shop.mcidiventi.co.uk/image.php?type=P&id=134585,available for order,1459.433333,Cisco,WX-CBL-B3-R11-C75=
WX-CBL-B3-R11-C90=,"Cisco WX-CBL-B3-R11-C90= - Cables, RG11 Bundled (3), N-N, 90 Meters","Cables, RG11 Bundled (3), N-N, 90 Meters",Electronics > Networking,Networking,http://shop.mcidiventi.co.uk/product.php?productid=134586&sl=EN,http://shop.mcidiventi.co.uk/image.php?type=P&id=134586,available for order,1703.766667,Cisco,WX-CBL-B3-R11-C90=
WX-CBL-B9-R06-C20=,"Cisco WX-CBL-B9-R06-C20= - Cables, RG6 Bundled (9), N-N, 20 Meters","Cables, RG6 Bundled (9), N-N, 20 Meters",Electronics > Networking,Networking,http://shop.mcidiventi.co.uk/product.php?productid=134587&sl=EN,http://shop.mcidiventi.co.uk/image.php?type=P&id=134587,available for order,702.2,Cisco,WX-CBL-B9-R06-C20=
WX-CBL-B9-R06-C35=,"Cisco WX-CBL-B9-R06-C35= - Cables, RG6 Bundled (9), N-N, 35 Meters","Cables, RG6 Bundled (9), N-N, 35 Meters",Electronics > Networking,Networking,http://shop.mcidiventi.co.uk/product.php?productid=134588&sl=EN,http://shop.mcidiventi.co.uk/image.php?type=P&id=134588,available for order,924.5333333,Cisco,WX-CBL-B9-R06-C35=
WX-CBL-B9-R06-C55=,"Cisco WX-CBL-B9-R06-C55= - Cables, RG6 Bundled (9), N-N, 55 Meters","Cables, RG6 Bundled (9), N-N, 55 Meters",Electronics > Networking,Networking,http://shop.mcidiventi.co.uk/product.php?productid=134589&sl=EN,http://shop.mcidiventi.co.uk/image.php?type=P&id=134589,available for order,1197.483333,Cisco,WX-CBL-B9-R06-C55=
WX-CBL-B9-R11-C75=,"Cisco WX-CBL-B9-R11-C75= - Cables, RG11 Bundled (9), N-N, 75 Meters","Cables, RG11 Bundled (9), N-N, 75 Meters",Electronics > Networking,Networking,http://shop.mcidiventi.co.uk/product.php?productid=134590&sl=EN,http://shop.mcidiventi.co.uk/image.php?type=P&id=134590,available for order,2102.2,Cisco,WX-CBL-B9-R11-C75=
WX-CBL-B9-R11-C90=,"Cisco WX-CBL-B9-R11-C90= - Cables, RG11 Bundled (9), N-N, 90 Meters","Cables, RG11 Bundled (9), N-N, 90 Meters",Electronics > Networking,Networking,http://shop.mcidiventi.co.uk/product.php?productid=134591&sl=EN,http://shop.mcidiventi.co.uk/image.php?type=P&id=134591,available for order,2357.55,Cisco,WX-CBL-B9-R11-C90=
WX-CBL-J1-240-C05=,"Cisco WX-CBL-J1-240-C05= - Cables, LMR240, N-N, 5 Meters","Cables, LMR240, N-N, 5 Meters",Electronics > Networking,Networking,http://shop.mcidiventi.co.uk/product.php?productid=134592&sl=EN,http://shop.mcidiventi.co.uk/image.php?type=P&id=134592,available for order,41.81666667,Cisco,WX-CBL-J1-240-C05=
WX-CBL-J2-FLX-C03=,"Cisco WX-CBL-J2-FLX-C03= - Cables, CELLFLEX, Jumper Set of 2,","Cables, CELLFLEX, Jumper Set of 2, N-N(90), 3 Meters",Electronics > Networking,Networking,http://shop.mcidiventi.co.uk/product.php?productid=134593&sl=EN,http://shop.mcidiventi.co.uk/image.php?type=P&id=134593,available for order,299.3666667,Cisco,WX-CBL-J2-FLX-C03=
WX-CBL-J3-R06-C03=,"Cisco WX-CBL-J3-R06-C03= - Cables, RG6, Jumper Set of 3, QMA-N, 3","Cables, RG6, Jumper Set of 3, QMA-N, 3 Meters",Electronics > Networking,Networking,http://shop.mcidiventi.co.uk/product.php?productid=134594&sl=EN,http://shop.mcidiventi.co.uk/image.php?type=P&id=134594,available for order,253.1416667,Cisco,WX-CBL-J3-R06-C03=
WX-CBL-J9-240-C03=,"Cisco WX-CBL-J9-240-C03= - Cables, LMR240, Jumper Set of 9, QMA-QMA,","Cables, LMR240, Jumper Set of 9, QMA-QMA, 3 Meters",Electronics > Networking,Networking,http://shop.mcidiventi.co.uk/product.php?productid=134595&sl=EN,http://shop.mcidiventi.co.uk/image.php?type=P&id=134595,available for order,438.05,Cisco,WX-CBL-J9-240-C03=
WX-CBL-J9-R06-C03=,"Cisco WX-CBL-J9-R06-C03= - Cables, RG6, Jumper Set of 9, QMA-N, 3","Cables, RG6, Jumper Set of 9, QMA-N, 3 Meters",Electronics > Networking,Networking,http://shop.mcidiventi.co.uk/product.php?productid=134596&sl=EN,http://shop.mcidiventi.co.uk/image.php?type=P&id=134596,available for order,420.4416667,Cisco,WX-CBL-J9-R06-C03=
WX-COMB-342-A1-00=,"Cisco WX-COMB-342-A1-00= - Combiner, 3400-3625 MHz","Combiner, 3400-3625 MHz",Electronics > Networking,Networking,http://shop.mcidiventi.co.uk/product.php?productid=134597&sl=EN,http://shop.mcidiventi.co.uk/image.php?type=P&id=134597,available for order,3519.808333,Cisco,WX-COMB-342-A1-00=
WXSS3-1UP-C-A-LIC,Cisco WXSS3-1UP-C-A-LIC - WXSS 3.X - 1 User Perpetual Lic - Com Tier,WXSS 3.X - 1 User Perpetual Lic - Com Tier A (1-249),Electronics > Networking,Networking,http://shop.mcidiventi.co.uk/product.php?productid=338312&sl=EN,http://shop.mcidiventi.co.uk/image.php?type=P&id=338312,available for order,73,Cisco,WXSS3-1UP-C-A-LIC
WXSS3-1UP-C-B-LIC,Cisco WXSS3-1UP-C-B-LIC - WXSS 3.X - 1 User Perpetual Lic - Com Tier,WXSS 3.X - 1 User Perpetual Lic - Com Tier B (250-999),Electronics > Networking,Networking,http://shop.mcidiventi.co.uk/product.php?productid=338313&sl=EN,http://shop.mcidiventi.co.uk/image.php?type=P&id=338313,available for order,69,Cisco,WXSS3-1UP-C-B-LIC
WXSS3-1UP-C-C-LIC,Cisco WXSS3-1UP-C-C-LIC - WXSS 3.X - 1 User Perpetual Lic - Com Tier,WXSS 3.X - 1 User Perpetual Lic - Com Tier C (1K-9999),Electronics > Networking,Networking,http://shop.mcidiventi.co.uk/product.php?productid=338314&sl=EN,http://shop.mcidiventi.co.uk/image.php?type=P&id=338314,available for order,64,Cisco,WXSS3-1UP-C-C-LIC
WXSS3-1UP-C-D-LIC,Cisco WXSS3-1UP-C-D-LIC - WXSS 3.X - 1 User Perpetual Lic - Com Tier,WXSS 3.X - 1 User Perpetual Lic - Com Tier D (10K- 24999),Electronics > Networking,Networking,http://shop.mcidiventi.co.uk/product.php?productid=338315&sl=EN,http://shop.mcidiventi.co.uk/image.php?type=P&id=338315,available for order,60,Cisco,WXSS3-1UP-C-D-LIC
WXSS3-1UP-C-E-LIC,Cisco WXSS3-1UP-C-E-LIC - WXSS 3.X - 1 User Perpetual Lic - Com Tier,WXSS 3.X - 1 User Perpetual Lic - Com Tier E (25K- 49999),Electronics > Networking,Networking,http://shop.mcidiventi.co.uk/product.php?productid=338316&sl=EN,http://shop.mcidiventi.co.uk/image.php?type=P&id=338316,available for order,54,Cisco,WXSS3-1UP-C-E-LIC
WXSS3-1UP-C-F-LIC,Cisco WXSS3-1UP-C-F-LIC - WXSS 3.X - 1 User Perpetual Lic - Com Tier,WXSS 3.X - 1 User Perpetual Lic - Com Tier F (50K- 74999),Electronics > Networking,Networking,http://shop.mcidiventi.co.uk/product.php?productid=338317&sl=EN,http://shop.mcidiventi.co.uk/image.php?type=P&id=338317,available for order,48,Cisco,WXSS3-1UP-C-F-LIC
WXSS3-1UP-C-G-LIC,Cisco WXSS3-1UP-C-G-LIC - WXSS 3.X - 1 User Perpetual Lic - Com Tier,WXSS 3.X - 1 User Perpetual Lic - Com Tier G (75K or more),Electronics > Networking,Networking,http://shop.mcidiventi.co.uk/product.php?productid=338318&sl=EN,http://shop.mcidiventi.co.uk/image.php?type=P&id=338318,available for order,42,Cisco,WXSS3-1UP-C-G-LIC
WXSS3-1UP-E-A-LIC,Cisco WXSS3-1UP-E-A-LIC - WXSS 3.X - 1 User Perpetual Lic - Edu Tier,WXSS 3.X - 1 User Perpetual Lic - Edu Tier A (1-249),Electronics > Networking,Networking,http://shop.mcidiventi.co.uk/product.php?productid=338319&sl=EN,http://shop.mcidiventi.co.uk/image.php?type=P&id=338319,available for order,40,Cisco,WXSS3-1UP-E-A-LIC
WXSS3-1UP-E-B-LIC,Cisco WXSS3-1UP-E-B-LIC - WXSS 3.X - 1 User Perpetual Lic - Edu Tier,WXSS 3.X - 1 User Perpetual Lic - Edu Tier B (250-999),Electronics > Networking,Networking,http://shop.mcidiventi.co.uk/product.php?productid=338320&sl=EN,http://shop.mcidiventi.co.uk/image.php?type=P&id=338320,available for order,38,Cisco,WXSS3-1UP-E-B-LIC
WXSS3-1UP-E-C-LIC,Cisco WXSS3-1UP-E-C-LIC - WXSS 3.X - 1 User Perpetual Lic - Edu Tier,WXSS 3.X - 1 User Perpetual Lic - Edu Tier C (1K-9999),Electronics > Networking,Networking,http://shop.mcidiventi.co.uk/product.php?productid=338321&sl=EN,http://shop.mcidiventi.co.uk/image.php?type=P&id=338321,available for order,35,Cisco,WXSS3-1UP-E-C-LIC
WXSS3-1UP-E-D-LIC,Cisco WXSS3-1UP-E-D-LIC - WXSS 3.X - 1 User Perpetual Lic - Edu Tier,WXSS 3.X - 1 User Perpetual Lic - Edu Tier D (10K- 24999),Electronics > Networking,Networking,http://shop.mcidiventi.co.uk/product.php?productid=338322&sl=EN,http://shop.mcidiventi.co.uk/image.php?type=P&id=338322,available for order,33,Cisco,WXSS3-1UP-E-D-LIC
WXSS3-1UP-E-E-LIC,Cisco WXSS3-1UP-E-E-LIC - WXSS 3.X - 1 User Perpetual Lic - Edu Tier,WXSS 3.X - 1 User Perpetual Lic - Edu Tier E (25K- 49999),Electronics > Networking,Networking,http://shop.mcidiventi.co.uk/product.php?productid=338323&sl=EN,http://shop.mcidiventi.co.uk/image.php?type=P&id=338323,available for order,30,Cisco,WXSS3-1UP-E-E-LIC
WXSS3-1UP-E-F-LIC,Cisco WXSS3-1UP-E-F-LIC - WXSS 3.X - 1 User Perpetual Lic - Edu Tier,WXSS 3.X - 1 User Perpetual Lic - Edu Tier F (50K- 74999),Electronics > Networking,Networking,http://shop.mcidiventi.co.uk/product.php?productid=338324&sl=EN,http://shop.mcidiventi.co.uk/image.php?type=P&id=338324,available for order,26,Cisco,WXSS3-1UP-E-F-LIC
WXSS3-1UP-E-G-LIC,Cisco WXSS3-1UP-E-G-LIC - WXSS 3.X - 1 User Perpetual Lic - Edu Tier,WXSS 3.X - 1 User Perpetual Lic - Edu Tier G (75K or more),Electronics > Networking,Networking,http://shop.mcidiventi.co.uk/product.php?productid=338325&sl=EN,http://shop.mcidiventi.co.uk/image.php?type=P&id=338325,available for order,23,Cisco,WXSS3-1UP-E-G-LIC
WXSS3-1UP-LRG-LIC,Cisco WXSS3-1UP-LRG-LIC - WXSS 3.X - 1 User Perpetual Lic - Large Qty,WXSS 3.X - 1 User Perpetual Lic - Large Qty (100K or More),Electronics > Networking,Networking,http://shop.mcidiventi.co.uk/product.php?productid=338326&sl=EN,http://shop.mcidiventi.co.uk/image.php?type=P&id=338326,available for order,33,Cisco,WXSS3-1UP-LRG-LIC
WXSS3-1UP-PNR-LIC,Cisco WXSS3-1UP-PNR-LIC - WXSS 3.X - 1 User Perpetual Lic - Partner,"WXSS 3.X - 1 User Perpetual Lic - Partner (1,000 Max)",Electronics > Networking,Networking,http://shop.mcidiventi.co.uk/product.php?productid=338327&sl=EN,http://shop.mcidiventi.co.uk/image.php?type=P&id=338327,available for order,10,Cisco,WXSS3-1UP-PNR-LIC
WXSS3-PNR-SW-K9,Cisco WXSS3-PNR-SW-K9 - WebEx Social Server 3.X - Software Media Kit,WebEx Social Server 3.X - Software Media Kit for Partner,Electronics > Networking,Networking,http://shop.mcidiventi.co.uk/product.php?productid=338328&sl=EN,http://shop.mcidiventi.co.uk/image.php?type=P&id=338328,available for order,37,Cisco,WXSS3-PNR-SW-K9
WXSS3-PNR-SW-K9=,Cisco WXSS3-PNR-SW-K9= - WebEx Social Server 3.X - Software Media Kit,WebEx Social Server 3.X - Software Media Kit for Partner,Electronics > Networking,Networking,http://shop.mcidiventi.co.uk/product.php?productid=338329&sl=EN,http://shop.mcidiventi.co.uk/image.php?type=P&id=338329,available for order,37,Cisco,WXSS3-PNR-SW-K9=
WXSS3-SW-K9,Cisco WXSS3-SW-K9 - WebEx Social Server 3.X - Software Media Kit,WebEx Social Server 3.X - Software Media Kit,Electronics > Networking,Networking,http://shop.mcidiventi.co.uk/product.php?productid=338330&sl=EN,http://shop.mcidiventi.co.uk/image.php?type=P&id=338330,available for order,1471,Cisco,WXSS3-SW-K9
WXSS3-SW-K9=,Cisco WXSS3-SW-K9= - WebEx Social Server 3.X - Software Media Kit,WebEx Social Server 3.X - Software Media Kit,Electronics > Networking,Networking,http://shop.mcidiventi.co.uk/product.php?productid=338331&sl=EN,http://shop.mcidiventi.co.uk/image.php?type=P&id=338331,available for order,1471,Cisco,WXSS3-SW-K9=
WX-SW-BS8305-UG-A,"Cisco WX-SW-BS8305-UG-A - Software License, Per 8305, SCDMA to","Software License, Per 8305, SCDMA to 802.16e (Up to Rls 7)",Electronics > Networking,Networking,http://shop.mcidiventi.co.uk/product.php?productid=134598&sl=EN,http://shop.mcidiventi.co.uk/image.php?type=P&id=134598,available for order,3706.916667,Cisco,WX-SW-BS8305-UG-A
WX-SW-EMSSVR-R6.2=,"Cisco WX-SW-EMSSVR-R6.2= - EMS Software License, per EMS, 802.16e,","EMS Software License, per EMS, 802.16e, Release 6.2",Electronics > Networking,Networking,http://shop.mcidiventi.co.uk/product.php?productid=134599&sl=EN,http://shop.mcidiventi.co.uk/image.php?type=P&id=134599,available for order,27515.71667,Cisco,WX-SW-EMSSVR-R6.2=
