Item,Category
28274,Spirit
5145,Spirit
16082,Spirit
24613,Spirit
14746,Spirit
22753,Spirit
4648,Spirit
6692,Spirit
17700,Spirit
27254,Spirit
20276,Spirit
21892,Spirit
25424,Spirit
3823,Spirit
5567,Spirit
13508,Spirit
1667,Spirit
12037,Spirit
21970,Spirit
17704,Spirit
16521,Spirit
1825,Spirit
19870,Spirit
26222,Spirit
25658,Spirit
20059,Spirit
27624,Spirit
15955,Spirit
12225,Spirit
18619,Spirit
11555,Spirit
232,Spirit
18152,Spirit
22027,Spirit
34044,Spirit
11554,Spirit
27739,Spirit
3893,Spirit
27472,Spirit
2886,Spirit
5689,Spirit
10367,Spirit
18112,Spirit
23061,Spirit
1068,Spirit
28080,Spirit
26103,Spirit
24991,Spirit
25368,Spirit
27888,Spirit
25133,Spirit
11408,Spirit
6929,Spirit
24993,Spirit
4418,Spirit
25483,Spirit
15886,Spirit
34595,Spirit
10515,Spirit
8924,Spirit
1399,Spirit
23181,Spirit
12992,Spirit
35371,Spirit
25279,Spirit
9741,Spirit
27612,Spirit
2029,Spirit
18501,Spirit
21958,Spirit
5334,Spirit
14259,Spirit
10079,Spirit
19907,Spirit
29473,Spirit
866,Spirit
25256,Spirit
13578,Spirit
28553,Spirit
23456,Spirit
35698,Spirit
1020,Spirit
18243,Spirit
1788,Spirit
11521,Spirit
33299,Spirit
26056,Spirit
1047,Spirit
25149,Spirit
12336,Spirit
18233,Spirit
26767,Spirit
21520,Spirit
23471,Spirit
31575,Spirit
35099,Spirit
18141,Spirit
8062,Spirit
11234,Spirit
16095,Spirit
26702,Spirit
19265,Spirit
23372,Spirit
6105,Spirit
12694,Spirit
27573,Spirit
20314,Spirit
25693,Spirit
21018,Spirit
19953,Spirit
17936,Spirit
23090,Spirit
1751,Spirit
1752,Spirit
17562,Spirit
17758,Spirit
26677,Spirit
642,Spirit
19944,Spirit
21938,Spirit
24817,Spirit
6365,Spirit
3531,Spirit
15899,Spirit
34558,Spirit
8151,Spirit
18056,Spirit
13285,Spirit
10881,Spirit
27342,Spirit
25669,Spirit
23606,Wine
20429,Wine
18975,Wine
18673,Wine
11631,Wine
34608,Wine
16808,Wine
,Wine
2895,Wine
18559,Wine
13880,Wine
16299,Wine
17708,Wine
15357,Wine
33617,Wine
15435,Wine
11966,Wine
21189,Wine
13119,Wine
29919,Wine
2582,Wine
24995,Wine
21816,Wine
11644,Wine
12799,Wine
19374,Wine
31160,Wine
21814,Wine
4635,Wine
22501,Wine
31156,Wine
10538,Wine
11485,Wine
8444,Wine
22865,Wine
23828,Wine
15785,Wine
766,Wine
6638,Wine
25395,Wine
15469,Wine
14308,Wine
13073,Wine
12778,Wine
35873,Wine
15284,Wine
22512,Wine
13580,Wine
21111,Wine
13393,Wine
34605,Wine
13048,Wine
5895,Wine
14502,Wine
7714,Wine
14307,Wine
16086,Wine
19826,Wine
28330,Wine
23605,Wine
26482,Wine
17012,Wine
9556,Wine
10967,Wine
18970,Wine
11343,Wine
29921,Wine
15428,Wine
30334,Wine
11643,Wine
16988,Wine
36630,Wine
9214,Wine
24570,Wine
2158,Wine
6387,Wine
34289,Wine
21817,Wine
16824,Wine
30358,Wine
13124,Wine
18810,Wine
26020,Wine
21093,Wine
7582,Wine
21176,Wine
9554,Wine
3457,Wine
28092,Wine
11336,Wine
33652,Wine
11785,Wine
23075,Wine
2347,Wine
24073,Wine
30663,Wine
15666,Wine
15349,Wine
5699,Wine
13910,Wine
