identifier,sku,name,price,url
,,"Marketing / HBO Leergang Management, Economie en Recht",2080.0,http://www.scheidegger.nl/opleiding/2012-SD-MHBO-HBO-opleidingen-en-Leergangen-HBO-Leergang-Management-Economie-en-Recht.html
,,Marketing / MBO Marketingmedewerker (niveau 4),2730.0,http://www.scheidegger.nl/opleiding/2012-SD-Basisopleidingen-en-MBO-MBO-Marketingmedewerker-niveau-4.html
,,Sales en Accountmanagement / Basisopleiding Verkoopbinnendienst,1200.0,http://www.scheidegger.nl/opleiding/2012-SD-Basisopleidingen-en-MBO-Basisopleiding-Verkoopbinnendienst.html
,,Sales en Accountmanagement / MHBO Sales- en Accountmanagement,1530.0,http://www.scheidegger.nl/opleiding/2012-SD-MHBO-HBO-opleidingen-en-Leergangen-MHBO-Sales-en-Accountmanagement.html
,,Sales en Accountmanagement / HBO Leergang Sales- en Accountmanagement,2080.0,http://www.scheidegger.nl/opleiding/2012-SD-MHBO-HBO-opleidingen-en-Leergangen-HBO-Leergang-Sales-en-Accountmanagement.html
,,Sales en Accountmanagement / MBO Verkoper Reizen (niveau 3),1800.0,http://www.scheidegger.nl/opleiding/2012-SD-Basisopleidingen-en-MBO-MBO-Verkoper-Reizen-niveau-3.html
,,Sales en Accountmanagement / MBO Verkoper Reizen,1200.0,http://www.scheidegger.nl/opleiding/2012-SD-Basisopleidingen-en-MBO-MBO-Verkoper-Reizen.html
,,Sales en Accountmanagement / MBO Telefonische Klantenservice,880.0,http://www.scheidegger.nl/opleiding/2012-SD-Basisopleidingen-en-MBO-MBO-Telefonische-Klantenservice.html
,,Sales en Accountmanagement / MBO Teamleider Contactcenter (niveau 4),2730.0,http://www.scheidegger.nl/opleiding/2012-SD-Basisopleidingen-en-MBO-MBO-Teamleider-contactcenter-niveau-4.html
,,Sales en Accountmanagement / MBO Professioneel Verkopen,880.0,http://www.scheidegger.nl/opleiding/2012-SD-Basisopleidingen-en-MBO-MBO-Professioneel-Verkopen.html
,,Sales en Accountmanagement / MBO Junior Accountmanager (niveau 4),2730.0,http://www.scheidegger.nl/opleiding/2012-SD-Basisopleidingen-en-MBO-MBO-Junior-Accountmanager-niveau-4.html
,,Sales en Accountmanagement / MBO Commercieel Medewerker Contactcenter (niveau 3),1800.0,http://www.scheidegger.nl/opleiding/2012-SD-Basisopleidingen-en-MBO-MBO-Commercieel-Medewerker-Contactcenter-niveau-3.html
,,Sales en Accountmanagement / MBO Commercieel Medewerker Buitendienst (niveau 3),1800.0,http://www.scheidegger.nl/opleiding/2012-SD-Basisopleidingen-en-MBO-MBO-Commercieel-Medewerker-Buitendienst-niveau-3.html
,,Sales en Accountmanagement / MBO Commercieel Medewerker Binnendienst (niveau 3),1800.0,http://www.scheidegger.nl/opleiding/2012-SD-Basisopleidingen-en-MBO-MBO-Commercieel-Medewerker-Binnendienst-niveau-3.html
,,Sales en Accountmanagement / MBO Commercieel Medewerker Binnendienst,1200.0,http://www.scheidegger.nl/opleiding/2012-SD-Basisopleidingen-en-MBO-MBO-Commercieel-Medewerker-Binnendienst.html
,,Sales en Accountmanagement / MBO Accountmanagement,1200.0,http://www.scheidegger.nl/opleiding/2012-SD-Basisopleidingen-en-MBO-MBO-Accountmanagement.html
