"Code","15/06/2016"
"1756014HBUFA914",51.6
"1756014HBUKUKH17",50.81
"1756014HBUKUKH27",52.33
"1756014TBUKUKH27",51.9
"1756015HBRB250FZ",81.55
"1756015HBUFA914",56.45
"1756015HBUGTECO",55.38
"1756015HBUGTWIN",
"1756015HBUKUKH17",
"1756015HBUKUKH27",57
"1756015HCOECO3",86.46
"1756015HDUSP300",65.47
"1756015HGEALTCOM",63.31
"1756015TDUSTREE2",76.8
"1756015VDUSP200",87.17
"1756016HBRB250H",98.91
"1756016HDUSP2030",
"1756019QBREP500",125.51
"1756019QBREP500B",124.85
"1756513TBRB250",68.93
"1756513TBUFA828",45.29
"1756513TBUGTECO",42.75
"1756513TBUKUKH17",50.26
"1756513TCOECO3",74.67
"1756513TGEALTCOM",52.17
"1756513TGOGT3",
"1756513TMIE3BGN",75.96
"1756514HBREP150",74.27
"1756514HBUFA912",51.36
"1756514HBUFA914",51.53
"1756514HBUKUKH17",38.73
"1756514HBUKUKH27",52.33
"1756514HCOECO3",81.59
"1756514HGEALTHP",69.79
"1756514HGODURA",74.47
"1756514HMISAVE",82.5
"1756514HMIXCLIMA",68.07
"1756514HTOCF1",40.68
"1756514R6BUEN616",59.61
"1756514R6BUFAR51",63.97
"1756514R6BUGTEX",61.95
"1756514R6BUGTMPR",61.57
"1756514R6BUKU857",59.46
"1756514R6COVA100",80.81
"1756514R6GEEURO2",73.96
"1756514R6MIAGILI",89.75
"1756514R6PICARR",80.07
"1756514RFBUFA828",53.92
"1756514RFBUFA832",49.27
"1756514RFBUGTECO",51.81
"1756514RFMIAGIL",69.03
"1756514TBRA001",50.32
"1756514TBRB250",48.82
"1756514TBRB250FI",45.85
"1756514TBRB280",43.78
"1756514TBREP150T",47.62
"1756514TBREP25T",47.63
"1756514TBRIEP150",60.76
"1756514TBRLM30MS",65.11
"1756514TBUEN816",41.61
"1756514TBUFA832",47.41
"1756514TBUFAAS20",54.91
"1756514TBUGTFE1C",
"1756514TBUGTVP1",44.01
"1756514TBUGTWIN",54.87
"1756514TBUGTWTP",
"1756514TBUKUHA31",45.21
"1756514TBUKUK27A",44.69
"1756514TBUKUKH17",39.9
"1756514TBUKUKH21",58.95
"1756514TBUKUKH27",44.69
"1756514TBUKUKW23",58.95
"1756514TBUKUWP51",45.84
"1756514TCOCEC5",53.49
"1756514TCOECO3",47.34
"1756514TCOECO5",62.03
"1756514TCOPREM2E",48.85
"1756514TCOPREM5",49.61
"1756514TDUSTREE2",42.97
"1756514TDUSTREET",52.85
"1756514TDUSTRER2",60.6
"1756514TDUSTRRES",53.09
"1756514TGEALTAS",50.37
"1756514TGEALTCOM",51
"1756514TGEALTCXL",61.38
"1756514TGEALTWIN",57.55
"1756514TGODURA",
"1756514TGOEFFCO",53.39
"1756514TGOEFFCOM",45.83
"1756514TGOEFGR",
"1756514TGOULGRP8",
"1756514TGOULTG9",65.59
"1756514TGOVECT5+",50.13
"1756514TKORMORAN",51.46
"1756514TMIAPLIN4",67.62
"1756514TMISAVE",50.26
"1756514TPIP1CNTV",46.69
"1756514TPIP4",45.66
"1756514TPIW190S3",64.62
"1756514TTONE03",44.15
"1756514TTONE03XL",50.17
"1756515HBREP25",71.08
"1756515HBUEN816",48.77
"1756515HBUFA912",56.4
"1756515HBUFA914",53.8
"1756515HBUGTFE1",52.63
"1756515HBUGTVP1",52.2
"1756515HBUKUKH17",50.91
"1756515HBUKUKH27",56.04
"1756515HCOPREM2S",77.94
"1756515HDUBLURES",59.5
"1756515HDUFSTRSP",75.91
"1756515HGEALTAS",58.42
"1756515HGEALTCOM",62.71
"1756515HMIALPNA4",63.21
"1756515HMISAV+",78.27
"1756515HMISAVE",
"1756515HMISAVE+",64.55
"1756515HMISAVER",67.17
"1756515HPICINTAS",76.18
"1756515HPIP1CINT",
"1756515HPIP1CIVE",58.89
"1756515HTOCF2",50.34
"1756515SBREP25",58.89
"1756515TBRB250",69.94
"1756515TBRB250T",51.6
"1756515TBRB391",54.55
"1756515TBUFAAS20",63.24
"1756515TBUGTWIN",55.71
"1756515TBUGTWTP",
"1756515TBUKUKH27",50.68
"1756515TBUKUKW23",70.41
"1756515TBUKUWP51",52.69
"1756515TCOECO5",73.77
"1756515TDUSTREE2",54.1
"1756515TGEALTCOM",62.71
"1756515TGODURGRP",72.16
"1756515TGOEFCOMP",69.01
"1756515TMIALPNA4",72.82
"1756515TMISAVE",72.58
"1756515TPIP1CIVE",54.39
"1756515TPIW190C3",71.76
"1756515TTO350",57.49
"1756515TTONE03",49.32
"1757013TBUEN726",39.81
"1757013TBUFA828",46.75
"1757013TBUFA832",44.25
"1757013TBUFAAS20",49.32
"1757013TBUGTVP1",42.21
"1757013TBUKUKH17",47.56
"1757013TDUSTREE2",63.49
"1757013TDUSTREET",63.66
"1757013TGEALTCOM",50.85
"1757013TGEALTWIN",56.25
"1757013TGODURAGP",66.37
"1757013TGOEFCOMP",62.58
"1757013TMIE3BGN",66.12
"1757013TPIP4CINT",61.95
"1757013TTONE03",50.02
"1757014HBUKUKH27",57.04
"1757014R6COVANC2",82.89
"1757014R6DUECONO",88.15
"1757014R6PICARRI",85.98
"1757014R6PICHRO2",92.02
"1757014R8GOGT3",89.87
"1757014RFBUEN726",47.1
"1757014RFBUFA828",56.1
"1757014RFBUGTFE1",
"1757014RFBUGTVP1",50.32
"1757014RFBUKH17",54.36
"1757014TBRB250EC",67.08
"1757014TBUFA832",50.68
"1757014TBUGTWTP",
"1757014TBUKU27XL",54.36
"1757014TBUKUHA31",53.27
"1757014TBUKUKH17",52.02
"1757014TBUKUKH27",50.16
"1757014TCOECO5",73.62
"1757014TCOPECNT2",
"1757014TDUSP01",73.93
"1757014TDUSTREET",72.1
"1757014TDUWIN88",
"1757014TGEALTAS",57.31
"1757014TGEALTCOM",57.76
"1757014TGEALTCXL",59.04
"1757014TGEALTWIN",63.24
"1757014TGOEFCOM",71.58
"1757014TGOEFFCO",75.85
"1757014TGOULTGP9",72.4
"1757014TMISAVE",73.53
"1757014TMISAVEXL",81.53
"1757014TPIP1CINT",74.08
"1757014TPIP1CIVE",72.42
"1757014TPIP4CINT",73.2
"1757014TTONE03XL",51.54
"1757516R8BUEN616",66.82
"1757516R8BUGTMPR",71.16
"1757516R8MIAGILI",111.55
"1758019MCOCST17",105.21
"1759016MBUKU121",67.78
"18514R6MIAGILISX",103.68
"18514R8BRR630",79.41
"18514R8BUEN616",66.67
"18514R8BUGTKAR",73.85
"18514R8BUGTMPR",65.35
"18514R8BUKUKC53",63.48
