"MTS Stockcode","Website","Pattern","Brand","Segment","Full Tyre Size","Width","Aspect Ratio","Rim","Load rating","Speed rating","Alternative speed rating","XL","Run Flat","Manufacturer mark","Fitted or Delivered","Price"
"2055516ZBRRE002","BlackCircles","Bridgestone Potenza Adrenalin RE002 ","bridgestone","premium","205/55/16/91/W",205,55,16,91,"W",,"No","No",,"Fitted","70.56"
"2055516ZBRT001","BlackCircles","Bridgestone Turanza T001 ","bridgestone","premium","205/55/16/91/W",205,55,16,91,"W",,"No","No",,"Fitted","72.31"
"n/a","BlackCircles","Bridgestone Turanza ER300 ","bridgestone","premium","205/55/16/91/W",205,55,16,91,"W",,"No","No","PZ","Fitted","77.21"
"2055516ZBRE330AE","BlackCircles","Bridgestone Turanza ER300A ","bridgestone","premium","205/55/16/91/W",205,55,16,91,"W",,"No","No","*","Fitted","80.18"
"2055516ZBRE040AO","BlackCircles","Bridgestone Potenza RE040 ","bridgestone","premium","205/55/16/91/W",205,55,16,91,"W",,"No","No","RO1","Fitted","82.22"
"n/a","BlackCircles","Bridgestone Turanza T001 ","bridgestone","premium","205/55/16/94/W",205,55,16,94,"W",,"Yes","No",,"Fitted","89.04"
"2055516ZBRE300RF","BlackCircles","Bridgestone Turanza ER300-1 ","bridgestone","premium","205/55/16/91/W",205,55,16,91,"W",,"No","Yes","*","Fitted","99.72"
"2055516ZBRE300RF","BlackCircles","Bridgestone Turanza ER300 ","bridgestone","premium","205/55/16/91/W",205,55,16,91,"W",,"No","Yes","*","Fitted","100.92"
"2055516ZBRE300RF","BlackCircles","Bridgestone Turanza ER300A ","bridgestone","premium","205/55/16/91/W",205,55,16,91,"W",,"No","Yes","*","Fitted","106.21"
"2055516ZBRRE002","BlackCircles","Bridgestone Potenza Adrenalin RE002 ","bridgestone","premium","205/55/16/91/W",205,55,16,91,"W",,"No","No",,"Delivered","57.36"
"2055516ZBRT001","BlackCircles","Bridgestone Turanza T001 ","bridgestone","premium","205/55/16/91/W",205,55,16,91,"W",,"No","No",,"Delivered","59.11"
"n/a","BlackCircles","Bridgestone Turanza ER300 ","bridgestone","premium","205/55/16/91/W",205,55,16,91,"W",,"No","No","PZ","Delivered","64.01"
"2055516ZBRE330AE","BlackCircles","Bridgestone Turanza ER300A ","bridgestone","premium","205/55/16/91/W",205,55,16,91,"W",,"No","No","*","Delivered","66.98"
"2055516ZBRE040AO","BlackCircles","Bridgestone Potenza RE040 ","bridgestone","premium","205/55/16/91/W",205,55,16,91,"W",,"No","No","RO1","Delivered","69.02"
"n/a","BlackCircles","Bridgestone Turanza T001 ","bridgestone","premium","205/55/16/94/W",205,55,16,94,"W",,"Yes","No",,"Delivered","75.84"
"2055516ZBRE300RF","BlackCircles","Bridgestone Turanza ER300-1 ","bridgestone","premium","205/55/16/91/W",205,55,16,91,"W",,"No","Yes","*","Delivered","86.52"
"2055516ZBRE300RF","BlackCircles","Bridgestone Turanza ER300 ","bridgestone","premium","205/55/16/91/W",205,55,16,91,"W",,"No","Yes","*","Delivered","87.72"
"2055516ZBRE300RF","BlackCircles","Bridgestone Turanza ER300A ","bridgestone","premium","205/55/16/91/W",205,55,16,91,"W",,"No","Yes","*","Delivered","93.01"
