ProductID,FoldingType,LaminationType,PaperSize,PaperType,PaperTypeID,PrintOrientationID,PrintType,ProdQty,ProductType,Price,SalePrice,PrintPageNumber,IsActive,ProductTurnaroundID,VatRate,EmailArtwork,ProductCoverID,SubProductTypeID,ApplicationID,NoArtwork,ProdRange,ProductFinishingID,DateCreated
53964,NULL,No Lamination,A6,Standard 250gsm Silk,88,NULL,Single Sided,15000,Flyers & Leaflets,125,0,NULL,1,42,NULL,0,NULL,NULL,2,0,NULL,NULL,29:15.3
53965,NULL,No Lamination,A6,Standard 250gsm Silk,88,NULL,Single Sided,20000,Flyers & Leaflets,165,0,NULL,1,42,NULL,0,NULL,NULL,2,0,NULL,NULL,29:15.3
53966,NULL,No Lamination,A6,Standard 250gsm Silk,88,NULL,Single Sided,25000,Flyers & Leaflets,199,0,NULL,1,42,NULL,0,NULL,NULL,2,0,NULL,NULL,29:15.3
53967,NULL,No Lamination,A6,Standard 250gsm Silk,88,NULL,Single Sided,30000,Flyers & Leaflets,299,240,NULL,1,42,NULL,0,NULL,NULL,2,0,NULL,NULL,29:15.3
53968,NULL,No Lamination,A6,Standard 250gsm Silk,88,NULL,Single Sided,40000,Flyers & Leaflets,312,0,NULL,1,42,NULL,0,NULL,NULL,2,0,NULL,NULL,29:15.3
53969,NULL,No Lamination,A6,Standard 250gsm Silk,88,NULL,Single Sided,50000,Flyers & Leaflets,363,0,NULL,1,42,NULL,0,NULL,NULL,2,0,NULL,NULL,29:15.3
53970,NULL,Matt Lamination,A6,Standard 250gsm Silk,88,NULL,Single Sided,100,Flyers & Leaflets,24,0,NULL,1,42,20,0,NULL,NULL,2,0,NULL,NULL,29:15.3
53971,NULL,Matt Lamination,A6,Standard 250gsm Silk,88,NULL,Single Sided,250,Flyers & Leaflets,27,0,NULL,1,42,20,0,NULL,NULL,2,0,NULL,NULL,29:15.3
53972,NULL,Matt Lamination,A6,Standard 250gsm Silk,88,NULL,Single Sided,500,Flyers & Leaflets,36,0,NULL,1,42,20,0,NULL,NULL,2,0,NULL,NULL,29:15.3
53973,NULL,Matt Lamination,A6,Standard 250gsm Silk,88,NULL,Single Sided,1000,Flyers & Leaflets,39,0,NULL,1,42,20,0,NULL,NULL,2,0,NULL,NULL,29:15.3
53974,NULL,Matt Lamination,A6,Standard 250gsm Silk,88,NULL,Single Sided,2000,Flyers & Leaflets,55,0,NULL,1,42,20,0,NULL,NULL,2,0,NULL,NULL,29:15.3
53975,NULL,Matt Lamination,A6,Standard 250gsm Silk,88,NULL,Single Sided,5000,Flyers & Leaflets,105,0,NULL,1,42,20,0,NULL,NULL,2,0,NULL,NULL,29:15.3
53976,NULL,Matt Lamination,A6,Standard 250gsm Silk,88,NULL,Single Sided,10000,Flyers & Leaflets,195,0,NULL,1,42,20,0,NULL,NULL,2,0,NULL,NULL,29:15.3
53977,NULL,Gloss Lamination,A6,Standard 250gsm Silk,88,NULL,Single Sided,10000,Flyers & Leaflets,195,0,NULL,1,42,20,0,NULL,NULL,2,0,NULL,NULL,29:15.3
53978,NULL,Gloss Lamination,A6,Standard 250gsm Silk,88,NULL,Single Sided,5000,Flyers & Leaflets,105,0,NULL,1,42,20,0,NULL,NULL,2,0,NULL,NULL,29:15.3
53979,NULL,Gloss Lamination,A6,Standard 250gsm Silk,88,NULL,Single Sided,2000,Flyers & Leaflets,55,0,NULL,1,42,20,0,NULL,NULL,2,0,NULL,NULL,29:15.3
53980,NULL,Gloss Lamination,A6,Standard 250gsm Silk,88,NULL,Single Sided,1000,Flyers & Leaflets,39,0,NULL,1,42,20,0,NULL,NULL,2,0,NULL,NULL,29:15.3
