identifier,sku,name,price,url,category,brand,image_url,shipping_cost
,jaa127da,Nikon AF 20mm f/2.8D Lens,999,http://www.camerahouse.com.au/products/Lenses/Nikon-AF-20mm-f28D-Lens.aspx,,,,
,jaa129da,Nikon AF 35mm f/2 D Lens,619,http://www.camerahouse.com.au/products/Lenses/Nikon-AF-35mm-f2D-Lens.aspx,,,,
,jaa132da,Nikon AF-S DX 35mm f/1.8G Lens,299,http://www.camerahouse.com.au/products/Lenses/Nikon-AF-S-DX-35mm-f18.aspx,,,,
,jaa134da,Nikon AF-S 35mm f/1.4G Lens,2249,http://www.camerahouse.com.au/products/Lenses/Nikon-AF-S-35mm-f14G-Lens.aspx,,,,
,jaa328da,Nikon AF 85mm f1.8D Lens,699,http://www.camerahouse.com.au/products/Lenses/Nikon-AF-85mm-f18D-Lens.aspx,,,,
,jaa629da,Nikon AF DX Fisheye 10.5mm f2.8G ED Lens,949,http://www.camerahouse.com.au/products/Lenses/Nikon-AF-DX-Fisheye-105mm-f28G-ED-Lens.aspx,,,,
,jaa630da,Nikon AF-S Macro 105mm f/2.8G IF-ED VR Lens,1299,http://www.camerahouse.com.au/products/Lenses/Nikon-AF-S-Micro105mm-f28G-IF-ED-VR-Lens.aspx,,,,
,jaa632da,Nikon AF-S Micro 60mm f/2.8G ED Lens,799,http://www.camerahouse.com.au/products/Lenses/Nikon-AF-S-Micro-60mm-f28G-ED-Lens.aspx,,,,
,jaa637da,Nikon AF-SDX Micro 85mm f3.5G ED VR Lens,649,http://www.camerahouse.com.au/products/Lenses/Nikon-AF-SDX-Micro-85mm-f35G-ED-VR-Lens.aspx,,,,
,jaa638da,Nikon AF-S DX 40mm f/2.8G Lens,399,http://www.camerahouse.com.au/products/Lenses/Nikon-AF-S-DX-40mm-f28G-Lens.aspx,,,,
,jaa762da,Nikon AF 80-200mm f2.8D ED Lens,1729,http://www.camerahouse.com.au/products/Lenses/Nikon-AF80-200-f28D-ED.aspx,,,,
,jaa771da,Nikon AF 80-400mm f/4.5-5.6D ED VR Lens,2199,http://www.camerahouse.com.au/products/Lenses/Nikon-AF-80-400mm-f45-56D-ED-VR.aspx,,,,
,jaa774da,Nikon AF 24-85mm f2.8-4D IF Lens,1149,http://www.camerahouse.com.au/products/Lenses/Nikon-AF-24-85mm-f28-4D-IF-Lens.aspx,,,,
,jaa795da,Nikon AF-S 70-300mm F/4.5-5.6G IF ED VR Lens,799,http://www.camerahouse.com.au/products/Lenses/Nikon-AF-S-70-300mm-F4556G-IF-ED-VR.aspx,,,,
,jaa800da,Nikon AFS DX 16-85mm f/3.5-5.6 G VR Lens,849,http://www.camerahouse.com.au/products/Lenses/Nikon-16-85mm-VR-Lens.aspx,,,,
,jaa801da,Nikon AF-S 14-24mm f2.8G ED Lens,2349,http://www.camerahouse.com.au/products/Lenses/Nikon-AF-S-14-24mm-f28G-ED-Lens.aspx,,,,
,jaa802da,Nikon AF-S 24-70mm f/2.8G ED Lens,2349,http://www.camerahouse.com.au/products/Lenses/Nikon-AF-S-24-70mm-f28G-ED.aspx,,,,
,jaa804da,Nikon AF-S DX 10-24mm f/3.5-4.5G ED Lens,1199,http://www.camerahouse.com.au/products/Lenses/Nikon-AF-S-DX-10-24mm-f35-45G-ED-Lens.aspx,,,,
,jaa806da,Nikon 16-35mm f4G VR Lens,1549,http://www.camerahouse.com.au/products/Lenses/Nikon-16-35mm-f4G-VR-Lens.aspx,,,,
,jaa807da,Nikon AF-S 70-200mm f/2.8G ED VR II Lens,2999,http://www.camerahouse.com.au/products/Lenses/Nikon-AF-S-70-200mm-f28G-ED-VR-II.aspx,,,,
,jaa808da,Nikon AF-S 28-300mm f/3.5-5.6G IF ED VR Lens,1299,http://www.camerahouse.com.au/products/Lenses/Nikon-AF-S-28-300mm-f35-564-IF-ED-VR.aspx,,,,
,jaa811da,Nikon AF-S 24-120mm f/4G IF ED VR Lens,1749,http://www.camerahouse.com.au/products/Lenses/Nikon-AF-S-24-120mm-f4G-IF-ED-VR-Lens.aspx,,,,
,jaa813da,Nikon AF-S DX 18-200mm f/3.5-5.6 G ED VR II Lens,1099,http://www.camerahouse.com.au/products/Lenses/Nikon-18-200mm-VRII-Lens.aspx,,,,
,jva101da,Nikon 1 10mm f2.8 Lens Black,229,http://www.camerahouse.com.au/products/Lenses/Nikon-1-10mm-f28-Lens.aspx,,,,
,jva701da,Nikon 1 VR 10-30mm f3.5-5.6 Lens Black,199,http://www.camerahouse.com.au/products/Lenses/Nikon-1-VR-10-30mm-f35-56-Lens.aspx,,,,
,jva701db,Nikon 1 10mm f2.8 Lens White,249,http://www.camerahouse.com.au/products/Lenses/Nikon-1-10mm-f28-Lens-White.aspx,,,,
,jva702da,Nikon 1 VR 10-100mm f4.5-5.6 PD Black Zoom Lens,999,http://www.camerahouse.com.au/products/Lenses/Nikon-1-VR-10-100mm-f43-56-PD-Zoom-Lens.aspx,,,,
,jva703da,Nikon 1 VR 30-110mm f3.5-5.6 Black Lens,329,http://www.camerahouse.com.au/products/Lenses/Nikon-1-VR-30-110mm-f38-56-Lens.aspx,,,,
,jva703db,Nikon 1 VR 30-110mm f3.5-5.6 White Lens,329,http://www.camerahouse.com.au/products/Lenses/Nikon-1-30-110mm-f35-56-White-Lens-VR.aspx,,,,
,jva90151,Nikon FT-1 Mount Adaptor For Nikon V1 and J1,249,http://www.camerahouse.com.au/products/General-Accessories/Nikon-FT-1-Adaptor-For-Nikon-V1-and-J1.aspx,,,,
,jvb10101,Nikon 1 10-30mm Lens Hood,25,http://www.camerahouse.com.au/products/Lenses/Nikon-1-10-30mm-Lens-Hood.aspx,,,,
,jvb10201,Nikon 1 10-100mm Lens Hood,35,http://www.camerahouse.com.au/products/Lenses/Nikon-1-10-100mm-Lens-Hood.aspx,,,,
,jvb10301,Nikon 1 30-110mm Lens Hood,25,http://www.camerahouse.com.au/products/General-Accessories/Nikon-1-30-110mm-Lens-Hood.aspx,,,,
,jvb20101,Nikon 1 HN-N101 10mm Lens Hood,29,http://www.camerahouse.com.au/products/General-Accessories/Nikon-1-HN-N101-10mm-Lens-Hood.aspx,,,,
,jvd100401,Nikon 1 Lens Hood Cap,30,http://www.camerahouse.com.au/products/General-Accessories/Nikon-1-Lens-Hood-Cap-1.aspx,,,,
,jvd10101,Nikon 1 LF-1000 Rear Lens Cap,10,http://www.camerahouse.com.au/products/General-Accessories/Nikon-1-LF-1000-Rear-Lens-Cap.aspx,,,,
,jvd10201,Nikon 1 LC-N40.5 Front Lens Cap,10,http://www.camerahouse.com.au/products/General-Accessories/Nikon-1-LC-N405-Front-Lens-Cap.aspx,,,,
,jvd10301,Nikon 1 LC-N72 Front Lens Cap,15,http://www.camerahouse.com.au/products/General-Accessories/Nikon-1-LC-N72-Front-Lens-Cap.aspx,,,,
,kit-600dcreative,"Canon EOS 600D Creative Kit 18-55mm/55-250mm/50mm f1.8, Battery, Bag",1099,http://www.camerahouse.com.au/products/DSLR/Canon-EOS-600D-Creative-Kit-18-55mm55-250mm50mm-f18-Battery-Lowepro-bag.aspx,,,,
,kit-nd90-01,Nikon D90 w/18-200mm VR II Lens Digital SLR Camera,2299,http://www.camerahouse.com.au/products/DSLR/Nikon-D90-18-200VR-II.aspx,,,,
,kit-nd90-02,Nikon D90 w/18-105mm VR & 55-300mm VR Lenses Digital SLR Camera,1649,http://www.camerahouse.com.au/products/DSLR/Nikon-D90-18-10555-300mm-VR-Twin-Kit.aspx,,,,
,kit-nv1tripleb,"Nikon V1 Kit w/10mm, 10-30mm & 30-110mm Lenses Black Compact Pro Camera",1199,http://www.camerahouse.com.au/products/Compact-Pro-Cameras/Nikon-V1-Kit-w10mm-10-30mm-30-110mm-Lenses-Black-Compact-Pro-Camera.aspx,,,,
,kit-nv1triplew,"Nikon V1 Kit w/10mm, 10-30mm & 30-110mm Lenses White Compact Pro Camera",1199,http://www.camerahouse.com.au/products/Compact-Pro-Cameras/Nikon-V1-Kit-w10mm-10-30mm-30-110mm-Lenses-White-Compact-Pro-Camera.aspx,,,,
,kit-oep3bkit,"Olympus E-P3 Shooter Kit Black w/ 12mm Lens, Grip, Viewfinder & Case",1799,http://www.camerahouse.com.au/products/Compact-Pro-Cameras/Olympus-E-P3-Shooter-Kit-Black-w-Lens-Grip-Viewfinder-and-Case.aspx,,,,
,kit-oep3skit,"Olympus E-P3 Shooter Kit Silver w/ 12mm Lens, Grip, Viewfinder & Case",1799,http://www.camerahouse.com.au/products/Compact-Pro-Cameras/Olympus-E-P3-Shooter-Kit-Silver-w-12mm-lens-Grip-Viewfinder-Case.aspx,,,,
,laea1,Sony NEX Mount adaptor Accessories,199,http://www.camerahouse.com.au/products/General-Accessories/Sony-NEX-Mount-Adaptor.aspx,,,,
,laea2,Sony NEX A Mount Adaptor with AF Accessories,399,http://www.camerahouse.com.au/products/Lenses/Sony-NEX-A-Mount-Adaptor-with-AF-Accessory.aspx,,,,
,lcixus3,Canon IXUS3 Leather Case,40,http://www.camerahouse.com.au/products/Bags/Canon-IXUS3-Leather-Case.aspx,,,,
,lcixus4,Canon IXUS4 Leather Case,40,http://www.camerahouse.com.au/products/Bags/Canon-IXUS4-Leather-Case.aspx,,,,
,lcsbp2,Sony Alpha Backpack Black Bag,149,http://www.camerahouse.com.au/products/Bags/Sony-Alpha-Backpack-Black-Bag.aspx,,,,
,lsc-basic,Gary Fong Lightsphere Collapsible Basic Kit,215,http://www.camerahouse.com.au/products/General-Accessories/Gary-Fong-Lightsphere-Collapsible-Basic-Kit.aspx,,,,
,lsc-pro,Gary Fong Lightsphere Pro Kit,275,http://www.camerahouse.com.au/products/General-Accessories/Gary-Fong-Lightsphere-Pro-Kit.aspx,,,,
