"product_code","ean","description"
46719212,"8435137710195       ","Prada Infusion D’Iris  eau de parfum"
46719250,"8435137713042       ","Prada Infusion D’Iris  body lotion"
46719251,"8435137713059       ","Prada Infusion D’Iris  shower gel"
46719211,"8435137713066       ","Prada Infusion D’Iris  eau de parfum"
46719302,"8435137713363       "," Prada Infusion D’Homme  "
46719301,"8435137713370       "," Prada Infusion D’Homme  "
46719303,"8435137713387       "," Prada Infusion D’Homme  "
46719311,"8435137713394       "," Prada Infusion D’Homme  aftershave lotion"
46719210,"8435137714186       ","Prada Infusion D’Iris  eau de parfum"
46719114,"8435137714230       ","Prada Man  eau de toilette refill"
46719010,"8435137701759       ","Prada   Eau de parfum"
46719011,"8435137701773       ","Prada   Eau de parfum"
46719009,"8435137701780       ","Prada   Eau de parfum"
46719050,"8435137701803       ","Prada   body lotion"
46719111,"8435137704248       ","Prada Man  eau de toilette"
46719150,"8435137704262       ","Prada Man  bath & shower gel"
46719110,"8435137704231       ","Prada Man  eau de toilette"
46711252,"3349668115211       ","Paco Rabanne XS  deodorant spray"
46711205,"3349668111541       ","Paco Rabanne XS  eau de toilette spray"
46711701,"3349668508471       ","Paco Rabanne Lady Million  eau de parfum"
46711702,"3349668508488       ","Paco Rabanne Lady Million  eau de parfum"
46711750,"3349668508518       ","Paco Rabanne Lady Million  shower gel"
46711749,"3349668508532       ","Paco Rabanne Lady Million  body lotion"
46711703,"3349668508587       ","Paco Rabanne Lady Million  eau de parfum"
46716501,"3137370304388       ","Nina Ricci Elixir  eau de parfum"
46716502,"3137370304395       ","Nina Ricci Elixir  eau de parfum"
46716503,"3137370304401       ","Nina Ricci Elixir  eau de parfum"
46711612,"3349668509669       ","Paco Rabanne 1 Million  eau de toilette"
46717801,"8411061711774       ","Carolina Herrera 212 VIP  eau de parfum"
46717803,"8411061711767       ","Carolina Herrera 212 VIP  eau de parfum"
46717802,"8411061711804       ","Carolina Herrera 212 VIP  eau de parfum"
46719204,"8435137724734       ","Prada Infusion D’Iris  eau de toilette"
46719203,"8435137724741       ","Prada Infusion D’Iris  eau de toilette"
46719202,"8435137724758       ","Prada Infusion D’Iris  eau de toilette"
46719196,"8435137725915       ","Prada Man  Pour Homme Intense eau de parfum"
46719195,"8435137725946       ","Prada Man  Pour Homme Intense eau de parfum"
46718702,"8411061723760       ","Carolina Herrera 212 VIP for Men  eau de toilette"
46718701,"8411061723777       ","Carolina Herrera 212 VIP for Men  eau de toilette"
46718710,"8411061723784       ","Carolina Herrera 212 VIP for Men  aftershave"
46718750,"8411061723791       ","Carolina Herrera 212 VIP for Men  deodorant spray"
46718301,"8411061251607       ","Carolina Herrera 212  eau de toilette spray"
46718398,"8411061251805       ","Carolina Herrera 212  eau de toilette spray"
46718302,"8411061251706       ","Carolina Herrera 212  eau de toilette spray"
46718401,"8411061341605       ","Carolina Herrera 212 For Men  eau de toilette spray"
46718402,"8411061341704       ","Carolina Herrera 212 For Men  eau de toilette spray"
46713050,"8411061725856       "," Valentino Valentina  body lotion"
46713051,"8411061725863       "," Valentino Valentina  shower gel"
46713001,"8411061725955       "," Valentino Valentina  eau de parfum"
46713003,"8411061725931       "," Valentino Valentina  eau de parfum"
46713002,"8411061725948       "," Valentino Valentina  eau de parfum"
46711651,"3349666007945       ","Paco Rabanne 1 Million  deodorant spray"
46711610,"3349666007983       ","Paco Rabanne 1 Million  aftershave lotion"
46711650,"3349666007976       ","Paco Rabanne 1 Million  shower gel"
46711055,"3349668025435       ","Paco Rabanne Pour Homme  deodorant stick"
46711683,"3349668514564       ","Paco Rabanne 1 Million  parfum"
46711712,"3349668514595       ","Paco Rabanne Lady Million  parfum"
46718481,"8411061739365       ","Carolina Herrera 212 Men gift set "
46718680,"8411061739396       ","Carolina Herrera 212 Sexy Men gift set "
46717981,"8411061739495       ","Carolina Herrera 212 Sexy gift set "
46717882,"8411061739617       ","Carolina Herrera 212 VIP gift set "
46713052,"8411061744017       "," Valentino Valentina  body oil"
46711421,"3349668514793       ","Paco Rabanne Black XS  Intense eau de toilette"
46711420,"3349668514809       ","Paco Rabanne Black XS  Intense eau de toilette"
46711511,"3349668514847       ","Paco Rabanne Black XS for Her  eau de parfum"
46711510,"3349668517138       ","Paco Rabanne Black XS for Her  eau de parfum"
46716682,"3137370309826       ","Nina Ricci Ricci gift set "
46711684,"3349668515349       ","Paco Rabanne 1 Million gift set "
46711784,"3349668515356       ","Paco Rabanne Lady Million gift set "
46711653,"3349668515486       ","Paco Rabanne 1 Million  shower gel"
46719283,"8435137729043       ","Prada Infusion D’Iris gift set "
46719192,"8435137729067       ","Prada Pour Homme gift set "
46719080,"8435137729135       ","Prada Amber gift set "
46713080,"8411061745489       "," Valentino Valentina gift set "
46713083,"8411061745496       "," Valentino Valentina gift set "
46713011,"8411061745755       "," Valentino Valentina  eau de parfum"
46713010,"8411061745762       "," Valentino Valentina  eau de parfum"
