identifier,name,price,url,brand,category,image_url,stock
PYDNC,Danica Wig by Paula Young (A),110,http://www.naturalimagewigs.co.uk/Danica.html,Paula Young,Wigs,http://www.naturalimagewigs.co.uk/images/T/danica_t.jpg,in stock
PYDNC/P,Danica Wig by Paula Young (P),110,http://www.naturalimagewigs.co.uk/Danica-Wig-by-Paula-Young-P.html,Paula Young,Wigs,http://www.naturalimagewigs.co.uk/images/T/danica_t.jpg,in stock
DANI07/A,Danielle Wig by Paula Young,65,http://www.naturalimagewigs.co.uk/Danielle-Wig-by-Paula-Young.html,Paula Young,Wigs,http://www.naturalimagewigs.co.uk/images/T/t_danielleoriginal.jpg,in stock
DNI,Danni Wig by Natural Image,75,http://www.naturalimagewigs.co.uk/Danni-Wig.html,Natural Image,Wigs,http://www.naturalimagewigs.co.uk/images/T/danni_t-01.jpg,in stock
Z1178,Debut Wig by Especially Yours (A),39,http://www.naturalimagewigs.co.uk/DebutWig-by-Especially-Yours.html,Especially Yours,Wigs,http://www.naturalimagewigs.co.uk/images/T/DEBUT-alternate-T4_27.jpg,in stock
Z11781,Debut Wig by Especially Yours (P),39,http://www.naturalimagewigs.co.uk/Debut-Wig-by-Especially-Yours-P.html,Especially Yours,Wigs,http://www.naturalimagewigs.co.uk/images/T/DEBUT-alternate-T4_27.jpg,in stock
PYDE,Debut Wig by Paula Young (A),75,http://www.naturalimagewigs.co.uk/Debut.html,Paula Young,Wigs,http://www.naturalimagewigs.co.uk/images/T/debut_t-01.jpg,in stock
PYDE/P,Debut Wig by Paula Young (P),75,http://www.naturalimagewigs.co.uk/Debut-Wig-by-Paula-Young-P.html,Paula Young,Wigs,http://www.naturalimagewigs.co.uk/images/T/debut_t-01.jpg,in stock
WDEF,Definitely Wig by Natural Image,105,http://www.naturalimagewigs.co.uk/Definitely-wig.html,Natural Image,Wigs,http://www.naturalimagewigs.co.uk/images/T/definately_t-01.jpg,in stock
PYDT,Delicate Touch Hairpiece by Paula Young,35,http://www.naturalimagewigs.co.uk/Delicate-Touch.html,Paula Young,Hairpieces,http://www.naturalimagewigs.co.uk/images/T/delicate_touch_whisperlite_t-01.jpg,in stock
PYDTH,Delicate Touch Human Hair Hairpiece by Paula Young,49,http://www.naturalimagewigs.co.uk/Delicate-Touch-Human-Hair.html,Paula Young,Hairpieces,http://www.naturalimagewigs.co.uk/images/T/delicate_touch_whisperlite_t-02.jpg,in stock
PYDTW,Delicate Touch Whisperlite Hairpiece by Paula Young,42,http://www.naturalimagewigs.co.uk/Delicate-Touch-Whisperlite.html,Paula Young,Hairpieces,http://www.naturalimagewigs.co.uk/images/T/delicate_touch_whisperlite_t.jpg,in stock
PYDL,Delite Wig by Paula Young (A),85,http://www.naturalimagewigs.co.uk/Delite.html,Paula Young,Wigs,http://www.naturalimagewigs.co.uk/images/T/delite_t-01.jpg,in stock
PYDL/P,Delite Wig by Paula Young (P),85,http://www.naturalimagewigs.co.uk/Delite-Wig-by-Paula-Young-P.html,Paula Young,Wigs,http://www.naturalimagewigs.co.uk/images/T/delite_t-01.jpg,in stock
PYDXA,Deluxe Abby Wig by Paula Young (A),95,http://www.naturalimagewigs.co.uk/Deluxe-Abby.html,Paula Young,Wigs,http://www.naturalimagewigs.co.uk/images/T/Deluxe_Abby_T.jpg,in stock
PYDXA/P,Deluxe Abby Wig by Paula Young (P),95,http://www.naturalimagewigs.co.uk/Deluxe-Abby-Wig-by-Paula-Young-P.html,Paula Young,Wigs,http://www.naturalimagewigs.co.uk/images/T/Deluxe_Abby_T.jpg,in stock
KIT/LUX,Deluxe Aftercare Kit for Wigs,26,http://www.naturalimagewigs.co.uk/Deluxe-Aftercare-Kit-for-Wigs.html,Aftercare,Wigs,http://www.naturalimagewigs.co.uk/images/T/DELUXE%20SET%20thumb.jpg,in stock
PB,Deluxe Styling Brush,4.5,http://www.naturalimagewigs.co.uk/Deluxe-Styling-Brush.html,Natural Image,Wigs,http://www.naturalimagewigs.co.uk/images/T/stylingbrush_t-01.jpg,in stock
DEM,Demi Wig by Natural Image,169,http://www.naturalimagewigs.co.uk/Demi-Wig-by-Natural-Image.html,Natural Image,Wigs,http://www.naturalimagewigs.co.uk/images/T/demi_t.jpg,in stock
DSR/A,Desire Wig by Natural Image,95,http://www.naturalimagewigs.co.uk/Desire-Wig-by-Natural-Image-Ladies-Womens-Wigs-Natural-Image.html,Natural Image,Wigs,http://www.naturalimagewigs.co.uk/images/T/desire_t.jpg,in stock
DVN,Devon Wig by Jacqueline,79,http://www.naturalimagewigs.co.uk/Devon.html,Jacqueline,Wigs,http://www.naturalimagewigs.co.uk/images/T/Devon_523-th.jpg,in stock
ZN20,Diana Wig by Natural Image,85,http://www.naturalimagewigs.co.uk/Diana-Wig.html,Natural Image,Wigs,http://www.naturalimagewigs.co.uk/images/T/diana_t.jpg,in stock
2521,Dixie Wig by Amore,196,http://www.naturalimagewigs.co.uk/Dixie-Wig-by-Amore.html,Amore,Wigs,http://www.naturalimagewigs.co.uk/images/T/Dixie%20T.jpeg,in stock
CD,Dominique Wig by Jacqueline,79,http://www.naturalimagewigs.co.uk/Dominique.html,Jacqueline,Wigs,http://www.naturalimagewigs.co.uk/images/T/Domenique_848-th.jpg,in stock
DM/PP,Dream Mini Petite Wig by Natural Image,195,http://www.naturalimagewigs.co.uk/Dream-Mini-Petite-Wig-by-Natural-Image.html,Inspired,Wigs,http://www.naturalimagewigs.co.uk/images/T/dream%20th-01.jpeg,in stock
DM/A,Dream Wig by Natural Image,195,http://www.naturalimagewigs.co.uk/Dream-Wig-by-Natural-Image.html,Inspired,Wigs,http://www.naturalimagewigs.co.uk/images/T/dream_t.jpg,in stock
