identifier,sku,name,price,url,category,brand,image_url,shipping_cost
,ac3000nt,Ibanez Artwood Series AC3000NT Acoustic Guitar - Grand Concert Body - Solid Engelmann Spruce Top - Natural High Gloss Finish,569.99,http://www.axemusic.com/store/product/29167/Ibanez-Artwood-Series-AC3000NT-Acoustic-Guitar-Grand-Concert-Body-Solid-Engelmann-Spruce-Top-Natural-High-Gloss-Finish/,6 String Acoustic Guitars,,,
,aw30nt,Ibanez Artwood Series AW30NT Dreadnought Acoustic Guitar with Solid Englemann Spruce Top and Mahogany Back and Sides - Natural High Gloss Finish,248.61,http://www.axemusic.com/store/product/20023/Ibanez-Artwood-Series-AW30NT-Dreadnought-Acoustic-Guitar-with-Solid-Englemann-Spruce-Top-and-Mahogany-Back-and-Sides-Natural-High-Gloss-Finish/,6 String Acoustic Guitars,,,
,ac240opn,Ibanez AW Series AC240OPN Grand Concert Acoustic Guitar with Solid Mahogany Top - Open Pore Natural Finish,339.99,http://www.axemusic.com/store/product/29196/Ibanez-AW-Series-AC240OPN-Grand-Concert-Acoustic-Guitar-with-Solid-Mahogany-Top-Open-Pore-Natural-Finish/,6 String Acoustic Guitars,,,
,aw250lg,Ibanez AW Series AW250LG Dreadnought Acoustic Guitar with Solid Cedar Top - Natural Low Gloss Finish,339.99,http://www.axemusic.com/store/product/29199/Ibanez-AW-Series-AW250LG-Dreadnought-Acoustic-Guitar-with-Solid-Cedar-Top-Natural-Low-Gloss-Finish/,6 String Acoustic Guitars,,,
,aw300nt,Ibanez AW Series AW300NT Dreadnought Acoustic Guitar with Engelmann Spruce Top - Natural High Gloss Finish,283.48,http://www.axemusic.com/store/product/29207/Ibanez-AW-Series-AW300NT-Dreadnought-Acoustic-Guitar-with-Engelmann-Spruce-Top-Natural-High-Gloss-Finish/,6 String Acoustic Guitars,,,
,aw300vs,Ibanez AW Series AW300VS Dreadnought Acoustic Guitar with Engelmann Spruce Top - Vintage Sunburst High Gloss Finish,283.48,http://www.axemusic.com/store/product/29208/Ibanez-AW-Series-AW300VS-Dreadnought-Acoustic-Guitar-with-Engelmann-Spruce-Top-Vintage-Sunburst-High-Gloss-Finish/,6 String Acoustic Guitars,,,
,aw3010lg,Ibanez AW Series AW3010LG Dreadnought Acoustic Guitar with Engelmann Spruce Top - Natural Low Gloss Finish,569.99,http://www.axemusic.com/store/product/29212/Ibanez-AW-Series-AW3010LG-Dreadnought-Acoustic-Guitar-with-Engelmann-Spruce-Top-Natural-Low-Gloss-Finish/,6 String Acoustic Guitars,,,
,aw3050lg,Ibanez AW Series AW3050LG Dreadnaught Acoustic Guitar with Solid Cedar Top - Natural High Gloss Finish,569.99,http://www.axemusic.com/store/product/29214/Ibanez-AW-Series-AW3050LG-Dreadnaught-Acoustic-Guitar-with-Solid-Cedar-Top-Natural-High-Gloss-Finish/,6 String Acoustic Guitars,,,
,096-8325-021,Fender Artist Design Series - Alkaline Trio Malibu Acoustic Guitar - Laminated Mahogany Body - Gloss Finish,249.99,http://www.axemusic.com/store/product/29897/Fender-Artist-Design-Series-Alkaline-Trio-Malibu-Acoustic-Guitar-Laminated-Mahogany-Body-Gloss-Finish/,6 String Acoustic Guitars,,,
,096-8022-021,Fender California Series Sonoran S Dreadnought Acoustic Guitar with Solid Spruce Top - Natural Finish,279.99,http://www.axemusic.com/store/product/10992/Fender-California-Series-Sonoran-S-Dreadnought-Acoustic-Guitar-with-Solid-Spruce-Top-Natural-Finish/,6 String Acoustic Guitars,,,
