SKU,Barcode,Descritpion,Price,Product images,ASIN,use_barcode
962091001,0630870042246,Le Creuset 3Ply 4 Piece Cookware Set,330.00,http://www.lecreuset.co.uk/EInBusinessTemplates/Everything/Images/catalogue/xlarge/3ply-4piececookwareset_10_year.jpg,B0038ONIHW,false
962012141,0630870042116,Le Creuset 14cm 3Ply Milk Pan,75.00,http://www.lecreuset.co.uk/EInBusinessTemplates/Everything/Images/catalogue/xlarge/3-ply_Milk_Pan_10_year.jpg,B0038ONIJU,false
962090000,0630870047159,Le Creuset Toughened Non-Stick 3 Piece Saucepan Set,269.00,http://www.lecreuset.co.uk/EInBusinessTemplates/Everything/Images/catalogue/xlarge/TNS_Saucepan_set.jpg,B0039IY3RQ,false
692103000,0630870117593,Le Creuset Toughened Non-Stick 4 Piece Cookware Set,220.00,http://ecx.images-amazon.com/images/I/71l%2Bgs%2BXuXL._SL1500_.jpg,B00FLUYORE,false
962012160,0630870047135,Le Creuset 14cm Toughened Non-Stick Milk Pan,79.00,http://www.lecreuset.co.uk/EInBusinessTemplates/Everything/Images/catalogue/xlarge/TNS_16cm_Milkpan.jpg,B0039J04ZK,false
967001320,0630870138130,Le Creuset 32cm Toughened Non-Stick Paella Pan,112.00,http://www.lecreuset.co.uk/EInBusinessTemplates/Everything/Images/catalogue/xlarge/TNS_Paella_Pan.jpg,,false
967002280,0630870138147,Le Creuset 28cm Toughened Non-Stick Ribbed Square Grill,92.00,http://www.lecreuset.co.uk/EInBusinessTemplates/Everything/Images/catalogue/xlarge/TNS_28cm_ribbed_Square_Grill.jpg,B00KGAJORY,false
967003340,0630870138154,Le Creuset 34cm Toughened Non-Stick Ribbed Rectangular Grill,115.00,http://www.lecreuset.co.uk/EInBusinessTemplates/Everything/Images/catalogue/xlarge/TNS_35cm_ribbed_Rect_Grill.jpg,B00KGAJPUU,false
967005350,0630870138178,Le Creuset 35cm Toughened Non-Stick Rectangular Roaster,128.00,http://www.lecreuset.co.uk/EInBusinessTemplates/Everything/Images/catalogue/xlarge/TNS_35cm_Rect_Roaster.jpg,B00KGAJV2C,false
9103870043,0630870120135,Le Creuset Rainbow Espresso Mugs,58.00,http://www.lecreuset.co.uk/EInBusinessTemplates/Everything/Images/catalogue/xlarge/Stoneware_Espresso_Mugs_Rainbow_Set.jpg,B00HNP43US,false
9104160043,0630870127073,Le Creuset Rainbow Egg Cups,38.00,http://www.lecreuset.co.uk/EInBusinessTemplates/Everything/Images/catalogue/xlarge/Stoneware_Rainbow_Egg_Cups_Gift_Set.jpg,B00HNP43YY,false
